GEO_ID,B03002_001E,B03002_001M,B03002_002E,B03002_002M,B03002_003E,B03002_003M,B03002_004E,B03002_004M,B03002_005E,B03002_005M,B03002_006E,B03002_006M,B03002_007E,B03002_007M,B03002_008E,B03002_008M,B03002_009E,B03002_009M,B03002_010E,B03002_010M,B03002_011E,B03002_011M,B03002_012E,B03002_012M,B03002_013E,B03002_013M,B03002_014E,B03002_014M,B03002_015E,B03002_015M,B03002_016E,B03002_016M,B03002_017E,B03002_017M,B03002_018E,B03002_018M,B03002_019E,B03002_019M,B03002_020E,B03002_020M,B03002_021E,B03002_021M,NAME,B03002_001EA,B03002_001MA,B03002_002EA,B03002_002MA,B03002_003EA,B03002_003MA,B03002_004EA,B03002_004MA,B03002_005MA,B03002_005EA,B03002_006EA,B03002_006MA,B03002_007EA,B03002_007MA,B03002_008EA,B03002_008MA,B03002_009MA,B03002_009EA,B03002_010EA,B03002_010MA,B03002_011MA,B03002_011EA,B03002_012EA,B03002_012MA,B03002_013EA,B03002_013MA,B03002_014MA,B03002_014EA,B03002_015EA,B03002_015MA,B03002_016MA,B03002_016EA,B03002_017MA,B03002_017EA,B03002_018EA,B03002_018MA,B03002_019EA,B03002_019MA,B03002_020MA,B03002_020EA,B03002_021EA,B03002_021MA,state
0400000US01,4442558,0,4343518,1945,3093833,1501,1142011,5141,22886,1617,37602,2256,275,365,3628,1522,43283,4720,1274,723,42009,4719,99040,1945,59794,4713,2319,946,397,404,842,480,663,853,31015,4370,4010,1232,2357,765,1653,812,Alabama,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,641724,0,610881,503,428220,688,21866,812,89529,2903,27434,1474,3201,825,920,573,39711,3639,634,546,39077,3599,30843,503,15654,2410,237,263,1484,768,1404,1073,81,128,7268,1987,4715,1277,1764,846,2951,1189,Alaska,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,5829839,0,4161315,0,3507357,3181,171174,4581,256469,3840,126010,2340,6758,1792,16919,3122,76628,5705,3550,1118,73078,5579,1668524,0,933447,21531,9595,2309,18852,3798,3187,1337,471,404,641325,22847,61647,6541,47146,5681,14501,3136,Arizona,null,*****,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2701431,0,2574499,2083,2080710,2035,412311,5055,17433,1536,24603,2078,2449,1026,3688,1882,33305,4636,1090,585,32215,4616,126932,2083,54359,6965,1949,821,1048,1043,646,607,1656,952,61731,6863,5543,1373,3786,1295,1757,950,Arkansas,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,35278768,0,22755389,0,15274256,10014,2090284,11904,168767,7105,4298931,13848,114987,3890,148164,12357,660000,17566,48817,5895,611183,16547,12523379,0,6217080,76421,73246,10773,85007,8334,66617,7489,9524,3399,5635909,76101,435996,15851,306751,12638,129245,10484,California,null,*****,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,4562244,0,3670630,0,3281823,2312,161176,3423,25879,2258,114733,3033,3060,554,9117,2369,74842,5081,4296,1136,70546,5038,891614,0,527231,16179,4553,1277,14184,3163,2773,1069,1416,874,297282,15968,44175,5327,30848,4636,13327,2615,Colorado,null,*****,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,3394751,0,3023326,0,2555434,2862,300293,4513,5857,1393,107001,1566,1480,1310,12925,3307,40336,4297,2353,779,37983,4263,371425,0,200647,9980,9476,2171,2467,1526,1643,1256,0,274,140706,8679,16486,3296,7907,1742,8579,2931,Connecticut,null,*****,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,818587,0,768369,0,570027,1163,161945,1767,1890,491,22345,752,70,122,1439,1193,10653,1841,243,235,10410,1792,50218,0,32186,3028,1107,595,166,204,31,55,0,262,15310,3053,1418,689,693,496,725,480,Delaware,null,*****,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,515118,0,469217,0,152879,1654,290128,1698,1132,313,14997,1175,189,191,3451,1740,6441,1802,173,169,6268,1847,45901,0,13934,2818,2317,1333,254,323,569,659,53,93,27442,2866,1332,716,885,580,447,350,District of Columbia,null,*****,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,17382511,0,13968097,1032,10774504,6542,2536034,8843,49175,3551,363037,5012,6585,1242,56784,7702,181978,9170,16421,2636,165557,8579,3414414,1032,2567028,25304,77594,9030,9917,2470,8348,2080,938,632,654589,23927,96000,9676,62243,6140,33757,7489,Florida,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
