GEO_ID,C05003_001E,C05003_001M,C05003_002E,C05003_002M,C05003_003E,C05003_003M,C05003_004E,C05003_004M,C05003_005E,C05003_005M,C05003_006E,C05003_006M,C05003_007E,C05003_007M,C05003_008E,C05003_008M,C05003_009E,C05003_009M,C05003_010E,C05003_010M,C05003_011E,C05003_011M,C05003_012E,C05003_012M,C05003_013E,C05003_013M,C05003_014E,C05003_014M,C05003_015E,C05003_015M,NAME,C05003_001EA,C05003_001MA,C05003_002EA,C05003_002MA,C05003_003MA,C05003_003EA,C05003_004MA,C05003_004EA,C05003_005MA,C05003_005EA,C05003_006EA,C05003_006MA,C05003_007EA,C05003_007MA,C05003_008EA,C05003_008MA,C05003_009MA,C05003_009EA,C05003_010MA,C05003_010EA,C05003_011MA,C05003_011EA,C05003_012EA,C05003_012MA,C05003_013EA,C05003_013MA,C05003_014MA,C05003_014EA,C05003_015MA,C05003_015EA,state
0400000US01,4442558,0,2142901,3564,552841,3366,544914,3649,7927,1240,1590060,1971,1535790,3171,54270,2865,2299657,3564,532867,3434,523807,3481,9060,2122,1766790,1807,1717274,3611,49516,3435,Alabama,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,641724,0,325699,1891,95216,1712,94120,1783,1096,518,230483,951,216506,1691,13977,1584,316025,1891,92282,1643,91066,1699,1216,521,223743,885,205664,1628,18079,1284,Alaska,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,5829839,0,2902933,2476,806401,2141,756001,4826,50400,4496,2096532,1331,1711947,10768,384585,10772,2926906,2476,767487,1972,719050,5357,48437,4759,2159419,1278,1799545,8585,359874,8459,Arizona,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2701431,0,1314810,3291,342740,2706,337709,2789,5031,1052,972070,2098,924604,3154,47466,2779,1386621,3291,329594,3131,321640,3449,7954,1499,1057027,1776,1016309,2732,40718,2576,Arkansas,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,35278768,0,17497507,4744,4942912,4279,4571064,15932,371848,14690,12554595,3194,8155054,29196,4399541,28925,17781261,4744,4712230,4257,4372461,13318,339769,13596,13069031,2605,8568833,26269,4500198,26145,California,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,4562244,0,2283293,3084,596976,2871,571086,3478,25890,3026,1686317,2057,1471405,7427,214912,6954,2278951,3084,579187,3033,553851,3971,25336,2902,1699764,1877,1505608,5733,194156,5550,Colorado,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,3394751,0,1645607,1440,424991,1185,407485,2064,17506,2129,1220616,1198,1029213,7971,191403,8218,1749144,1440,405899,1161,390408,2457,15491,2043,1343245,1043,1144391,7817,198854,7730,Connecticut,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,818587,0,396855,962,99290,1009,97276,1069,2014,701,297565,546,268739,2223,28826,2259,421732,962,96173,954,93556,1185,2617,851,325559,402,296149,2181,29410,2158,Delaware,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,515118,0,242560,593,55787,571,54239,746,1548,797,186773,191,155355,2317,31418,2322,272558,593,55752,581,53220,998,2532,1083,216806,188,184587,2066,32219,2053,District of Columbia,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,17382511,0,8466292,6005,2068572,4543,1942299,8363,126273,6476,6397720,4050,4966941,15438,1430779,14934,8916219,6005,1978278,4781,1851622,8349,126656,7409,6937941,3333,5408694,16921,1529247,16948,Florida,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
