B17010H_039M,B17010H_040E,B17010H_040M,B17010H_041E,B17010H_041M,GEO_ID,B17010H_001E,B17010H_001M,B17010H_002E,B17010H_002M,B17010H_003E,B17010H_003M,B17010H_004E,B17010H_004M,B17010H_005E,B17010H_005M,B17010H_006E,B17010H_006M,B17010H_007E,B17010H_007M,B17010H_008E,B17010H_008M,B17010H_009E,B17010H_009M,B17010H_010E,B17010H_010M,B17010H_011E,B17010H_011M,B17010H_012E,B17010H_012M,B17010H_013E,B17010H_013M,B17010H_014E,B17010H_014M,B17010H_015E,B17010H_015M,B17010H_016E,B17010H_016M,B17010H_017E,B17010H_017M,B17010H_018E,B17010H_018M,B17010H_019E,B17010H_019M,B17010H_020E,B17010H_020M,B17010H_021E,B17010H_021M,B17010H_022E,B17010H_022M,B17010H_023E,B17010H_023M,B17010H_024E,B17010H_024M,B17010H_025E,B17010H_025M,B17010H_026E,B17010H_026M,B17010H_027E,B17010H_027M,B17010H_028E,B17010H_028M,B17010H_029E,B17010H_029M,B17010H_030E,B17010H_030M,B17010H_031E,B17010H_031M,B17010H_032E,B17010H_032M,B17010H_033E,B17010H_033M,B17010H_034E,B17010H_034M,B17010H_035E,B17010H_035M,B17010H_036E,B17010H_036M,B17010H_037E,B17010H_037M,B17010H_038E,B17010H_038M,B17010H_039E,B17010H_039MA,B17010H_040MA,B17010H_040EA,B17010H_041EA,B17010H_041MA,NAME,B17010H_001MA,B17010H_001EA,B17010H_002EA,B17010H_002MA,B17010H_003EA,B17010H_003MA,B17010H_004MA,B17010H_004EA,B17010H_005MA,B17010H_005EA,B17010H_006MA,B17010H_006EA,B17010H_007EA,B17010H_007MA,B17010H_008EA,B17010H_008MA,B17010H_009MA,B17010H_009EA,B17010H_010MA,B17010H_010EA,B17010H_011MA,B17010H_011EA,B17010H_012EA,B17010H_012MA,B17010H_013EA,B17010H_013MA,B17010H_014MA,B17010H_014EA,B17010H_015MA,B17010H_015EA,B17010H_016MA,B17010H_016EA,B17010H_017EA,B17010H_017MA,B17010H_018EA,B17010H_018MA,B17010H_019MA,B17010H_019EA,B17010H_020MA,B17010H_020EA,B17010H_021MA,B17010H_021EA,B17010H_022EA,B17010H_022MA,B17010H_023EA,B17010H_023MA,B17010H_024EA,B17010H_024MA,B17010H_025EA,B17010H_025MA,B17010H_026EA,B17010H_026MA,B17010H_027MA,B17010H_027EA,B17010H_028EA,B17010H_028MA,B17010H_029EA,B17010H_029MA,B17010H_030EA,B17010H_030MA,B17010H_031EA,B17010H_031MA,B17010H_032MA,B17010H_032EA,B17010H_033MA,B17010H_033EA,B17010H_034MA,B17010H_034EA,B17010H_035MA,B17010H_035EA,B17010H_036EA,B17010H_036MA,B17010H_037EA,B17010H_037MA,B17010H_038MA,B17010H_038EA,B17010H_039EA,state
1669,61813,3250,57655,3656,0400000US13,1458669,11466,94019,5064,44438,3622,23451,2993,4910,1084,7467,1479,11074,2111,20987,2252,49581,3553,8702,1777,5340,1467,1529,878,1401,738,2410,896,3362,1051,40879,3412,34560,3239,7463,1630,6655,1730,20442,2705,6319,1177,1364650,12789,1162338,12617,523820,9699,116133,5651,92201,5230,315486,7606,638518,11023,202312,6403,64361,3669,36510,2756,6485,1399,3819,1226,26206,2337,27851,2960,137951,5354,80296,4295,9998,1649,8485,null,null,null,null,null,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
158,3150,728,4277,883,0400000US15,84130,3316,3352,867,1545,617,651,367,240,324,171,151,240,194,894,482,1807,623,230,225,76,130,0,264,0,264,76,130,154,189,1577,579,1368,579,171,147,682,447,515,339,209,144,80778,3515,69140,3256,26203,2315,6111,1090,4512,1063,15580,1843,42937,2931,11638,1486,3654,910,1912,670,544,433,99,115,1269,460,1742,631,7984,1237,3707,819,401,265,156,null,null,null,null,null,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
894,13559,2220,12023,1674,0400000US16,332439,5439,27858,2423,13585,1837,8629,1567,2002,697,2723,752,3904,1091,4956,880,14273,1908,1631,626,1346,616,352,304,227,250,767,478,285,294,12642,1810,11972,1785,3416,1035,2271,743,6285,1319,670,319,304581,5349,259542,5949,115145,4385,19550,1800,24209,2287,71386,3587,144397,4275,45039,3773,14652,2064,9065,1698,1460,613,803,396,6802,1401,5587,1086,30387,3049,18364,2628,2221,844,2584,null,null,null,null,null,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
1889,95764,4648,105396,4873,0400000US17,2183364,14274,113108,6141,47656,3740,25736,3035,6560,1337,7268,1633,11908,1636,21920,2287,65452,4886,8469,1712,6986,1582,2549,1012,1340,668,3097,723,1483,620,56983,4268,50043,3888,13871,1913,10848,1637,25324,2884,6940,1420,2070256,14625,1740232,14415,758850,10654,148953,4951,145748,5612,464149,8537,981382,11047,330024,8442,100509,5229,50172,3474,9638,1541,4677,1104,35857,3239,50337,3447,229515,7422,124119,5287,15950,2011,12405,null,null,null,null,null,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
1758,64352,4176,58480,3358,0400000US18,1418479,11955,102435,4640,38293,3082,21586,2357,4065,1379,6453,1243,11068,1697,16707,1563,64142,4455,9833,1465,7982,1408,2069,808,1341,557,4572,1094,1851,649,54309,4013,49764,4076,12759,2286,11874,2357,25131,2558,4545,929,1316044,12503,1100239,13603,471955,9907,84640,4231,92669,4582,294646,8228,628284,9282,215805,6740,69260,4085,42673,3180,8239,1398,5157,1367,29277,2613,26587,2510,146545,5280,88065,5021,12892,1919,10821,null,null,null,null,null,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
1097,33826,2802,26403,2154,0400000US19,735834,8150,46375,2711,18293,1637,9802,1429,2401,829,2910,746,4491,958,8491,1215,28082,2654,4318,1113,3624,1034,1070,432,1216,815,1338,541,694,321,23764,2371,21358,2303,6474,896,4411,995,10473,1664,2406,711,689459,8208,586308,9163,237228,6109,44975,3100,45394,2725,146859,4338,349080,6800,103151,4204,28817,2699,19271,2372,4556,1066,1401,568,13314,2047,9546,1228,74334,3545,47931,3225,8236,1408,5869,null,null,null,null,null,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
768,28926,2596,20760,1881,0400000US20,603201,7346,37758,2594,14793,1684,8920,1469,2097,792,3493,954,3330,782,5873,940,22965,2209,3359,930,2586,833,892,490,188,147,1506,567,773,410,19606,1967,17254,1839,6043,1222,3918,879,7293,1433,2352,700,565443,7577,478188,8315,199746,5286,34993,2373,40094,2945,124659,4244,278442,5872,87255,3912,26956,2209,16590,2034,2637,773,1555,635,12398,1628,10366,1359,60299,3492,39539,3294,6897,1620,3716,null,null,null,null,null,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
1635,42561,2843,44403,3242,0400000US21,1011213,10285,127808,5535,60274,4055,35034,3349,7048,1732,10600,2011,17386,2258,25240,2195,67534,4250,8301,1427,6798,1239,1487,615,664,422,4647,967,1503,661,59233,4036,52715,3472,12874,2184,10224,2125,29617,2895,6518,1540,883405,11359,733664,11313,306959,7543,57266,3616,58321,3820,191372,6143,426705,7930,149741,6106,47449,3935,24258,2589,3921,936,2239,816,18098,2243,23191,2731,102292,5481,57889,3927,8377,1753,6951,null,null,null,null,null,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
1520,32818,2948,34626,3037,0400000US22,738164,9794,62427,4170,29377,2286,15375,1969,3074,965,4821,1254,7480,1504,14002,1907,33050,3238,4915,1275,3546,1184,875,568,710,478,1961,775,1369,498,28135,3123,23867,2682,6985,1424,3840,829,13042,2030,4268,1017,675737,9726,558127,10663,240984,7103,43747,3254,46766,3808,150471,5229,317143,7919,117610,5987,37649,2992,19475,2104,5043,1560,2376,707,12056,1628,18174,2615,79961,4448,45335,3748,6477,1377,6040,null,null,null,null,null,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
706,16252,2149,13578,1850,0400000US23,343677,6290,28918,2644,11111,1777,5565,1394,968,661,2152,804,2445,777,5546,1126,17807,2360,3950,977,3445,971,1358,616,246,311,1841,661,505,308,13857,2048,12717,1973,2770,751,2325,814,7622,1632,1140,531,314759,6059,259738,6310,95261,3748,15258,1570,15209,1883,64794,3100,164477,4969,55021,3592,20460,2011,12749,1733,2897,925,1006,504,8846,1476,7711,1331,34561,3084,20983,2470,2294,802,2437,null,null,null,null,null,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
1085,39790,2940,42143,2834,0400000US24,872316,8703,27195,2883,11327,1485,5543,1101,929,435,1884,752,2730,821,5784,999,15868,2480,2038,811,1696,756,273,201,176,275,1247,605,342,265,13830,2345,12623,2280,3087,1062,4003,1777,5533,976,1207,466,845121,9092,710375,8960,312568,6705,60463,3460,54175,3508,197930,5079,397807,8094,134746,5513,40038,3155,21352,2649,3850,1281,1824,603,15678,2179,18686,2123,94708,4095,52565,3317,7862,1384,4913,null,null,null,null,null,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
1625,65631,4634,78892,4320,0400000US25,1282847,12528,59677,5055,19208,2322,9357,1540,1982,828,2417,839,4958,1147,9851,1858,40469,4087,4881,1313,3713,1185,536,297,559,401,2618,1049,1168,532,35588,3770,31775,3286,6086,1673,6338,1867,19351,2419,3813,1408,1223170,11920,990562,13167,443205,9182,89738,4548,78445,4792,275022,7607,547357,10079,232608,7132,68452,4964,32303,3087,5976,1574,2281,960,24046,2592,36149,3611,164156,6520,85264,5486,12933,2437,6700,null,null,null,null,null,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
1982,91279,4309,93756,3567,0400000US26,2096099,15180,144252,4615,58962,3242,33402,2418,4898,991,11146,1746,17358,1805,25560,2095,85290,4089,16078,2384,13629,2310,5322,1476,2094,677,6213,1394,2449,647,69212,3777,60662,3730,14555,2086,13917,2086,32190,2612,8550,1244,1951847,15555,1633354,16080,693754,9142,122425,4562,134851,5644,436478,7949,939600,12838,318493,7564,105013,4388,57693,3790,13121,2180,5993,1299,38579,2912,47320,3233,213480,6288,119724,5358,15742,2125,12703,null,null,null,null,null,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
1277,54323,3488,41227,2693,0400000US27,1191464,10509,53033,3887,21877,1910,11102,1317,2612,699,3299,698,5191,1013,10775,1194,31156,3299,5667,1076,4812,1035,1156,495,796,503,2860,638,855,335,25489,3009,23412,2845,6960,1426,4247,951,12205,2332,2077,635,1138431,10807,964574,10629,419018,7227,84427,4208,79559,4204,255032,4418,545556,7711,173857,6023,60180,3429,36018,2997,8642,1164,3230,961,24146,2732,24162,2307,113677,4515,72450,3892,10342,1503,7785,null,null,null,null,null,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
1326,23099,2706,21225,2393,0400000US28,483550,7903,40290,3128,19098,2365,11225,1919,2129,825,3170,1099,5926,1374,7873,1230,21192,2854,3105,901,2314,877,431,302,465,381,1418,720,791,421,18087,2642,15848,2625,3426,993,4498,1516,7924,2065,2239,692,443260,7464,368649,7743,150813,5505,29370,2498,29829,2611,91614,4554,217836,6044,74611,4551,22588,2854,12972,2177,1903,763,1903,777,9166,1731,9616,1594,52023,3802,30798,3354,3401,1016,4298,null,null,null,null,null,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
1623,57526,3620,52457,3084,0400000US29,1295158,11359,103833,5525,42470,3034,24995,2451,5427,1301,7921,1246,11647,1856,17475,1991,61363,4188,10273,1643,7615,1441,2208,800,857,459,4550,1140,2658,870,51090,3685,47270,3636,11767,1794,10058,1646,25445,2650,3820,907,1191325,12531,995520,13397,414295,8355,79789,3750,78919,4084,255587,6847,581225,8964,195805,6070,64494,4206,39397,3568,8933,1811,4551,1620,25913,2669,25097,2809,131311,5333,78854,4691,13162,1806,8166,null,null,null,null,null,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
502,8865,1287,5889,1007,0400000US30,214879,4390,18659,2049,9066,1294,5074,991,938,372,1499,666,2637,647,3992,772,9593,1601,1894,778,1339,635,278,296,181,278,880,497,555,453,7699,1450,7324,1447,1908,723,1121,547,4295,1029,375,291,196220,4473,169925,4557,63219,2376,11739,1397,10712,1512,40768,2318,106706,4319,26295,2369,8713,1398,4817,1024,776,406,955,619,3086,804,3896,980,17582,1863,11693,1568,2043,793,785,null,null,null,null,null,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
