GEO_ID,B10053_001E,B10053_001M,B10053_002E,B10053_002M,B10053_003E,B10053_003M,B10053_004E,B10053_004M,B10053_005E,B10053_005M,B10053_006E,B10053_006M,B10053_007E,B10053_007M,B10053_008E,B10053_008M,B10053_009E,B10053_009M,B10053_010E,B10053_010M,B10053_011E,B10053_011M,B10053_012E,B10053_012M,B10053_013E,B10053_013M,B10053_014E,B10053_014M,B10053_015E,B10053_015M,B10053_016E,B10053_016M,B10053_017E,B10053_017M,B10053_018E,B10053_018M,B10053_019E,B10053_019M,NAME,B10053_001EA,B10053_001MA,B10053_002EA,B10053_002MA,B10053_003MA,B10053_003EA,B10053_004MA,B10053_004EA,B10053_005EA,B10053_005MA,B10053_006EA,B10053_006MA,B10053_007EA,B10053_007MA,B10053_008MA,B10053_008EA,B10053_009MA,B10053_009EA,B10053_010EA,B10053_010MA,B10053_011EA,B10053_011MA,B10053_012EA,B10053_012MA,B10053_013MA,B10053_013EA,B10053_014MA,B10053_014EA,B10053_015MA,B10053_015EA,B10053_016EA,B10053_016MA,B10053_017EA,B10053_017MA,B10053_018MA,B10053_018EA,B10053_019MA,B10053_019EA,state
0400000US01,111975,6719,109523,6536,64667,5410,28643,3424,19225,2870,9418,1695,36024,3882,27688,3678,8336,1506,44856,3621,2452,864,1156,674,297,230,216,190,81,136,859,634,647,600,212,245,1296,554,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,13181,2042,11755,1924,6630,1346,2972,1033,1182,541,1790,764,3658,922,2599,819,1059,325,5125,1291,1426,579,239,228,185,202,0,233,185,202,54,94,0,233,54,94,1187,537,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,122247,7082,88859,6255,44370,4473,18423,2570,9060,1954,9363,1572,25947,3322,19507,3151,6440,1382,44489,4405,33388,3928,11301,2555,1820,1009,1036,690,784,561,9481,2206,8078,2132,1403,689,22087,2923,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,57802,4390,54399,4142,33774,3206,16820,1990,9825,1582,6995,1160,16954,2239,12009,1894,4945,1136,20625,2472,3403,1091,1649,885,37,66,37,66,0,260,1612,881,1455,840,157,179,1754,789,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,885034,21469,382932,10890,161529,7119,59252,4615,32145,3242,27107,2830,102277,5751,65426,5399,36851,3751,221403,8557,502102,18511,107967,7754,16908,2422,9108,1699,7800,1462,91059,7528,65870,6903,25189,3200,394135,15214,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,63960,5035,53135,4518,26749,3251,11216,2099,6455,1740,4761,1013,15533,1994,11869,1764,3664,1012,26386,2737,10825,2155,3484,1095,260,203,145,167,115,109,3224,1136,2473,1022,751,540,7341,1656,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,50107,4224,37854,3671,12991,2272,4610,1171,2680,1011,1930,609,8381,1794,5190,1495,3191,1006,24863,2867,12253,1965,3215,1355,462,348,176,144,286,310,2753,1267,1838,1144,915,434,9038,1466,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,18645,2411,15391,2341,6487,1390,2763,993,1424,792,1339,528,3724,1155,2198,777,1526,634,8904,1829,3254,1145,754,452,0,262,0,262,0,262,754,452,667,442,87,108,2500,980,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,11078,1940,9286,1515,5279,1130,2387,732,875,414,1512,564,2892,948,2086,792,806,487,4007,1077,1792,996,485,325,111,129,62,101,49,81,374,310,246,282,128,170,1307,923,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,357729,13298,238683,10034,121364,8165,57368,4994,32965,3813,24403,3231,63996,5969,48757,5708,15239,1850,117319,7139,119046,7464,32665,4420,8345,1615,3964,1305,4381,1198,24320,4114,15958,3168,8362,2195,86381,6110,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
