GEO_ID,B15002A_001E,B15002A_001M,B15002A_002E,B15002A_002M,B15002A_003E,B15002A_003M,B15002A_004E,B15002A_004M,B15002A_005E,B15002A_005M,B15002A_006E,B15002A_006M,B15002A_007E,B15002A_007M,B15002A_008E,B15002A_008M,B15002A_009E,B15002A_009M,B15002A_010E,B15002A_010M,B15002A_011E,B15002A_011M,B15002A_012E,B15002A_012M,B15002A_013E,B15002A_013M,B15002A_014E,B15002A_014M,B15002A_015E,B15002A_015M,B15002A_016E,B15002A_016M,B15002A_017E,B15002A_017M,NAME,B15002A_001EA,B15002A_001MA,B15002A_002MA,B15002A_002EA,B15002A_003MA,B15002A_003EA,B15002A_004MA,B15002A_004EA,B15002A_005EA,B15002A_005MA,B15002A_006EA,B15002A_006MA,B15002A_007MA,B15002A_007EA,B15002A_008MA,B15002A_008EA,B15002A_009MA,B15002A_009EA,B15002A_010EA,B15002A_010MA,B15002A_011EA,B15002A_011MA,B15002A_012EA,B15002A_012MA,B15002A_013EA,B15002A_013MA,B15002A_014EA,B15002A_014MA,B15002A_015EA,B15002A_015MA,B15002A_016EA,B15002A_016MA,B15002A_017EA,B15002A_017MA,state
0400000US01,2183067,3304,1050732,2524,64453,3703,125394,6353,312467,7969,215667,6855,64678,3354,166996,6383,101077,5632,1132335,1864,59487,3877,136269,5484,372078,8764,229021,6131,83191,4698,160604,6242,91685,4735,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,289242,1584,148469,972,3143,814,6011,1169,41140,2619,41159,2492,12098,1402,27196,2273,17722,1563,140773,1223,1469,464,5394,1012,34383,2200,39640,2442,11296,1499,30120,2153,18471,1829,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,2981692,10542,1457560,6635,77880,5277,120548,6648,338612,10244,359233,8189,119173,7184,278081,8880,164033,5656,1524132,6128,69951,5484,117329,7414,419773,9353,396644,8907,132897,5939,248163,8051,139375,5326,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,1463757,3904,704999,2417,46840,3357,81735,4314,244382,6094,154596,5143,32391,2900,94241,4204,50814,3506,758758,2283,43017,2945,83904,4144,277304,6515,160423,5398,47627,2865,99200,4456,47283,3014,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,14252245,43062,6988857,23591,562615,15439,590445,15805,1461553,21297,1509992,19604,516372,12058,1413942,17831,933938,14563,7263388,22694,565625,15117,587174,17878,1634309,24687,1730416,19772,602377,13186,1376781,16668,766706,11938,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,2542223,8959,1259934,5686,46974,4048,79473,5121,289231,9567,260579,7762,95096,4377,311545,8024,177036,5351,1282289,5380,39618,4159,74809,5432,308767,8612,291262,7043,105880,5698,310233,6915,151720,4651,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,1929137,5554,915964,3128,31441,3072,63045,4267,265383,6740,152040,5859,54008,3108,201477,7230,148570,5402,1013173,3308,39323,3221,64416,4166,289462,7620,169970,5205,91808,4351,203791,5649,154403,5534,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,423796,1760,203465,1227,9094,1415,21342,1998,64840,3346,36200,2489,11696,1488,35278,2275,25015,2260,220331,821,6765,1190,19845,2253,74423,3422,38118,2650,19540,1919,38431,2452,23209,1986,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,133919,2006,65754,1080,1283,585,879,452,2608,771,3452,848,1269,407,21610,1870,34653,2057,68165,1309,1292,621,438,307,4597,1122,5100,933,1616,544,23455,1664,31667,1772,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,9558647,15792,4584663,10976,219458,9421,422892,12080,1309226,18229,950315,15094,346896,10863,835133,14884,500743,12192,4973984,8202,216259,7925,434147,10696,1601506,17401,1054882,15189,455974,10700,813900,13413,397316,9324,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,3726817,9919,1821780,6852,99451,5992,186846,6560,501339,10081,350486,8351,103276,5326,373294,9783,207088,6126,1905037,5100,85671,4981,179434,6764,573397,10690,382211,8910,132144,5370,355188,9468,196992,6779,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,228494,2299,118027,1610,1609,766,5294,1145,27870,2458,26721,2049,10177,1539,25284,2120,21072,1957,110467,1217,1888,621,5559,1109,24537,2130,26386,2128,11025,1548,26031,2176,15041,1550,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,814881,2497,400946,1575,16313,2255,32777,2350,116643,5289,100797,4157,30775,2423,67095,3403,36546,2795,413935,1897,11140,1477,34216,2949,126180,4113,115353,4461,35068,2683,66662,3605,25316,2371,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,6106272,14460,2952484,9084,142692,8147,199228,8303,840346,12584,609025,10520,197446,7477,598218,11522,365529,8184,3153788,7458,147626,6547,211876,6962,940688,12476,674130,9940,254876,7658,593351,10371,331241,7435,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,3484701,5282,1678538,3495,70035,4059,159936,5757,626650,9448,324645,6257,112352,4667,248431,7193,136489,5253,1806163,2604,66216,3963,183071,6694,693261,9305,358842,7860,133410,4427,235394,7151,135969,4882,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,1831049,3342,883511,2333,32158,2240,59616,3014,331111,6655,172627,5351,72271,3956,144757,4677,70971,3795,947538,1631,29286,2203,57491,3185,336393,5880,206088,5412,97442,3776,160073,4796,60765,2578,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,1512517,3919,732395,2897,26378,2361,47700,3051,220155,6590,167452,4888,45506,2712,148698,5524,76506,3123,780122,2036,21015,2411,50448,3204,235555,5352,191515,5473,62879,3392,145918,4502,72792,3614,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,2477471,3339,1188038,2287,117988,4417,150961,6298,417118,8164,210629,6519,63530,3700,139727,4316,88085,4776,1289433,1820,108791,4552,141382,6139,453187,8903,241104,7167,92984,4069,145815,5441,106170,4449,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,1893689,3398,912865,2350,55473,3739,95508,5305,311875,8341,191837,6293,38981,3791,139356,5325,79835,3889,980824,1910,48555,3107,97390,4669,352508,8920,204470,6017,51455,3381,152327,5472,74119,4191,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
