GEO_ID,B05003_001E,B05003_001M,B05003_002E,B05003_002M,B05003_003E,B05003_003M,B05003_004E,B05003_004M,B05003_005E,B05003_005M,B05003_006E,B05003_006M,B05003_007E,B05003_007M,B05003_008E,B05003_008M,B05003_009E,B05003_009M,B05003_010E,B05003_010M,B05003_011E,B05003_011M,B05003_012E,B05003_012M,B05003_013E,B05003_013M,B05003_014E,B05003_014M,B05003_015E,B05003_015M,B05003_016E,B05003_016M,B05003_017E,B05003_017M,B05003_018E,B05003_018M,B05003_019E,B05003_019M,B05003_020E,B05003_020M,B05003_021E,B05003_021M,B05003_022E,B05003_022M,B05003_023E,B05003_023M,NAME,B05003_001EA,B05003_001MA,B05003_002EA,B05003_002MA,B05003_003EA,B05003_003MA,B05003_004EA,B05003_004MA,B05003_005MA,B05003_005EA,B05003_006MA,B05003_006EA,B05003_007EA,B05003_007MA,B05003_008EA,B05003_008MA,B05003_009EA,B05003_009MA,B05003_010MA,B05003_010EA,B05003_011MA,B05003_011EA,B05003_012EA,B05003_012MA,B05003_013EA,B05003_013MA,B05003_014EA,B05003_014MA,B05003_015EA,B05003_015MA,B05003_016MA,B05003_016EA,B05003_017MA,B05003_017EA,B05003_018EA,B05003_018MA,B05003_019EA,B05003_019MA,B05003_020EA,B05003_020MA,B05003_021MA,B05003_021EA,B05003_022MA,B05003_022EA,B05003_023EA,B05003_023MA,state
0400000US01,4442558,0,2142901,3564,552841,3366,544914,3649,7927,1240,1269,561,6658,1255,1590060,1971,1535790,3171,54270,2865,14336,1606,39934,3033,2299657,3564,532867,3434,523807,3481,9060,2122,2111,747,6949,2090,1766790,1807,1717274,3611,49516,3435,18798,1735,30718,3137,Alabama,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,641724,0,325699,1891,95216,1712,94120,1783,1096,518,483,336,613,418,230483,951,216506,1691,13977,1584,8280,1323,5697,1135,316025,1891,92282,1643,91066,1699,1216,521,319,230,897,456,223743,885,205664,1628,18079,1284,11096,1156,6983,1130,Alaska,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,5829839,0,2902933,2476,806401,2141,756001,4826,50400,4496,5196,1484,45204,4537,2096532,1331,1711947,10768,384585,10772,118354,6589,266231,9373,2926906,2476,767487,1972,719050,5357,48437,4759,6135,1808,42302,4967,2159419,1278,1799545,8585,359874,8459,132970,4827,226904,7841,Arizona,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2701431,0,1314810,3291,342740,2706,337709,2789,5031,1052,168,130,4863,1061,972070,2098,924604,3154,47466,2779,10793,1557,36673,2599,1386621,3291,329594,3131,321640,3449,7954,1499,953,617,7001,1430,1057027,1776,1016309,2732,40718,2576,10890,1526,29828,2372,Arkansas,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,35278768,0,17497507,4744,4942912,4279,4571064,15932,371848,14690,58046,5313,313802,13891,12554595,3194,8155054,29196,4399541,28925,1878560,23409,2520981,27965,17781261,4744,4712230,4257,4372461,13318,339769,13596,57346,5742,282423,12093,13069031,2605,8568833,26269,4500198,26145,2134185,22688,2366013,26014,California,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,4562244,0,2283293,3084,596976,2871,571086,3478,25890,3026,3316,1020,22574,2773,1686317,2057,1471405,7427,214912,6954,63069,4182,151843,6584,2278951,3084,579187,3033,553851,3971,25336,2902,4688,1424,20648,2702,1699764,1877,1505608,5733,194156,5550,70611,4061,123545,4843,Colorado,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,3394751,0,1645607,1440,424991,1185,407485,2064,17506,2129,4263,1224,13243,1996,1220616,1198,1029213,7971,191403,8218,89416,5464,101987,7235,1749144,1440,405899,1161,390408,2457,15491,2043,5260,1307,10231,1710,1343245,1043,1144391,7817,198854,7730,107202,6235,91652,5429,Connecticut,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,818587,0,396855,962,99290,1009,97276,1069,2014,701,301,180,1713,662,297565,546,268739,2223,28826,2259,11533,1629,17293,1905,421732,962,96173,954,93556,1185,2617,851,711,294,1906,787,325559,402,296149,2181,29410,2158,12386,1614,17024,1692,Delaware,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,515118,0,242560,593,55787,571,54239,746,1548,797,195,198,1353,763,186773,191,155355,2317,31418,2322,8436,1505,22982,2082,272558,593,55752,581,53220,998,2532,1083,543,510,1989,1078,216806,188,184587,2066,32219,2053,12661,1818,19558,2098,District of Columbia,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,17382511,0,8466292,6005,2068572,4543,1942299,8363,126273,6476,18756,2502,107517,6100,6397720,4050,4966941,15438,1430779,14934,623100,13388,807679,14602,8916219,6005,1978278,4781,1851622,8349,126656,7409,19906,2518,106750,6853,6937941,3333,5408694,16921,1529247,16948,791344,14016,737903,15002,Florida,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
