GEO_ID,B17003_001E,B17003_001M,B17003_002E,B17003_002M,B17003_003E,B17003_003M,B17003_004E,B17003_004M,B17003_005E,B17003_005M,B17003_006E,B17003_006M,B17003_007E,B17003_007M,B17003_008E,B17003_008M,B17003_009E,B17003_009M,B17003_010E,B17003_010M,B17003_011E,B17003_011M,B17003_012E,B17003_012M,B17003_013E,B17003_013M,B17003_014E,B17003_014M,B17003_015E,B17003_015M,B17003_016E,B17003_016M,B17003_017E,B17003_017M,B17003_018E,B17003_018M,B17003_019E,B17003_019M,B17003_020E,B17003_020M,B17003_021E,B17003_021M,B17003_022E,B17003_022M,B17003_023E,B17003_023M,NAME,B17003_001EA,B17003_001MA,B17003_002MA,B17003_002EA,B17003_003MA,B17003_003EA,B17003_004MA,B17003_004EA,B17003_005EA,B17003_005MA,B17003_006EA,B17003_006MA,B17003_007MA,B17003_007EA,B17003_008MA,B17003_008EA,B17003_009MA,B17003_009EA,B17003_010EA,B17003_010MA,B17003_011EA,B17003_011MA,B17003_012MA,B17003_012EA,B17003_013MA,B17003_013EA,B17003_014MA,B17003_014EA,B17003_015EA,B17003_015MA,B17003_016EA,B17003_016MA,B17003_017MA,B17003_017EA,B17003_018MA,B17003_018EA,B17003_019MA,B17003_019EA,B17003_020EA,B17003_020MA,B17003_021EA,B17003_021MA,B17003_022MA,B17003_022EA,B17003_023MA,B17003_023EA,state
0400000US01,2944634,4653,376131,12736,126303,6674,58897,4488,39881,4238,19120,1871,8405,1399,249828,7998,99397,5132,88497,5408,50819,4629,11115,1955,2568503,13325,1253994,7355,223252,7235,389013,8627,340450,8385,301279,8362,1314509,8844,199360,5907,424592,9500,380748,8332,309809,8152,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,387609,1667,33943,3225,16066,2057,2660,737,7737,1355,4470,984,1199,467,17877,1844,3364,695,7770,1242,5645,1051,1098,444,353666,3685,179252,2174,14635,1643,53341,2977,62708,3337,48568,2750,174414,2259,14075,1469,43254,2234,62209,2786,54876,2619,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,3703355,2933,385451,13850,157400,7685,60821,5129,42205,3138,34916,3291,19458,2320,228051,8316,79024,5282,71692,4992,58350,4250,18985,2133,3317904,13171,1657539,7300,246025,8055,395595,11334,534449,9204,481470,9998,1660365,8294,212662,7233,439404,10083,581500,10389,426799,9447,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,1777242,3820,232686,8466,89061,4447,31521,2791,34313,3330,16421,1957,6806,1265,143625,5707,52024,3241,55038,3624,29079,2531,7484,1638,1544556,8414,756272,5397,133381,4564,265330,6384,201055,5988,156506,5405,788284,5992,120608,5333,277172,7294,225983,6246,164521,5876,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,22299041,5730,2258561,39738,935676,21315,395275,14221,222903,8980,185919,9377,131579,7148,1322885,24025,561346,15590,325594,13927,288687,9279,147258,8402,20040480,38626,9927033,20567,1778937,23690,2099158,25731,2799527,26335,3249411,27525,10113447,24571,1706640,23250,2220775,28007,3128320,28888,3057712,24061,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,2964773,3383,249590,9246,103350,5345,31633,3475,28654,2993,25167,2581,17896,2564,146240,6288,44857,3391,42378,3691,42030,3500,16975,2165,2715183,9398,1365929,6160,140151,6401,313227,10266,391130,9266,521421,9626,1349254,6344,119159,6427,322414,8971,412796,7981,494885,7482,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2300565,1447,154715,8343,58270,5031,18140,2849,21428,2985,8175,1719,10527,2141,96445,5325,32864,3482,32621,3076,18335,2131,12625,2235,2145850,8704,1028744,5370,114397,5016,303373,7794,227158,6382,383816,8511,1117106,5432,113072,6277,318279,8527,289508,7516,396247,7676,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,551079,992,40811,3845,16169,2299,6203,1388,6072,1449,2588,894,1306,526,24642,2419,7619,1263,10377,1690,4399,935,2247,771,510268,4012,244354,2440,35306,2634,77019,3727,58776,3207,73253,3750,265914,2496,30199,2381,88363,3801,72279,3700,75073,3352,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,371932,726,52858,3834,18972,2281,7419,1500,5040,1163,2486,708,4027,1038,33886,2937,11025,1683,12056,2101,6076,1268,4729,1148,319074,3799,151593,2412,21734,2374,27910,2589,23687,1851,78262,2819,167481,2876,20901,2031,33158,2572,32132,2106,81290,2808,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,11850782,6636,1200052,26561,449204,15224,156377,7899,146902,8694,88966,6055,56959,3993,750848,16593,251819,9662,267496,10544,162152,7910,69381,4747,10650730,28518,5193998,16570,739447,15362,1499910,21120,1477643,22197,1476998,21264,5456732,16374,678186,13158,1705315,19603,1697981,20088,1375250,17675,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
