B08513_029E,B08513_029M,B08513_030E,B08513_030M,B08513_031E,B08513_031M,B08513_032E,B08513_032M,B08513_033E,B08513_033M,B08513_034E,B08513_034M,B08513_035E,B08513_035M,B08513_036E,B08513_036M,B08513_037E,B08513_037M,B08513_038E,B08513_038M,B08513_039E,B08513_039M,B08513_040E,B08513_040M,B08513_041E,B08513_041M,B08513_042E,B08513_042M,B08513_043E,B08513_043M,B08513_044E,B08513_044M,B08513_045E,B08513_045M,B08513_046E,B08513_046M,B08513_047E,B08513_047M,B08513_048E,B08513_048M,B08513_049E,B08513_049M,B08513_050E,B08513_050M,B08513_051E,B08513_051M,B08513_052E,B08513_052M,B08513_053E,B08513_053M,B08513_054E,B08513_054M,B08513_055E,B08513_055M,B08513_056E,B08513_056M,GEO_ID,B08513_001E,B08513_001M,B08513_002E,B08513_002M,B08513_003E,B08513_003M,B08513_004E,B08513_004M,B08513_005E,B08513_005M,B08513_006E,B08513_006M,B08513_007E,B08513_007M,B08513_008E,B08513_008M,B08513_009E,B08513_009M,B08513_010E,B08513_010M,B08513_011E,B08513_011M,B08513_012E,B08513_012M,B08513_013E,B08513_013M,B08513_014E,B08513_014M,B08513_015E,B08513_015M,B08513_016E,B08513_016M,B08513_017E,B08513_017M,B08513_018E,B08513_018M,B08513_019E,B08513_019M,B08513_020E,B08513_020M,B08513_021E,B08513_021M,B08513_022E,B08513_022M,B08513_023E,B08513_023M,B08513_024E,B08513_024M,B08513_025E,B08513_025M,B08513_026E,B08513_026M,B08513_027E,B08513_027M,B08513_028E,B08513_028M,B08513_029EA,B08513_029MA,B08513_030EA,B08513_030MA,B08513_031MA,B08513_031EA,B08513_032MA,B08513_032EA,B08513_033MA,B08513_033EA,B08513_034EA,B08513_034MA,B08513_035MA,B08513_035EA,B08513_036MA,B08513_036EA,B08513_037MA,B08513_037EA,B08513_038MA,B08513_038EA,B08513_039MA,B08513_039EA,B08513_040MA,B08513_040EA,B08513_041EA,B08513_041MA,B08513_042EA,B08513_042MA,B08513_043EA,B08513_043MA,B08513_044MA,B08513_044EA,B08513_045MA,B08513_045EA,B08513_046EA,B08513_046MA,B08513_047EA,B08513_047MA,B08513_048EA,B08513_048MA,B08513_049MA,B08513_049EA,B08513_050MA,B08513_050EA,B08513_051EA,B08513_051MA,B08513_052EA,B08513_052MA,B08513_053EA,B08513_053MA,B08513_054MA,B08513_054EA,B08513_055MA,B08513_055EA,B08513_056EA,B08513_056MA,NAME,B08513_001EA,B08513_001MA,B08513_002EA,B08513_002MA,B08513_003EA,B08513_003MA,B08513_004MA,B08513_004EA,B08513_005MA,B08513_005EA,B08513_006MA,B08513_006EA,B08513_007EA,B08513_007MA,B08513_008EA,B08513_008MA,B08513_009MA,B08513_009EA,B08513_010MA,B08513_010EA,B08513_011MA,B08513_011EA,B08513_012EA,B08513_012MA,B08513_013EA,B08513_013MA,B08513_014MA,B08513_014EA,B08513_015MA,B08513_015EA,B08513_016MA,B08513_016EA,B08513_017MA,B08513_017EA,B08513_018EA,B08513_018MA,B08513_019EA,B08513_019MA,B08513_020MA,B08513_020EA,B08513_021MA,B08513_021EA,B08513_022MA,B08513_022EA,B08513_023EA,B08513_023MA,B08513_024EA,B08513_024MA,B08513_025MA,B08513_025EA,B08513_026MA,B08513_026EA,B08513_027MA,B08513_027EA,B08513_028MA,B08513_028EA,state
0,268,87,106,0,268,87,106,22998,3159,19872,2862,1277,580,326,294,951,484,1849,1120,1231,908,618,460,22587,2713,21027,2657,1096,657,126,175,970,633,464,270,407,259,57,72,43419,3740,42134,3679,633,447,553,445,80,83,652,478,508,326,144,265,0400000US01,1902128,16556,1813089,16849,51082,3418,20422,2627,30660,2616,37957,3993,26357,3413,11600,1520,1599861,17665,1539693,17074,30831,3279,16065,2351,14766,2057,29337,3283,20895,2842,8442,1346,205436,9440,182679,9181,17189,2433,3296,972,13893,2251,5568,1718,3316,1650,2252,701,7827,1923,7684,1938,56,98,56,98,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0,268,761,485,160,158,601,442,19766,1970,14859,1707,110,107,101,102,9,15,4797,765,3855,648,942,314,17148,2055,14629,1879,185,195,185,195,0,268,2334,903,1738,846,596,305,12067,1657,10580,1441,242,222,209,212,33,52,1245,468,857,373,388,286,0400000US02,298923,5561,261615,5626,7808,1345,6017,1203,1791,593,29500,2319,20257,1971,9243,1415,201624,5975,182780,5940,4761,1048,3846,1018,915,384,14083,1744,9348,1600,4735,945,44617,3248,35911,2923,2426,862,1592,773,834,490,6280,1423,4299,1172,1981,687,3701,987,2856,863,84,107,84,107,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
13681,3342,4786,1622,3176,1259,1610,852,53420,4515,36497,3802,12598,2437,5573,1392,7025,1846,4325,1101,3114,996,1211,589,54553,5021,40012,3493,11762,3302,5402,2420,6360,2208,2779,791,1767,682,1012,521,104022,5974,89350,5389,9379,1815,5392,1210,3987,1338,5293,1226,4434,1116,859,435,0400000US04,2556544,15310,1855871,15767,553919,10515,267394,10302,286525,11121,146754,6596,109691,6196,37063,3515,1932189,18646,1459539,15937,368062,9819,201936,8838,166126,8383,104588,6030,80960,5550,23628,2825,363623,11781,204420,9424,134220,8870,44874,4873,89346,7607,24983,3634,16240,2883,8743,1948,48737,5031,26053,3379,17898,3590,4217,1157,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
326,331,71,120,0,268,71,120,18668,2396,16206,2183,2023,1109,220,176,1803,1071,439,368,298,329,141,142,16887,2166,15474,2149,1176,502,338,316,838,443,237,179,174,200,63,112,31252,3349,29628,3210,1198,674,561,426,637,442,426,314,366,299,60,96,0400000US05,1200858,12781,1124881,13045,55419,3607,22952,2995,32467,2431,20558,2563,13595,2395,6963,1212,980236,12802,931706,13253,33567,3302,16675,2753,16892,1925,14963,1964,10146,2016,4817,1003,150065,7767,128521,6896,17122,2550,5151,1410,11971,1833,4422,1510,2611,1056,1811,843,3750,1331,3346,1284,333,332,7,13,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
226613,12951,121893,9673,65364,5506,56529,6216,383022,11896,200517,9010,129225,6797,40855,4554,88370,6097,53280,4017,28341,3085,24939,2982,310602,13093,171976,8597,102939,7577,26327,3488,76612,7238,35687,5062,21974,3054,13713,3136,662513,13426,481455,10746,97431,7947,46257,4428,51174,5458,83627,5751,51357,4763,32270,2824,0400000US06,15547355,39306,9123108,46618,4228526,34608,1914162,28441,2314364,33042,2195721,28967,1330189,24357,865532,20269,11508503,41760,7117171,42444,2790823,26891,1461694,21573,1329129,22164,1600509,23680,999350,20098,601159,17749,1949509,26101,838617,18168,810167,18916,267701,11539,542466,17170,300725,10620,163803,8514,136922,7590,733206,18253,313372,10790,297941,13317,71328,5469,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
5541,1825,4638,1376,2940,974,1698,1088,66179,4096,51845,3342,10386,2353,4498,1433,5888,1966,3948,1029,2927,963,1021,511,41769,3442,35579,3368,3798,1123,1960,961,1838,759,2392,589,1757,532,635,335,137031,6572,125266,5990,5562,1145,4146,1109,1416,524,6203,1515,5297,1429,906,487,0400000US08,2276165,12672,1909879,14614,258913,9451,120564,7848,138349,8319,107373,7092,73703,6415,33670,4186,1740733,15175,1483180,14043,179423,9362,89838,6686,89585,7730,78130,6336,54299,6008,23831,3414,228894,10199,166218,8097,50614,4620,16533,2526,34081,3751,12062,2146,6483,1368,5579,1549,61559,4764,47791,4157,9130,2128,3589,1188,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
6091,1690,8367,2008,3432,1027,4935,1488,32626,4057,23366,3054,5545,2183,2608,836,2937,2018,3715,875,2116,658,1599,648,18144,2222,10886,1731,3985,1321,1241,596,2744,1133,3273,1386,1137,545,2136,1367,54183,3413,46806,2907,2782,945,1535,633,1247,689,4595,1301,3735,1304,860,335,0400000US09,1648283,15093,1335414,13922,149691,4866,84716,5137,64975,5824,163178,8001,99361,4787,63817,5766,1357015,16525,1132376,14815,102675,4804,64527,5104,38148,3615,121964,6800,79090,5021,42874,4204,137578,7316,91652,5605,24662,3523,10854,2155,13808,2618,21264,2998,9851,1439,11413,2696,48737,4664,30328,3478,10042,2085,3951,907,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
105,140,890,461,403,257,487,363,7393,1632,5303,1194,1822,1007,777,597,1045,792,268,220,107,129,161,160,5497,1413,4598,1283,310,208,160,151,150,173,589,403,532,391,57,94,14552,2167,13228,2078,723,442,424,369,299,195,601,362,402,307,199,197,0400000US10,405768,6661,359072,6657,23801,2400,10589,1854,13212,1768,22895,2518,16635,2011,6260,1438,328212,6410,297065,6886,15152,1995,7504,1478,7648,1475,15995,1760,12609,1712,3386,814,42603,3539,32623,2819,5428,1244,1463,755,3965,1078,4552,1451,2582,965,1970,844,7511,1408,6255,1127,366,331,261,280,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
12007,2274,29543,3617,20467,2572,9076,2258,25990,2306,20065,1963,2816,1033,2376,962,440,310,3109,892,2429,741,680,517,11838,1680,9178,1505,1018,531,714,432,304,307,1642,734,1028,590,614,426,11110,1973,8662,1593,516,302,399,269,117,135,1932,725,1881,705,51,83,0400000US11,669068,13056,525221,11130,59069,5398,30915,3488,28154,3553,84778,5489,59038,3814,25740,3193,290822,9233,235083,7823,19986,2935,12529,2262,7457,1751,35753,3306,25083,2728,10670,1733,86128,6647,61726,5402,11603,2712,3774,1185,7829,2330,12799,2368,8150,1457,4649,1561,243180,7521,190507,6783,23130,3011,11123,1989,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
29900,4323,23014,4513,10035,3442,12979,2613,118815,8668,76707,5604,32589,5252,12986,3186,19603,4437,9519,2343,5670,1496,3849,1432,142030,7773,95066,5693,37466,4748,11007,1896,26459,4216,9498,2141,4619,1134,4879,1890,279325,9541,231178,9081,32174,3683,19825,2558,12349,2474,15973,2525,12300,2290,3673,1087,0400000US12,7674825,26995,5619856,27315,1521680,15961,796775,14497,724905,15752,533289,14600,322643,11962,210646,10216,6145295,33344,4611087,30021,1130274,17729,653188,12734,477086,13249,403934,13249,255784,11004,148150,8207,853275,18966,536435,15799,245489,12720,85981,5813,159508,11060,71351,6036,34235,3374,37116,4328,136085,8558,69383,5204,43688,5254,13788,2961,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
