GEO_ID,B05004_001E,B05004_001M,B05004_002E,B05004_002M,B05004_003E,B05004_003M,B05004_004E,B05004_004M,B05004_005E,B05004_005M,B05004_006E,B05004_006M,B05004_007E,B05004_007M,B05004_008E,B05004_008M,B05004_009E,B05004_009M,B05004_010E,B05004_010M,B05004_011E,B05004_011M,B05004_012E,B05004_012M,B05004_013E,B05004_013M,B05004_014E,B05004_014M,B05004_015E,B05004_015M,NAME,B05004_001EA,B05004_001MA,B05004_002EA,B05004_002MA,B05004_003MA,B05004_003EA,B05004_004MA,B05004_004EA,B05004_005MA,B05004_005EA,B05004_006EA,B05004_006MA,B05004_007EA,B05004_007MA,B05004_008EA,B05004_008MA,B05004_009MA,B05004_009EA,B05004_010MA,B05004_010EA,B05004_011MA,B05004_011EA,B05004_012MA,B05004_012EA,B05004_013EA,B05004_013MA,B05004_014EA,B05004_014MA,B05004_015MA,B05004_015EA,state
0400000US01,37.4,0.1,36.0,0.2,38.9,0.2,37.6,0.2,36.2,0.2,39.0,0.2,34.0,1.1,32.7,1.3,35.3,1.0,46.8,1.4,46.0,2.1,47.5,2.1,30.4,1.0,30.0,1.0,31.2,1.4,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,33.9,0.3,33.6,0.6,34.1,0.3,32.6,0.3,32.6,0.4,32.6,0.5,44.6,1.1,43.3,2.3,46.4,1.6,48.5,1.4,46.2,3.9,49.6,1.8,40.2,3.6,40.3,5.0,40.0,3.5,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,34.5,0.2,33.4,0.1,35.6,0.1,34.2,0.2,33.2,0.2,35.1,0.2,35.3,0.4,34.0,0.5,36.8,0.5,45.8,0.7,44.7,1.1,47.3,1.0,31.4,0.5,30.5,0.4,32.5,0.5,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,37.0,0.2,35.7,0.2,38.2,0.2,37.3,0.2,36.0,0.3,38.4,0.3,32.4,1.1,31.4,1.5,33.5,1.5,49.7,2.2,48.1,2.2,51.5,4.7,29.9,0.7,29.1,0.9,30.7,0.9,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,34.4,0.2,33.4,0.1,35.3,0.2,29.7,0.2,28.6,0.1,30.8,0.2,40.0,0.2,39.0,0.2,40.9,0.2,47.6,0.2,47.1,0.2,48.1,0.3,34.7,0.2,34.1,0.2,35.4,0.2,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,34.7,0.2,34.0,0.2,35.5,0.2,34.7,0.2,34.0,0.2,35.6,0.2,34.5,0.4,33.8,0.5,35.3,0.9,44.6,1.0,44.0,1.2,45.3,1.4,31.5,0.4,31.1,0.5,32.0,0.6,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,39.3,0.2,38.0,0.2,40.4,0.2,38.7,0.2,37.5,0.3,39.9,0.3,41.6,0.5,40.5,0.8,43.1,0.8,49.4,0.8,48.7,1.3,50.1,1.1,35.3,0.7,34.2,1.1,36.4,1.1,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,37.9,0.3,36.8,0.3,38.9,0.3,37.9,0.3,36.8,0.4,39.0,0.4,37.8,1.2,37.2,1.5,38.4,1.9,47.7,2.7,45.3,4.1,49.5,2.5,32.7,1.8,31.8,1.6,33.6,2.6,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,35.9,0.2,35.1,0.2,36.6,0.3,35.6,0.3,34.5,0.4,36.4,0.3,37.6,1.6,37.5,2.4,37.7,2.0,49.7,2.6,47.4,5.7,52.4,4.8,34.1,1.5,34.7,1.8,33.0,2.2,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,39.5,0.2,38.2,0.1,40.8,0.2,38.1,0.1,36.8,0.2,39.4,0.2,43.1,0.3,41.6,0.3,44.6,0.3,52.1,0.3,50.6,0.5,53.3,0.5,36.1,0.3,35.5,0.4,36.7,0.4,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
