GEO_ID,B01002C_001E,B01002C_001M,B01002C_002E,B01002C_002M,B01002C_003E,B01002C_003M,NAME,B01002C_001EA,B01002C_001MA,B01002C_002MA,B01002C_002EA,B01002C_003MA,B01002C_003EA,state
0400000US01,36.6,4.4,36.6,4.8,36.4,7.1,Alabama,null,null,null,null,null,null,01
0400000US02,27.3,1.0,25.9,1.6,28.7,1.9,Alaska,null,null,null,null,null,null,02
0400000US04,25.1,0.5,23.3,0.8,26.5,0.8,Arizona,null,null,null,null,null,null,04
0400000US05,34.5,2.9,33.8,2.6,35.8,7.6,Arkansas,null,null,null,null,null,null,05
0400000US06,35.5,1.2,34.5,1.5,36.6,1.7,California,null,null,null,null,null,null,06
0400000US08,35.2,2.5,36.0,2.4,34.2,3.9,Colorado,null,null,null,null,null,null,08
0400000US09,34.1,4.0,24.7,17.0,34.4,3.7,Connecticut,null,null,null,null,null,null,09
0400000US10,36.9,14.9,38.6,24.6,36.3,14.6,Delaware,null,null,null,null,null,null,10
0400000US11,39.5,12.2,30.7,13.0,46.4,11.6,District of Columbia,null,null,null,null,null,null,11
0400000US12,38.0,3.0,35.3,4.8,39.1,2.4,Florida,null,null,null,null,null,null,12
0400000US13,38.8,3.5,35.3,5.5,41.0,3.0,Georgia,null,null,null,null,null,null,13
0400000US15,34.8,5.0,34.5,2.7,37.5,14.8,Hawaii,null,null,null,null,null,null,15
0400000US16,31.8,6.9,32.1,8.0,31.7,10.1,Idaho,null,null,null,null,null,null,16
0400000US17,39.1,1.5,37.1,4.0,40.7,2.4,Illinois,null,null,null,null,null,null,17
0400000US18,39.2,4.7,40.5,4.6,35.4,8.8,Indiana,null,null,null,null,null,null,18
0400000US19,31.8,6.7,34.9,19.1,28.5,4.8,Iowa,null,null,null,null,null,null,19
0400000US20,30.3,4.4,28.7,4.0,31.5,5.7,Kansas,null,null,null,null,null,null,20
0400000US21,35.1,6.8,38.3,6.7,27.9,3.4,Kentucky,null,null,null,null,null,null,21
0400000US22,38.6,2.3,38.5,3.0,38.7,3.0,Louisiana,null,null,null,null,null,null,22
0400000US23,34.1,5.1,34.0,4.9,36.0,8.7,Maine,null,null,null,null,null,null,23
0400000US24,36.7,4.0,33.8,12.0,39.1,5.0,Maryland,null,null,null,null,null,null,24
0400000US25,41.0,7.6,34.8,5.4,44.8,8.5,Massachusetts,null,null,null,null,null,null,25
0400000US26,34.7,1.3,34.2,1.9,35.3,2.6,Michigan,null,null,null,null,null,null,26
0400000US27,28.0,2.2,27.6,1.2,29.6,3.4,Minnesota,null,null,null,null,null,null,27
0400000US28,28.4,3.1,26.5,3.8,30.5,3.3,Mississippi,null,null,null,null,null,null,28
0400000US29,40.1,4.9,37.6,5.9,40.8,5.1,Missouri,null,null,null,null,null,null,29
0400000US30,28.3,2.0,27.1,2.3,30.2,1.8,Montana,null,null,null,null,null,null,30
0400000US31,28.7,4.3,27.9,5.2,28.8,9.1,Nebraska,null,null,null,null,null,null,31
0400000US32,33.4,1.0,27.2,5.9,35.3,2.2,Nevada,null,null,null,null,null,null,32
0400000US33,39.0,11.4,39.0,12.6,39.0,21.7,New Hampshire,null,null,null,null,null,null,33
0400000US34,35.2,4.0,33.1,7.2,36.2,7.9,New Jersey,null,null,null,null,null,null,34
0400000US35,27.5,0.9,25.9,0.8,29.6,0.7,New Mexico,null,null,null,null,null,null,35
0400000US36,36.6,1.3,35.5,1.9,38.1,2.2,New York,null,null,null,null,null,null,36
0400000US37,33.2,1.0,31.7,1.6,34.4,2.2,North Carolina,null,null,null,null,null,null,37
0400000US38,28.9,1.3,28.6,3.0,29.1,1.7,North Dakota,null,null,null,null,null,null,38
0400000US39,35.9,4.2,35.2,5.6,36.8,6.2,Ohio,null,null,null,null,null,null,39
0400000US40,30.1,0.6,29.4,1.2,30.7,1.1,Oklahoma,null,null,null,null,null,null,40
0400000US41,32.5,1.7,33.0,1.9,31.9,2.2,Oregon,null,null,null,null,null,null,41
0400000US42,43.0,2.8,44.5,4.4,42.3,3.3,Pennsylvania,null,null,null,null,null,null,42
0400000US44,26.8,7.4,18.2,14.4,31.2,6.8,Rhode Island,null,null,null,null,null,null,44
0400000US45,40.0,5.5,42.8,3.6,36.5,6.8,South Carolina,null,null,null,null,null,null,45
0400000US46,21.9,1.1,20.0,1.0,24.1,2.1,South Dakota,null,null,null,null,null,null,46
0400000US47,44.1,3.7,43.0,4.6,45.8,6.7,Tennessee,null,null,null,null,null,null,47
0400000US48,35.5,2.0,34.0,2.1,37.8,3.1,Texas,null,null,null,null,null,null,48
0400000US49,25.5,1.3,25.1,2.8,25.7,2.3,Utah,null,null,null,null,null,null,49
0400000US50,46.9,5.0,47.1,5.8,45.6,10.4,Vermont,null,null,null,null,null,null,50
0400000US51,38.3,4.3,36.7,7.6,41.2,9.6,Virginia,null,null,null,null,null,null,51
0400000US53,29.5,1.5,28.8,2.3,30.1,1.4,Washington,null,null,null,null,null,null,53
0400000US54,48.8,2.4,49.8,11.6,48.6,2.2,West Virginia,null,null,null,null,null,null,54
0400000US55,32.7,1.5,32.3,1.6,33.4,2.0,Wisconsin,null,null,null,null,null,null,55
0400000US56,28.9,3.3,29.5,12.0,28.6,3.7,Wyoming,null,null,null,null,null,null,56
0400000US72,30.7,5.3,30.7,5.7,30.8,8.4,Puerto Rico,null,null,null,null,null,null,72
