B17010A_022M,B17010A_023E,B17010A_023M,B17010A_024E,B17010A_024M,B17010A_025E,B17010A_025M,B17010A_026E,B17010A_026M,B17010A_027E,B17010A_027M,B17010A_028E,B17010A_028M,B17010A_029E,B17010A_029M,B17010A_030E,B17010A_030M,B17010A_031E,B17010A_031M,B17010A_032E,B17010A_032M,B17010A_033E,B17010A_033M,B17010A_034E,B17010A_034M,B17010A_035E,B17010A_035M,B17010A_036E,B17010A_036M,B17010A_037E,B17010A_037M,B17010A_038E,B17010A_038M,B17010A_039E,B17010A_039M,B17010A_040E,B17010A_040M,B17010A_041E,B17010A_041M,GEO_ID,B17010A_001E,B17010A_001M,B17010A_002E,B17010A_002M,B17010A_003E,B17010A_003M,B17010A_004E,B17010A_004M,B17010A_005E,B17010A_005M,B17010A_006E,B17010A_006M,B17010A_007E,B17010A_007M,B17010A_008E,B17010A_008M,B17010A_009E,B17010A_009M,B17010A_010E,B17010A_010M,B17010A_011E,B17010A_011M,B17010A_012E,B17010A_012M,B17010A_013E,B17010A_013M,B17010A_014E,B17010A_014M,B17010A_015E,B17010A_015M,B17010A_016E,B17010A_016M,B17010A_017E,B17010A_017M,B17010A_018E,B17010A_018M,B17010A_019E,B17010A_019M,B17010A_020E,B17010A_020M,B17010A_021E,B17010A_021M,B17010A_022E,B17010A_022MA,B17010A_023EA,B17010A_023MA,B17010A_024MA,B17010A_024EA,B17010A_025MA,B17010A_025EA,B17010A_026EA,B17010A_026MA,B17010A_027EA,B17010A_027MA,B17010A_028EA,B17010A_028MA,B17010A_029MA,B17010A_029EA,B17010A_030MA,B17010A_030EA,B17010A_031EA,B17010A_031MA,B17010A_032EA,B17010A_032MA,B17010A_033EA,B17010A_033MA,B17010A_034MA,B17010A_034EA,B17010A_035MA,B17010A_035EA,B17010A_036MA,B17010A_036EA,B17010A_037EA,B17010A_037MA,B17010A_038EA,B17010A_038MA,B17010A_039MA,B17010A_039EA,B17010A_040MA,B17010A_040EA,B17010A_041EA,B17010A_041MA,NAME,B17010A_001EA,B17010A_001MA,B17010A_002EA,B17010A_002MA,B17010A_003MA,B17010A_003EA,B17010A_004MA,B17010A_004EA,B17010A_005MA,B17010A_005EA,B17010A_006EA,B17010A_006MA,B17010A_007EA,B17010A_007MA,B17010A_008EA,B17010A_008MA,B17010A_009MA,B17010A_009EA,B17010A_010MA,B17010A_010EA,B17010A_011MA,B17010A_011EA,B17010A_012MA,B17010A_012EA,B17010A_013MA,B17010A_013EA,B17010A_014EA,B17010A_014MA,B17010A_015EA,B17010A_015MA,B17010A_016MA,B17010A_016EA,B17010A_017MA,B17010A_017EA,B17010A_018MA,B17010A_018EA,B17010A_019MA,B17010A_019EA,B17010A_020EA,B17010A_020MA,B17010A_021EA,B17010A_021MA,B17010A_022EA,state
9762,696426,10332,281380,7392,54277,3904,50828,3526,176275,6562,415046,7488,122158,5555,37535,3363,20836,2543,4291,1159,736,401,15809,2459,16699,2301,84623,4812,46345,3266,6071,1439,6601,1517,33673,2945,38278,3328,0400000US01,894182,8779,75598,4649,36504,3425,22398,2587,5208,1419,6052,1238,11138,2027,14106,1630,39094,3267,7416,1607,5683,1478,2109,863,829,618,2745,982,1733,765,31678,3034,27845,2806,5284,1402,6736,1562,15825,2133,3833,1003,818584,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
3696,89304,3537,42470,2454,8059,1443,9311,1316,25100,2098,46834,2597,21356,2292,7792,1360,5506,1018,934,459,252,146,4320,912,2286,886,13564,1900,9701,1666,1600,781,1055,511,7046,1246,3863,909,0400000US02,116643,3537,5983,1040,2288,636,828,380,220,190,398,250,210,218,1460,533,3695,875,613,322,559,310,200,212,41,66,318,245,54,94,3082,815,2588,773,276,228,336,246,1976,671,494,328,110660,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
12860,847557,13090,342901,8548,68867,4226,79011,5370,195023,6905,504656,8985,212957,7645,70422,4884,41314,3392,7319,1534,4443,1038,29552,3096,29108,3044,142535,6064,85520,4537,12494,2094,11471,2233,61555,4115,57015,4615,0400000US04,1156153,12596,95639,5393,43274,3317,25539,3152,5277,1334,10226,2168,10036,1542,17735,1974,52365,4422,8000,1633,6407,1517,1565,719,1711,837,3131,1142,1593,617,44365,4145,39953,4046,9265,2234,12087,2226,18601,2746,4412,1167,1060514,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
8091,456406,8224,181542,5290,34311,2618,33399,2923,113832,4692,274864,6025,85243,5126,25665,2356,13839,1976,2866,816,1099,481,9874,1819,11826,1403,59578,4567,35701,3403,3901,1008,3476,845,28324,2828,23877,2512,0400000US05,602985,8694,61336,3667,30712,2737,18182,2430,3986,1144,5962,1202,8234,1492,12530,1552,30624,2397,5729,1282,3720,1056,940,606,329,241,2451,868,2009,707,24895,2218,22199,2091,5135,1194,6127,1187,10937,1451,2696,799,541649,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
28978,3839517,29393,1774413,22845,340309,10868,365964,11558,1068140,16576,2065104,18513,1016893,17910,349725,11417,193873,8243,35691,3596,23332,3362,134850,6400,155852,8566,667168,12189,391050,10188,48154,4218,42882,4137,300014,9540,276118,8164,0400000US06,5275898,28564,419488,14207,193241,9842,137800,8439,19737,2654,52095,4839,65968,6851,55441,4869,226247,9420,39295,3971,29973,3581,6716,1785,7231,1593,16026,2419,9322,1967,186952,8241,165122,8167,32172,4032,43644,4616,89306,6697,21830,3025,4856410,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
12013,767279,11379,343774,7007,76147,4538,65999,3863,201628,6204,423505,9006,154963,6832,55523,4449,33735,3808,6267,1516,3539,1158,23929,3083,21788,2474,99440,4959,65459,4147,11333,2119,6440,1170,47686,3580,33981,2721,0400000US08,992819,12181,70577,5095,30203,2873,18679,2224,4166,1184,7111,1783,7402,1189,11524,1767,40374,4025,7255,2140,5709,2057,1548,820,740,521,3421,1864,1546,691,33119,3171,30295,3184,7420,1742,8036,2111,14839,2001,2824,937,922242,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
9345,588205,8766,255926,6194,49648,3461,42932,3356,163346,5083,332279,7426,127644,5827,38376,3475,17646,2545,2753,865,2111,903,12782,1939,20730,2161,89268,4713,49675,3541,4383,1045,6546,1782,38746,3356,39593,3260,0400000US09,744725,9324,28876,3323,11594,2107,6587,1770,1918,909,2178,1127,2491,899,5007,1066,17282,2660,2347,1129,1910,988,578,500,309,328,1023,651,437,333,14935,2326,13144,2179,2222,811,4352,1512,6570,1493,1791,711,715849,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
3493,127471,3673,50549,2966,10129,1391,9864,1477,30556,2229,76922,2811,27454,2386,9001,1460,5475,1097,1082,533,805,483,3588,817,3526,987,18453,1950,11290,1674,1979,801,1486,557,7825,1367,7163,1161,0400000US10,163609,3619,8684,1415,3922,1117,2204,885,426,405,1204,569,574,332,1718,657,4762,1023,425,245,239,200,0,262,0,262,239,200,186,169,4337,969,3978,937,831,474,1212,644,1935,638,359,201,154925,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
1914,25655,1948,8388,1097,4036,728,1488,522,2864,600,17267,1759,3429,811,1229,448,798,324,218,215,49,82,531,255,431,316,2200,653,975,379,205,182,208,201,562,285,1225,550,0400000US11,30889,1972,1805,696,708,438,362,315,0,286,208,256,154,198,346,313,1097,573,357,248,231,290,0,286,163,269,68,108,126,183,740,492,471,352,306,323,35,59,130,122,269,317,29084,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
23372,2748065,22187,984814,14876,187511,7864,181945,7726,615358,11940,1763251,16678,633421,14397,201959,8923,104456,6496,24478,3318,11753,2055,68225,5302,97503,6093,431462,11186,248075,9083,34459,4103,26698,3065,186918,8300,183387,7317,0400000US12,3649093,23351,267607,10221,131047,7097,62574,5205,12030,2147,17238,2333,33306,3590,68473,4762,136560,6426,22845,3043,15748,2489,3360,1088,3576,1370,8812,1707,7097,1746,113715,6291,94427,5681,19179,2986,17401,2835,57847,5333,19288,2767,3381486,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
