GEO_ID,B17020I_001E,B17020I_001M,B17020I_002E,B17020I_002M,B17020I_003E,B17020I_003M,B17020I_004E,B17020I_004M,B17020I_005E,B17020I_005M,B17020I_006E,B17020I_006M,B17020I_007E,B17020I_007M,B17020I_008E,B17020I_008M,B17020I_009E,B17020I_009M,B17020I_010E,B17020I_010M,B17020I_011E,B17020I_011M,B17020I_012E,B17020I_012M,B17020I_013E,B17020I_013M,B17020I_014E,B17020I_014M,B17020I_015E,B17020I_015M,B17020I_016E,B17020I_016M,B17020I_017E,B17020I_017M,NAME,B17020I_001EA,B17020I_001MA,B17020I_002EA,B17020I_002MA,B17020I_003EA,B17020I_003MA,B17020I_004MA,B17020I_004EA,B17020I_005EA,B17020I_005MA,B17020I_006EA,B17020I_006MA,B17020I_007EA,B17020I_007MA,B17020I_008EA,B17020I_008MA,B17020I_009EA,B17020I_009MA,B17020I_010MA,B17020I_010EA,B17020I_011EA,B17020I_011MA,B17020I_012EA,B17020I_012MA,B17020I_013EA,B17020I_013MA,B17020I_014EA,B17020I_014MA,B17020I_015MA,B17020I_015EA,B17020I_016EA,B17020I_016MA,B17020I_017EA,B17020I_017MA,state
0400000US01,98298,1980,28096,3637,4554,890,996,370,3704,955,3043,759,15014,2275,438,346,347,297,70202,4271,6841,1255,959,330,7450,1407,5130,1132,47636,2983,1169,493,1017,465,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,30545,564,4657,2014,624,628,290,255,575,467,689,376,2449,1140,30,56,0,233,25888,2101,2944,700,732,481,2331,702,3618,835,15717,1278,329,213,217,167,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1657324,4660,372959,21690,65712,5190,10722,1917,58955,6392,45580,4609,180210,10733,7588,1338,4192,1018,1284365,21933,132308,5062,27121,3111,140021,7680,137082,4951,786367,10808,37689,1563,23777,1350,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,126453,2143,31016,4157,5521,1270,824,432,4505,1207,3664,886,16094,2443,170,246,238,229,95437,4407,11022,1455,2151,669,10705,1332,8831,1258,60812,2736,1444,618,472,335,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,12432277,10477,2485541,60524,358799,14642,71947,6485,382792,14337,354266,15882,1236779,29290,46207,4940,34751,4218,9946736,62378,960420,15060,175871,7549,1070393,19434,1070025,17681,6140628,29425,305289,5203,224110,4436,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,886465,1863,187722,12174,29604,2900,5563,1640,25663,3971,21882,2686,97403,7180,3590,986,4017,841,698743,12277,69975,3040,12449,1656,73025,4474,72361,4161,435655,7174,21466,1471,13812,1263,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,367719,1475,83081,8810,11268,2163,2630,1159,11181,1944,10924,1981,42203,5466,3648,1121,1227,655,284638,8616,23865,2251,4818,993,28496,2269,29197,2199,186570,5508,7384,1274,4308,741,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,49997,239,14195,3180,2429,785,482,422,1823,653,1211,584,8068,1852,117,118,65,119,35802,3172,3937,793,249,175,3886,813,3716,637,22595,1970,703,414,716,354,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,45623,451,8031,2182,475,367,74,116,863,670,642,469,5303,1435,205,257,469,333,37592,2246,4381,594,243,311,3525,953,1571,740,26332,1472,774,460,766,389,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,3397291,3722,595612,26906,69779,6979,11998,1927,62768,6262,57182,5516,317629,14157,38595,4260,37661,3046,2801679,26954,210975,6570,35321,3650,226742,7438,231036,7654,1827083,14100,160234,4224,110288,3141,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
