GEO_ID,B05003F_001E,B05003F_001M,B05003F_002E,B05003F_002M,B05003F_003E,B05003F_003M,B05003F_004E,B05003F_004M,B05003F_005E,B05003F_005M,B05003F_006E,B05003F_006M,B05003F_007E,B05003F_007M,B05003F_008E,B05003F_008M,B05003F_009E,B05003F_009M,B05003F_010E,B05003F_010M,B05003F_011E,B05003F_011M,B05003F_012E,B05003F_012M,B05003F_013E,B05003F_013M,B05003F_014E,B05003F_014M,B05003F_015E,B05003F_015M,B05003F_016E,B05003F_016M,B05003F_017E,B05003F_017M,B05003F_018E,B05003F_018M,B05003F_019E,B05003F_019M,B05003F_020E,B05003F_020M,B05003F_021E,B05003F_021M,B05003F_022E,B05003F_022M,B05003F_023E,B05003F_023M,NAME,B05003F_001EA,B05003F_001MA,B05003F_002EA,B05003F_002MA,B05003F_003MA,B05003F_003EA,B05003F_004MA,B05003F_004EA,B05003F_005EA,B05003F_005MA,B05003F_006EA,B05003F_006MA,B05003F_007EA,B05003F_007MA,B05003F_008MA,B05003F_008EA,B05003F_009MA,B05003F_009EA,B05003F_010MA,B05003F_010EA,B05003F_011EA,B05003F_011MA,B05003F_012EA,B05003F_012MA,B05003F_013MA,B05003F_013EA,B05003F_014MA,B05003F_014EA,B05003F_015MA,B05003F_015EA,B05003F_016EA,B05003F_016MA,B05003F_017EA,B05003F_017MA,B05003F_018MA,B05003F_018EA,B05003F_019MA,B05003F_019EA,B05003F_020MA,B05003F_020EA,B05003F_021EA,B05003F_021MA,B05003F_022EA,B05003F_022MA,B05003F_023EA,B05003F_023MA,state
0400000US01,34643,4676,18721,2819,6015,1402,4461,1241,1554,685,0,270,1554,685,12706,2073,2983,927,9723,2062,1425,575,8298,1925,15922,2622,6620,1697,4444,1474,2176,979,226,298,1950,923,9302,1445,2924,915,6378,1073,1237,610,5141,929,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,8188,2073,4793,1313,1756,606,1578,613,178,215,40,61,138,211,3037,989,1807,750,1230,633,688,475,542,433,3395,995,861,506,791,498,70,115,0,233,70,115,2534,801,1475,513,1059,648,519,348,540,379,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,658244,23454,343542,11969,126351,7280,109734,6879,16617,2759,1166,620,15451,2792,217191,7623,105728,6023,111463,6246,27026,3093,84437,6206,314702,13623,112334,8183,97896,7377,14438,2579,736,393,13702,2587,202368,7287,106184,5775,96184,5615,26282,2393,69902,5349,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,65419,7225,33432,3882,12050,1762,10279,1699,1771,732,67,86,1704,740,21382,2609,4829,1437,16553,2129,1880,562,14673,2101,31987,4469,13417,2262,9352,1602,4065,1454,260,399,3805,1413,18570,2851,6442,1485,12128,2746,1228,513,10900,2731,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,5784073,80501,2954141,44907,1026151,22129,920507,20498,105644,8765,8993,2244,96651,8325,1927990,30648,704525,17120,1223465,25034,356722,12650,866743,21939,2829932,41668,971717,21156,877732,19666,93985,6846,10856,3079,83129,6102,1858215,25988,730279,16009,1127936,22267,386187,12529,741749,17114,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,306399,15976,156811,9864,50530,6185,46029,6122,4501,1229,225,192,4276,1187,106281,5713,62242,4682,44039,5043,10066,2081,33973,4317,149588,8547,51642,4376,46756,4244,4886,1367,101,108,4785,1374,97946,5445,64814,4367,33132,4161,9183,2294,23949,2883,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,153631,9473,75970,5466,23920,2785,21237,2875,2683,991,571,652,2112,789,52050,4276,29696,3748,22354,3167,4998,1627,17356,3161,77661,5318,25268,2551,24007,2600,1261,582,132,124,1129,563,52393,3962,32736,3359,19657,3000,5754,1558,13903,2452,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,16749,3375,8845,1840,2979,816,2702,731,277,258,52,102,225,204,5866,1291,1980,757,3886,1069,1189,629,2697,854,7904,1873,3037,988,2466,784,571,444,144,137,427,389,4867,1080,1570,697,3297,953,635,409,2662,810,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,30893,3026,17580,1913,4407,1030,4407,1030,0,286,0,286,0,286,13173,1583,1661,788,11512,1653,1516,658,9996,1570,13313,1721,4296,777,3277,892,1019,930,0,286,1019,930,9017,1322,1697,717,7320,1148,1367,651,5953,1159,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,711373,24415,373119,14855,114262,6877,99105,6937,15157,2455,1305,674,13852,2466,258857,10753,100174,6858,158683,9365,42751,3959,115932,8656,338254,12941,105459,7115,92223,6932,13236,2527,1756,603,11480,2382,232795,8354,101009,6208,131786,7075,51313,3854,80473,6119,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
