GEO_ID,B01001I_001E,B01001I_001M,B01001I_002E,B01001I_002M,B01001I_003E,B01001I_003M,B01001I_004E,B01001I_004M,B01001I_005E,B01001I_005M,B01001I_006E,B01001I_006M,B01001I_007E,B01001I_007M,B01001I_008E,B01001I_008M,B01001I_009E,B01001I_009M,B01001I_010E,B01001I_010M,B01001I_011E,B01001I_011M,B01001I_012E,B01001I_012M,B01001I_013E,B01001I_013M,B01001I_014E,B01001I_014M,B01001I_015E,B01001I_015M,B01001I_016E,B01001I_016M,B01001I_017E,B01001I_017M,B01001I_018E,B01001I_018M,B01001I_019E,B01001I_019M,B01001I_020E,B01001I_020M,B01001I_021E,B01001I_021M,B01001I_022E,B01001I_022M,B01001I_023E,B01001I_023M,B01001I_024E,B01001I_024M,B01001I_025E,B01001I_025M,B01001I_026E,B01001I_026M,B01001I_027E,B01001I_027M,B01001I_028E,B01001I_028M,B01001I_029E,B01001I_029M,B01001I_030E,B01001I_030M,B01001I_031E,B01001I_031M,NAME,B01001I_001MA,B01001I_001EA,B01001I_002EA,B01001I_002MA,B01001I_003MA,B01001I_003EA,B01001I_004EA,B01001I_004MA,B01001I_005EA,B01001I_005MA,B01001I_006MA,B01001I_006EA,B01001I_007MA,B01001I_007EA,B01001I_008MA,B01001I_008EA,B01001I_009EA,B01001I_009MA,B01001I_010EA,B01001I_010MA,B01001I_011MA,B01001I_011EA,B01001I_012MA,B01001I_012EA,B01001I_013EA,B01001I_013MA,B01001I_014EA,B01001I_014MA,B01001I_015EA,B01001I_015MA,B01001I_016EA,B01001I_016MA,B01001I_017MA,B01001I_017EA,B01001I_018MA,B01001I_018EA,B01001I_019EA,B01001I_019MA,B01001I_020EA,B01001I_020MA,B01001I_021EA,B01001I_021MA,B01001I_022MA,B01001I_022EA,B01001I_023MA,B01001I_023EA,B01001I_024EA,B01001I_024MA,B01001I_025EA,B01001I_025MA,B01001I_026EA,B01001I_026MA,B01001I_027EA,B01001I_027MA,B01001I_028MA,B01001I_028EA,B01001I_029MA,B01001I_029EA,B01001I_030EA,B01001I_030MA,B01001I_031EA,B01001I_031MA,state
0400000US01,99040,1945,55608,1978,6185,790,3618,728,5462,970,1498,495,1668,554,6886,1334,7556,1283,7775,1448,7940,1183,3666,937,1964,656,825,447,341,239,224,226,43432,2229,5508,1209,4033,919,5329,1198,1786,498,1519,642,4188,1009,4472,1014,4425,979,6374,1166,2734,667,1483,637,782,381,712,434,87,135,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,30843,503,15618,1281,1998,790,1252,356,2361,560,521,293,564,394,1726,836,892,472,1172,643,2379,730,1798,700,787,291,168,137,0,233,0,233,15225,1351,1570,818,1574,500,1857,641,968,283,665,395,1130,652,896,484,1131,352,2310,670,1876,768,840,396,191,142,158,139,59,97,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1668524,0,858638,1216,102736,881,88496,4034,86063,3978,44053,665,27258,1002,76488,1164,88523,1090,76928,781,120593,1297,75048,884,40315,603,20999,693,9763,720,1375,503,809886,1215,96988,941,90008,4440,77531,4417,42826,630,25480,543,69924,1150,72885,1020,68560,688,107683,902,74855,854,42037,514,24278,778,14360,1027,2471,629,Arizona,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,126932,2083,66460,2188,8543,1066,6222,875,5762,1103,3137,705,3254,922,7019,1172,8711,1040,6149,713,9156,1076,5676,1317,1643,591,1025,441,53,106,110,170,60472,2129,8047,887,7521,1006,5632,901,2838,745,2495,778,5757,1332,6456,1299,4983,809,8330,1303,4626,1327,2651,708,589,380,377,274,170,198,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,12523379,0,6373950,2312,688401,778,627009,12517,656465,12687,342808,1319,202646,1610,547057,1739,590065,1255,560605,2181,973728,2277,616653,1869,309625,987,155431,1327,86242,2408,17215,2234,6149429,2315,659189,919,606915,10717,622772,10844,332056,1329,195616,1335,498984,1647,506727,1616,510181,1363,895155,1491,622309,1559,348056,1013,196065,1209,125125,2598,30279,2469,California,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,891614,0,462252,1686,50478,953,41487,2557,46257,2622,21157,861,12915,852,40991,1457,51376,1364,47015,1440,66676,1902,41935,1092,23399,1072,11490,987,5356,735,1720,579,429362,1687,50889,1083,44360,3132,40118,2994,20925,848,12853,1187,34192,1305,39047,1039,39031,1246,58630,1710,41309,1700,23689,651,13566,995,8592,817,2161,627,Colorado,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,371425,0,184894,717,18473,300,17351,1600,18081,1567,10228,322,5189,230,15537,429,19121,628,15275,288,30426,727,18711,722,9634,368,4794,470,1947,308,127,111,186531,718,17822,284,17252,1798,17413,1756,9465,351,5061,401,14576,565,15805,470,15854,570,31675,929,19779,530,12130,538,6238,400,2563,450,898,429,Connecticut,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,50218,0,26232,560,2968,358,2131,436,2310,392,1254,321,564,381,2614,411,3226,208,2204,293,5276,718,1906,692,907,343,419,241,312,306,141,148,23986,560,3446,358,2281,602,2478,496,1086,318,817,438,1923,486,2294,258,1988,283,3935,578,1907,277,1102,359,401,314,93,134,235,242,Delaware,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,45901,0,24290,384,2646,0,1615,432,1202,431,300,384,845,440,1611,440,4069,0,3055,0,4313,0,2498,2,1393,363,308,338,246,219,189,215,21611,384,2488,0,1731,646,1768,583,302,275,304,226,1066,226,3088,0,2212,0,3373,0,2304,4,1504,0,671,314,702,318,98,114,District of Columbia,*****,null,null,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,*****,null,*****,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,*****,null,*****,null,*****,null,null,*****,null,null,null,null,null,null,null,11
0400000US12,3414414,1032,1713096,2767,146071,1685,129892,5848,121729,5276,75379,1677,48556,2125,134928,2052,144854,1910,149753,1989,290715,2632,200908,2263,123429,1596,87855,1512,48019,2104,11008,2009,1701318,2638,141661,1762,119591,4018,119061,3890,69540,1492,44742,1705,112056,1946,125140,1521,136433,1928,278666,1732,210652,1659,143880,1095,110974,1232,65601,2919,23321,2885,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
