GEO_ID,C08007_001E,C08007_001M,C08007_002E,C08007_002M,C08007_003E,C08007_003M,C08007_004E,C08007_004M,C08007_005E,C08007_005M,C08007_006E,C08007_006M,C08007_007E,C08007_007M,C08007_008E,C08007_008M,C08007_009E,C08007_009M,NAME,C08007_001EA,C08007_001MA,C08007_002MA,C08007_002EA,C08007_003MA,C08007_003EA,C08007_004EA,C08007_004MA,C08007_005EA,C08007_005MA,C08007_006EA,C08007_006MA,C08007_007MA,C08007_007EA,C08007_008EA,C08007_008MA,C08007_009EA,C08007_009MA,state
0400000US01,1941250,15984,1423716,15068,517534,10305,1055195,9461,742274,9764,312921,6917,886055,10946,681442,9888,204613,6133,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,294690,5226,274305,5173,20385,1659,160549,3279,144825,3301,15724,1528,134141,3142,129480,3136,4661,722,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,2575064,15393,2434618,15938,140446,6600,1446763,10128,1354712,10943,92051,4769,1128301,11257,1079906,11321,48395,3880,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,1200886,11938,906031,11585,294855,7960,643018,7202,470093,7166,172925,5827,557868,8708,435938,8598,121930,4685,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,15547334,38729,12825328,46766,2722006,26994,8744873,29320,6997261,35210,1747612,22402,6802461,27369,5828067,27140,974394,14114,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,2280261,12569,1487477,15749,792784,12036,1256826,8335,783947,9993,472879,8698,1023435,9723,703530,11087,319905,8266,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,1657342,13617,1208794,14709,448548,9670,871769,8446,604501,8161,267268,6131,785573,9261,604293,10470,181280,6967,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,397033,5412,320202,5775,76831,4044,208428,3111,163458,3993,44970,2499,188605,4256,156744,4161,31861,2886,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,249865,4239,182991,5487,66874,3566,126559,2736,87109,3871,39450,2790,123306,3603,95882,3516,27424,2164,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,7700885,26254,6233690,31161,1467195,20956,4177320,20968,3282078,23969,895242,17539,3523565,20350,2951612,21689,571953,12595,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,4098555,20586,2360017,22537,1738538,22569,2238551,13218,1227582,16005,1010969,16845,1860004,15789,1132435,14802,727569,12637,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,584015,6971,576480,6827,7535,1300,315322,4637,310222,4586,5100,1049,268693,4599,266258,4606,2435,780,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,655732,8026,520029,8254,135703,5538,360509,4557,273645,5397,86864,4120,295223,5964,246384,5784,48839,3030,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,5794059,21993,4216135,22924,1577924,20419,3119749,14643,2167949,15955,951800,14947,2674310,16346,2048186,16589,626124,11261,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,2835411,15789,1941560,17372,893851,13165,1524236,10172,985034,12085,539202,10064,1311175,13402,956526,14084,354649,8064,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,1471452,9812,1120738,10908,350714,8052,776267,6861,575446,7346,200821,5305,695185,5796,545292,6465,149893,4873,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,1329738,9734,1016162,10622,313576,7019,716916,5987,529671,7461,187245,5449,612822,6769,486491,6468,126331,4645,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,1766010,14030,1203861,14227,562149,11253,944324,9325,605285,10688,339039,8135,821686,8742,598576,7896,223110,7669,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,1857938,14169,1295688,16533,562250,13164,979871,11318,636301,12189,343570,8888,878067,10255,659387,11477,218680,9228,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,640895,5899,497894,7075,143001,5291,333661,4476,248375,5204,85286,3896,307234,4755,249519,4941,57715,3281,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,2706453,15958,1455461,17633,1250992,17723,1405572,9574,707820,12679,697752,12823,1300881,12147,747641,12973,553240,10383,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
