GEO_ID,B18020D_001E,B18020D_001M,B18020D_002E,B18020D_002M,B18020D_003E,B18020D_003M,B18020D_004E,B18020D_004M,B18020D_005E,B18020D_005M,B18020D_006E,B18020D_006M,B18020D_007E,B18020D_007M,B18020D_008E,B18020D_008M,B18020D_009E,B18020D_009M,B18020D_010E,B18020D_010M,B18020D_011E,B18020D_011M,B18020D_012E,B18020D_012M,B18020D_013E,B18020D_013M,B18020D_014E,B18020D_014M,B18020D_015E,B18020D_015M,B18020D_016E,B18020D_016M,B18020D_017E,B18020D_017M,B18020D_018E,B18020D_018M,B18020D_019E,B18020D_019M,B18020D_020E,B18020D_020M,B18020D_021E,B18020D_021M,B18020D_022E,B18020D_022M,B18020D_023E,B18020D_023M,B18020D_024E,B18020D_024M,B18020D_025E,B18020D_025M,B18020D_026E,B18020D_026M,B18020D_027E,B18020D_027M,B18020D_028E,B18020D_028M,B18020D_029E,B18020D_029M,B18020D_030E,B18020D_030M,B18020D_031E,B18020D_031M,NAME,B18020D_001EA,B18020D_001MA,B18020D_002EA,B18020D_002MA,B18020D_003EA,B18020D_003MA,B18020D_004EA,B18020D_004MA,B18020D_005MA,B18020D_005EA,B18020D_006EA,B18020D_006MA,B18020D_007EA,B18020D_007MA,B18020D_008EA,B18020D_008MA,B18020D_009EA,B18020D_009MA,B18020D_010MA,B18020D_010EA,B18020D_011EA,B18020D_011MA,B18020D_012EA,B18020D_012MA,B18020D_013EA,B18020D_013MA,B18020D_014EA,B18020D_014MA,B18020D_015MA,B18020D_015EA,B18020D_016MA,B18020D_016EA,B18020D_017EA,B18020D_017MA,B18020D_018EA,B18020D_018MA,B18020D_019EA,B18020D_019MA,B18020D_020EA,B18020D_020MA,B18020D_021MA,B18020D_021EA,B18020D_022EA,B18020D_022MA,B18020D_023EA,B18020D_023MA,B18020D_024EA,B18020D_024MA,B18020D_025EA,B18020D_025MA,B18020D_026EA,B18020D_026MA,B18020D_027MA,B18020D_027EA,B18020D_028EA,B18020D_028MA,B18020D_029EA,B18020D_029MA,B18020D_030EA,B18020D_030MA,B18020D_031EA,B18020D_031MA,state
0400000US01,28466,1875,1733,727,1060,598,480,422,382,373,98,157,580,334,367,238,213,207,673,292,111,137,106,137,5,9,562,275,201,163,361,224,26733,1842,12331,1032,5364,941,4207,854,1157,381,6967,882,6048,846,919,482,14402,1188,5973,979,3654,861,2319,635,8429,991,5785,892,2644,745,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,19517,1452,1393,543,383,250,48,80,48,80,0,233,335,231,181,189,154,142,1010,420,59,102,59,102,0,233,951,387,403,249,548,248,18124,1497,8277,966,3452,782,2878,796,574,480,4825,708,4190,667,635,444,9847,949,3743,851,2187,660,1556,750,6104,681,4879,784,1225,420,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,91720,1733,8220,1674,2812,811,372,258,193,235,179,149,2440,747,1203,565,1237,533,5408,1264,1640,732,929,608,711,468,3768,948,1267,606,2501,711,83500,2432,38965,1432,19240,1119,14340,1320,4900,1007,19725,848,16430,1061,3295,859,44535,1811,18650,1116,11122,1400,7528,1330,25885,1250,16305,1699,9580,1598,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,19539,1641,1417,579,461,287,99,124,50,90,49,88,362,259,74,122,288,220,956,470,279,218,63,120,216,185,677,410,354,279,323,276,18122,1462,9556,1200,4756,1250,2918,1013,1838,774,4800,928,4107,814,693,445,8566,873,4352,649,2970,728,1382,499,4214,747,3130,681,1084,475,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,3041629,9751,197669,7774,89493,5126,20265,2757,6685,1111,13580,2351,69228,4432,29062,2914,40166,3507,108176,5133,16466,2107,5828,1310,10638,1455,91710,4497,31290,3155,60420,3852,2843960,12202,1362043,8408,582118,6147,366444,7502,215674,7753,779925,4885,641573,6662,138352,5669,1481917,7428,607012,4534,343741,7081,263271,6885,874905,5793,568625,7681,306280,7738,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,84865,2157,4520,996,2445,765,554,360,224,178,330,287,1891,709,925,516,966,561,2075,598,336,236,125,133,211,179,1739,543,660,387,1079,409,80345,2126,36836,1448,17207,1152,11034,1252,6173,1124,19629,1136,15800,1132,3829,959,43509,1573,18887,1572,10501,1394,8386,1412,24622,1355,17124,1787,7498,1313,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,79885,1617,4475,1081,2612,811,1064,565,566,367,498,387,1548,579,967,450,581,383,1863,540,193,152,95,121,98,100,1670,521,531,323,1139,445,75410,1647,37465,1099,16451,966,11528,931,4923,994,21014,867,18620,1238,2394,991,37945,1059,16494,877,8890,1347,7604,1345,21451,906,15911,1025,5540,778,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,16454,751,538,284,237,180,0,262,0,262,0,262,237,180,190,160,47,77,301,201,39,70,39,70,0,262,262,188,0,262,262,188,15916,756,7594,573,3635,309,2726,508,909,442,3959,433,3544,401,415,256,8322,544,3599,298,1954,378,1645,440,4723,434,2823,642,1900,677,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,12765,874,1611,1216,222,217,84,153,84,153,0,286,138,175,138,175,0,286,1389,1252,742,1010,294,453,448,572,647,392,0,286,647,392,11154,1245,5222,625,2569,503,2205,557,364,338,2653,678,2249,673,404,305,5932,1063,3215,976,2549,910,666,482,2717,421,2215,468,502,277,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,265685,4085,17698,2131,9418,1598,2761,1010,975,536,1786,814,6657,1164,3672,992,2985,793,8280,1417,1150,465,374,282,776,355,7130,1323,3443,937,3687,853,247987,4333,111301,2888,46552,2410,32732,2211,13820,1846,64749,2427,54894,2793,9855,1512,136686,2883,56032,2431,31604,2626,24428,2249,80654,2337,55003,2697,25651,2139,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
