GEO_ID,B25072_001E,B25072_001M,B25072_002E,B25072_002M,B25072_003E,B25072_003M,B25072_004E,B25072_004M,B25072_005E,B25072_005M,B25072_006E,B25072_006M,B25072_007E,B25072_007M,B25072_008E,B25072_008M,B25072_009E,B25072_009M,B25072_010E,B25072_010M,B25072_011E,B25072_011M,B25072_012E,B25072_012M,B25072_013E,B25072_013M,B25072_014E,B25072_014M,B25072_015E,B25072_015M,B25072_016E,B25072_016M,B25072_017E,B25072_017M,B25072_018E,B25072_018M,B25072_019E,B25072_019M,B25072_020E,B25072_020M,B25072_021E,B25072_021M,B25072_022E,B25072_022M,B25072_023E,B25072_023M,B25072_024E,B25072_024M,B25072_025E,B25072_025M,B25072_026E,B25072_026M,B25072_027E,B25072_027M,B25072_028E,B25072_028M,B25072_029E,B25072_029M,NAME,B25072_001MA,B25072_001EA,B25072_002MA,B25072_002EA,B25072_003MA,B25072_003EA,B25072_004MA,B25072_004EA,B25072_005EA,B25072_005MA,B25072_006EA,B25072_006MA,B25072_007MA,B25072_007EA,B25072_008MA,B25072_008EA,B25072_009MA,B25072_009EA,B25072_010EA,B25072_010MA,B25072_011EA,B25072_011MA,B25072_012MA,B25072_012EA,B25072_013MA,B25072_013EA,B25072_014MA,B25072_014EA,B25072_015MA,B25072_015EA,B25072_016EA,B25072_016MA,B25072_017EA,B25072_017MA,B25072_018MA,B25072_018EA,B25072_019MA,B25072_019EA,B25072_020MA,B25072_020EA,B25072_021EA,B25072_021MA,B25072_022EA,B25072_022MA,B25072_023MA,B25072_023EA,B25072_024MA,B25072_024EA,B25072_025MA,B25072_025EA,B25072_026MA,B25072_026EA,B25072_027EA,B25072_027MA,B25072_028EA,B25072_028MA,B25072_029MA,B25072_029EA,state
0400000US01,527217,11869,83439,4960,15285,2515,8301,2038,6947,1652,4300,1274,37279,3441,11327,1988,145794,6083,41094,3553,17926,2410,16575,2691,9613,1655,41638,3811,18948,2589,233134,8052,66806,4378,25005,2921,24855,3337,14759,2178,69766,4555,31943,3041,64850,3804,10668,1867,6890,1253,6707,959,5157,1096,21827,1872,13601,1489,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,86233,3244,14148,1671,1773,817,1574,642,1781,744,1103,579,6098,1414,1819,691,22070,1959,5824,1084,3183,1063,2292,819,1651,652,5671,1071,3449,816,44056,2732,13680,1826,5004,1026,4343,1158,3399,948,12199,1627,5431,1173,5959,871,1005,388,354,260,746,289,224,212,3044,686,586,229,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,701556,12519,120348,4412,22443,3345,11964,2421,10353,2060,10497,1778,56559,4458,8532,1820,214145,8136,55084,5061,31155,3836,26558,3408,18812,2920,71630,5332,10906,2039,298972,10364,82195,5675,36977,3447,35762,3817,22263,2794,94504,4486,27271,2907,68091,3689,8715,1485,5172,1277,6864,1168,5324,1009,33496,2519,8520,1356,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,350717,8790,54028,3358,10637,1840,5404,1266,4731,1206,4309,1128,24605,2509,4342,1105,93575,4561,26754,3312,13081,2232,10302,1753,7126,1637,27369,2854,8943,1453,160906,6923,45221,4090,19640,2662,16188,2467,13674,2471,45667,3702,20516,2535,42208,2477,5696,970,3162,730,5020,1094,3242,764,14278,1535,10810,1466,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,5027756,31936,513253,12934,65227,5524,51356,4561,54782,5477,39402,4502,272663,10851,29823,3360,1351726,18151,298543,10394,179052,8984,157508,7867,121100,6563,540048,13553,55475,4849,2596053,29538,582279,14588,330612,10133,282021,9777,234808,10299,1038584,20144,127749,7038,566724,11312,63435,4029,36241,2566,68383,3815,54007,4151,297649,9880,47009,4188,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,585342,11059,98882,4832,13920,2375,12257,2417,10176,2467,7618,1638,49835,3469,5076,1265,179804,7398,43480,4279,25776,3508,25897,3158,13270,2008,60182,4864,11199,1849,249834,7286,63058,4297,30996,3326,29767,2887,21080,2614,89298,5104,15635,1890,56822,3211,8041,1298,4703,1043,7780,1714,4417,878,26400,2231,5481,1073,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,403895,8863,38467,3192,7702,1328,3827,1211,4155,1186,3474,1357,16946,2556,2363,921,95365,5142,26336,2841,14167,2589,11635,2159,8398,1501,30558,3076,4271,1156,199847,7101,56136,4145,23799,2737,20709,3070,17537,2931,69948,5070,11718,2354,70216,3464,8767,1459,6899,1347,11582,1689,7389,1410,26827,2316,8752,1718,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,87780,3942,13753,1495,1879,615,2225,896,1982,743,1077,586,5808,1251,782,391,24687,2225,6946,1577,3113,927,3247,1162,1781,741,8035,1330,1565,616,38479,2986,12620,1824,4568,1049,3398,1018,2113,631,12590,1764,3190,887,10861,1452,1843,662,1303,488,886,402,1146,485,4713,1055,970,403,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,142695,3688,10135,966,856,405,930,376,789,390,946,407,6113,1030,501,318,43740,2625,11833,1905,6706,1368,5521,1259,2973,904,14966,2096,1741,730,69308,2679,18743,1821,9087,1651,8359,1747,7168,1344,22723,2265,3228,762,19512,1707,3388,927,1566,674,2547,879,2170,707,8964,1514,877,430,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,2144851,23516,289369,9285,40326,4802,29405,4049,26572,4134,29775,3581,138993,7208,24298,3396,560350,11177,120007,7648,78606,6618,66415,5206,53684,5470,212224,7820,29414,3273,1011769,18648,214838,8188,131874,8141,111757,7013,95127,6311,395090,12387,63083,4949,283363,8273,33673,3236,18865,2940,32013,3184,23015,2238,143171,6627,32626,3009,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
