GEO_ID,B07009_001E,B07009_001M,B07009_002E,B07009_002M,B07009_003E,B07009_003M,B07009_004E,B07009_004M,B07009_005E,B07009_005M,B07009_006E,B07009_006M,B07009_007E,B07009_007M,B07009_008E,B07009_008M,B07009_009E,B07009_009M,B07009_010E,B07009_010M,B07009_011E,B07009_011M,B07009_012E,B07009_012M,B07009_013E,B07009_013M,B07009_014E,B07009_014M,B07009_015E,B07009_015M,B07009_016E,B07009_016M,B07009_017E,B07009_017M,B07009_018E,B07009_018M,B07009_019E,B07009_019M,B07009_020E,B07009_020M,B07009_021E,B07009_021M,B07009_022E,B07009_022M,B07009_023E,B07009_023M,B07009_024E,B07009_024M,B07009_025E,B07009_025M,B07009_026E,B07009_026M,B07009_027E,B07009_027M,B07009_028E,B07009_028M,B07009_029E,B07009_029M,B07009_030E,B07009_030M,B07009_031E,B07009_031M,B07009_032E,B07009_032M,B07009_033E,B07009_033M,B07009_034E,B07009_034M,B07009_035E,B07009_035M,B07009_036E,B07009_036M,NAME,B07009_001MA,B07009_001EA,B07009_002EA,B07009_002MA,B07009_003MA,B07009_003EA,B07009_004MA,B07009_004EA,B07009_005MA,B07009_005EA,B07009_006MA,B07009_006EA,B07009_007MA,B07009_007EA,B07009_008EA,B07009_008MA,B07009_009MA,B07009_009EA,B07009_010MA,B07009_010EA,B07009_011MA,B07009_011EA,B07009_012MA,B07009_012EA,B07009_013EA,B07009_013MA,B07009_014MA,B07009_014EA,B07009_015MA,B07009_015EA,B07009_016MA,B07009_016EA,B07009_017MA,B07009_017EA,B07009_018MA,B07009_018EA,B07009_019EA,B07009_019MA,B07009_020MA,B07009_020EA,B07009_021MA,B07009_021EA,B07009_022MA,B07009_022EA,B07009_023MA,B07009_023EA,B07009_024EA,B07009_024MA,B07009_025MA,B07009_025EA,B07009_026MA,B07009_026EA,B07009_027MA,B07009_027EA,B07009_028MA,B07009_028EA,B07009_029EA,B07009_029MA,B07009_030EA,B07009_030MA,B07009_031MA,B07009_031EA,B07009_032MA,B07009_032EA,B07009_033MA,B07009_033EA,B07009_034MA,B07009_034EA,B07009_035EA,B07009_035MA,B07009_036MA,B07009_036EA,state
0400000US01,2944634,4653,580906,13140,941983,15349,791137,12540,398907,11829,231701,8801,2561999,12953,505375,11794,822929,13924,687282,12377,343322,10423,203091,7814,242513,10913,52990,4204,80167,5862,66043,5044,29468,3144,13845,2103,67271,5009,12344,2161,19527,2509,19175,3028,11388,2038,4837,1738,63687,4927,8391,1664,17888,2647,16887,2280,12330,2087,8191,1642,9164,1500,1806,692,1472,542,1750,602,2399,1018,1737,652,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,387609,1667,34734,2408,112102,4340,135032,4631,66674,3521,39067,2814,326347,3595,30134,2301,93770,4178,110838,3670,57322,3311,34283,2543,34941,3174,2894,787,11121,1651,13669,1898,4442,863,2815,916,9796,2085,571,311,3937,1390,3218,892,1679,698,391,232,15072,2198,968,468,3084,830,6615,1507,2951,860,1454,579,1453,574,167,171,190,202,692,457,280,285,124,138,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,3703355,2933,598532,13165,948896,15625,1209215,14905,601547,13721,345165,8327,2994929,15766,475265,12043,766705,14797,979365,14321,486113,11690,287481,8040,444385,15016,83158,7038,117335,8168,145051,8829,68430,5878,30411,3031,51761,5095,8226,2047,13441,2692,19141,2604,6862,1524,4091,1134,182719,8268,19349,3265,46141,4175,61116,4494,35954,2924,20159,2528,29561,4629,12534,3707,5274,1468,4542,1184,4188,1280,3023,861,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,1777242,3820,337534,8834,631853,10709,472538,9860,223069,7222,112248,5253,1517370,11748,282189,7629,539414,9427,406823,9651,190269,6330,98675,5077,149914,8315,34221,4059,53272,4405,36315,2978,19090,2690,7016,1330,48526,4043,8522,1721,18132,1938,13917,2108,5943,988,2012,806,58282,4835,11376,2142,20579,3154,15121,2568,7307,1591,3899,1130,3150,1118,1226,607,456,275,362,296,460,322,646,544,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,22299041,5730,4442198,42854,4868430,38058,6402453,42802,4215208,33056,2370752,23051,19073779,43735,3799878,38942,4161367,37342,5505159,38079,3566319,31219,2041056,21822,2184455,35453,466174,16501,503495,17583,623783,15859,407009,12869,183994,8134,603274,20955,96775,10058,127826,9342,173450,9072,135348,6613,69875,5329,266519,11219,28486,4901,43921,4381,71923,7160,69763,5659,52426,4292,171014,10380,50885,4654,31821,4187,28138,4005,36769,4332,23401,3050,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,2964773,3383,335800,11064,706673,15384,871123,13526,685481,12623,365696,7525,2451949,14467,273245,10020,587964,15844,721043,12591,558503,10970,311194,7544,265946,11648,34331,5059,66162,5298,82593,7035,59134,4710,23726,2451,126998,8142,14772,2740,31375,4384,38463,4184,29869,3440,12519,2007,101254,5674,7907,1660,18070,2607,25715,2779,33360,3708,16202,2234,18626,3077,5545,2104,3102,988,3309,1162,4615,1199,2055,800,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2300565,1447,278473,9904,675701,12339,543176,9503,459099,11752,344116,9393,2054227,10273,246856,9964,608105,12043,488391,9188,408139,10933,302736,8860,153707,9082,22217,3800,48733,4367,33985,3415,28941,4213,19831,2323,30978,3308,2167,738,7385,1823,8020,1624,7640,1354,5766,1307,49686,5390,5590,1630,9770,2278,10390,2183,11300,1854,12636,1915,11967,1867,1643,757,1708,673,2390,706,3079,1061,3147,1144,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,551079,992,79327,4237,181831,6225,138042,5321,90574,3902,61305,3810,477715,5397,70060,4054,158073,5812,120957,5090,75042,3705,53583,3420,45210,4368,6872,1659,15544,2532,10621,1825,8536,1672,3637,925,3495,922,107,111,1155,494,1104,530,420,300,709,411,21303,3059,1808,775,5930,1535,4739,1068,5924,1671,2902,768,3356,1429,480,387,1129,956,621,424,652,506,474,455,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,371932,726,61079,3774,78164,3838,64381,3240,74565,4073,93743,4411,309221,4616,53049,4206,68845,3777,54866,3335,58230,3685,74231,4263,31978,3543,6256,1612,7588,1729,4967,1248,6063,1606,7104,1353,0,286,0,286,0,286,0,286,0,286,0,286,25863,3071,1236,686,1665,711,4228,1083,8692,2169,10042,1563,4870,1358,538,332,66,112,320,359,1580,962,2366,933,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,11850782,6636,1825829,22560,3619623,34639,3426742,32625,1936734,23156,1041854,18095,9910950,28236,1528595,18882,3045612,34357,2848860,28911,1606597,21948,881286,17834,1096355,25131,184861,9878,338457,13761,326241,13143,170361,8549,76435,5296,328814,14099,38241,4627,95082,7145,107071,7383,61085,4667,27335,2391,420735,13837,51179,5442,116904,6918,125328,8282,80001,5131,47323,3381,93928,7863,22953,3560,23568,3181,19242,2486,18690,4096,9475,1543,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
