GEO_ID,C24080_001E,C24080_001M,C24080_002E,C24080_002M,C24080_003E,C24080_003M,C24080_004E,C24080_004M,C24080_005E,C24080_005M,C24080_006E,C24080_006M,C24080_007E,C24080_007M,C24080_008E,C24080_008M,C24080_009E,C24080_009M,C24080_010E,C24080_010M,C24080_011E,C24080_011M,C24080_012E,C24080_012M,C24080_013E,C24080_013M,C24080_014E,C24080_014M,C24080_015E,C24080_015M,C24080_016E,C24080_016M,C24080_017E,C24080_017M,C24080_018E,C24080_018M,C24080_019E,C24080_019M,NAME,C24080_001EA,C24080_001MA,C24080_002EA,C24080_002MA,C24080_003EA,C24080_003MA,C24080_004MA,C24080_004EA,C24080_005MA,C24080_005EA,C24080_006EA,C24080_006MA,C24080_007EA,C24080_007MA,C24080_008EA,C24080_008MA,C24080_009MA,C24080_009EA,C24080_010MA,C24080_010EA,C24080_011MA,C24080_011EA,C24080_012MA,C24080_012EA,C24080_013MA,C24080_013EA,C24080_014MA,C24080_014EA,C24080_015MA,C24080_015EA,C24080_016MA,C24080_016EA,C24080_017MA,C24080_017EA,C24080_018MA,C24080_018EA,C24080_019EA,C24080_019MA,state
0400000US01,1984267,15275,1068947,9287,809019,10151,760852,10497,48167,2956,40328,4047,58424,4377,38121,3112,37105,3259,85950,4377,915320,10582,620177,10142,604742,10372,15435,2099,78482,4606,87029,4445,58560,3762,25404,2517,45668,3191,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,302307,5308,161389,3342,95946,3381,88967,3401,6979,1439,11668,1507,11568,1347,11364,1486,15772,2043,15071,1799,140918,3433,70479,3499,67278,3447,3201,801,18963,1812,17316,1823,14959,1300,7993,1090,11208,1532,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,2629872,15924,1466622,10006,1132399,11193,1057370,11197,75029,4963,54506,4793,92054,5169,49853,3956,37106,2909,100704,5452,1163250,11032,790508,12067,761811,12336,28697,2669,87757,4969,125778,6306,60809,4166,26646,2878,71752,5277,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,1232278,11901,655029,6944,485389,7294,453717,7317,31672,2574,28672,2824,32153,3008,29278,2331,17349,2370,62188,3373,577249,9140,368081,8699,355872,8554,12209,2057,55358,3585,50917,3226,56135,3392,13375,1675,33383,2621,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,16008544,36742,8908997,27413,6648651,30627,6264641,29243,384010,11278,368119,10594,542514,13109,247314,9286,199839,7305,902560,18895,7099547,26078,4662148,30375,4511691,30745,150457,7021,583725,15916,819078,15520,322417,9164,131283,6634,580896,13749,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,2333593,13197,1276200,8518,965689,11124,876448,11036,89241,4445,51999,4033,71701,4518,36762,3444,40546,3272,109503,5419,1057393,9775,699426,11593,660938,11630,38488,3487,104081,5153,107765,4936,40170,3006,27816,2964,78135,4444,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,1703428,11632,889670,7800,666156,9506,618196,9125,47960,3054,49857,3853,46971,3561,30823,2726,18203,1992,77660,5381,813758,8095,538262,9429,522185,9615,16077,1975,100090,4731,80150,4805,34382,3131,10134,1975,50740,3384,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,405078,5381,210840,3051,162871,3988,151760,4107,11111,1527,9916,1719,7270,1416,11046,1695,4560,1161,15177,2364,194238,4193,132755,4186,128479,4149,4276,996,21924,2729,11303,1526,17090,1932,2962,843,8204,1419,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,255385,4277,128391,2796,70350,3343,65719,3324,4631,970,18081,2620,6058,1323,2416,777,21702,2735,9784,1785,126994,3708,56715,3403,54937,3373,1778,568,26855,2319,10509,1495,4298,1244,22740,2098,5877,1076,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,7896650,27718,4247578,21728,3322462,24625,2951814,25376,370648,9418,149891,6739,251600,9042,107261,6634,98879,5236,317485,9900,3649072,20009,2592987,19557,2458565,20217,134422,7558,292557,8923,353290,9747,131938,5667,70808,4941,207492,7973,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
