GEO_ID,B25007_001E,B25007_001M,B25007_002E,B25007_002M,B25007_003E,B25007_003M,B25007_004E,B25007_004M,B25007_005E,B25007_005M,B25007_006E,B25007_006M,B25007_007E,B25007_007M,B25007_008E,B25007_008M,B25007_009E,B25007_009M,B25007_010E,B25007_010M,B25007_011E,B25007_011M,B25007_012E,B25007_012M,B25007_013E,B25007_013M,B25007_014E,B25007_014M,B25007_015E,B25007_015M,B25007_016E,B25007_016M,B25007_017E,B25007_017M,B25007_018E,B25007_018M,B25007_019E,B25007_019M,B25007_020E,B25007_020M,B25007_021E,B25007_021M,NAME,B25007_001MA,B25007_001EA,B25007_002MA,B25007_002EA,B25007_003EA,B25007_003MA,B25007_004EA,B25007_004MA,B25007_005MA,B25007_005EA,B25007_006MA,B25007_006EA,B25007_007MA,B25007_007EA,B25007_008EA,B25007_008MA,B25007_009EA,B25007_009MA,B25007_010MA,B25007_010EA,B25007_011MA,B25007_011EA,B25007_012EA,B25007_012MA,B25007_013MA,B25007_013EA,B25007_014EA,B25007_014MA,B25007_015EA,B25007_015MA,B25007_016MA,B25007_016EA,B25007_017EA,B25007_017MA,B25007_018MA,B25007_018EA,B25007_019EA,B25007_019MA,B25007_020MA,B25007_020EA,B25007_021EA,B25007_021MA,state
0400000US01,1788692,9253,1261475,13183,21774,2260,141569,6512,241384,6843,289117,6109,133609,5095,115403,3804,176393,4215,111901,3976,30325,2428,527217,11869,83439,4960,145794,6083,103465,6691,78958,4964,29413,2730,21298,2250,31451,2540,23938,2549,9461,1467,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,233252,2012,147019,3283,2090,682,16155,1551,34438,1910,45464,1596,17349,1497,11924,1514,12635,988,5779,754,1185,429,86233,3244,14148,1671,22070,1959,20668,2241,15596,1689,5021,1133,2771,723,2782,729,1903,449,1274,433,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,2204013,9234,1502457,13503,30387,3318,190106,6185,293301,7459,318567,7301,144127,4721,126935,4165,218759,5285,146373,3952,33902,2763,701556,12519,120348,4412,214145,8136,136745,6463,102378,6578,36390,3555,23459,2378,29839,2616,24321,2414,13931,1621,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,1087542,7421,736825,11065,13861,2257,82449,3385,135271,5279,159517,4505,78327,3724,68027,3265,113289,3018,67798,2538,18286,1652,350717,8790,54028,3358,93575,4561,75666,4968,54133,4075,18268,2019,12839,1814,18624,1634,16794,1636,6790,1271,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,12097894,20853,7070138,36338,70121,5008,728360,14943,1517480,20430,1726463,19343,768846,11138,588961,12248,853231,11598,625443,9122,191233,5890,5027756,31936,513253,12934,1351726,18151,1204818,17729,891677,16878,298026,9559,201532,7701,268407,6936,211197,7521,87120,5018,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1819037,8199,1233695,10904,22038,2030,179345,6400,270404,6509,308232,6548,132458,4163,92227,3677,123903,3208,83713,2813,21375,2164,585342,11059,98882,4832,179804,7398,119765,6521,82161,4260,31075,3087,16833,1840,24259,2195,20644,1981,11919,1161,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,1323838,6482,919943,9808,6031,1233,86598,4582,200721,5186,231804,4977,97807,4278,78729,3490,102893,2950,87654,3173,27706,2059,403895,8863,38467,3192,95365,5142,88845,5053,66720,4049,26564,2872,17718,2201,27963,2570,27508,2667,14745,1882,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,317640,2835,229860,4042,3431,846,26910,1956,47945,2074,51627,2109,22863,1783,19905,1583,30959,1494,21934,1651,4286,805,87780,3942,13753,1495,24687,2225,18401,2132,12196,1608,4960,959,2922,736,4508,891,4311,944,2042,596,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,248213,2990,105518,3324,594,330,16317,1703,20870,1590,19716,1264,11652,1313,9089,1144,12656,1468,11360,1215,3264,749,142695,3688,10135,966,43740,2625,28425,2235,24752,1813,9544,1408,6587,1182,9855,1280,7303,1178,2354,680,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,7048800,20625,4903949,29804,61495,5106,455782,10163,901073,11423,1023633,13299,492525,10857,440015,8218,775231,9835,589608,9426,164587,6299,2144851,23516,289369,9285,560350,11177,452472,13666,354982,10717,121029,5739,83286,4940,127220,5729,104196,5265,51947,3637,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,3320278,14891,2218217,18944,36144,3692,307120,9155,521157,8995,527288,8813,227330,5892,172642,5316,249990,5017,141516,4633,35030,2497,1102061,16638,161930,6798,326986,10487,252031,8794,169606,6354,57542,4458,37768,3778,49269,3320,34160,2745,12769,1856,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,430007,3658,256578,4620,1855,791,14072,1578,42578,2893,64335,2857,32607,2227,25262,2147,34297,1777,32875,2143,8697,1255,173429,5114,15866,2016,42499,2465,40357,3201,31890,2383,12962,1619,8222,1370,9652,1382,8426,1324,3555,904,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,532135,3986,379948,6577,8063,1436,52339,2825,75146,3109,87866,2992,37551,2213,30474,1781,46811,2003,31893,2393,9805,1219,152187,5032,32006,2640,41320,2849,27211,2748,23275,2550,7190,1484,5425,1140,7408,1256,5327,1121,3025,932,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,4691020,12381,3277573,19759,47979,3126,437082,8605,701115,9474,762184,10315,323248,8049,254477,6012,379483,5890,286864,5285,85141,3713,1413447,16614,174620,6047,388292,10078,284753,8870,229719,8598,82493,5935,55216,3634,85052,4699,74990,3911,38312,3163,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,2443010,11121,1759089,16467,31283,2413,235261,6157,353998,7314,415385,7669,176293,4433,139986,4349,213970,4075,153930,3891,38983,2928,683921,13453,113921,4756,180735,5515,141580,5951,98564,5382,37094,3320,23984,2115,33563,2382,34985,2551,19495,2032,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,1200833,6448,877796,9351,20728,2181,105793,3467,172786,4221,202096,4434,87971,3107,67628,2728,108160,2609,85411,2509,27223,1829,323037,6427,64123,2979,81507,3932,52399,3274,47111,3191,15878,2251,11214,1339,17254,1414,20940,1718,12611,1527,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
