GEO_ID,C25116_001E,C25116_001M,C25116_002E,C25116_002M,C25116_003E,C25116_003M,C25116_004E,C25116_004M,C25116_005E,C25116_005M,C25116_006E,C25116_006M,C25116_007E,C25116_007M,C25116_008E,C25116_008M,C25116_009E,C25116_009M,C25116_010E,C25116_010M,C25116_011E,C25116_011M,C25116_012E,C25116_012M,C25116_013E,C25116_013M,C25116_014E,C25116_014M,C25116_015E,C25116_015M,NAME,C25116_001MA,C25116_001EA,C25116_002EA,C25116_002MA,C25116_003EA,C25116_003MA,C25116_004EA,C25116_004MA,C25116_005MA,C25116_005EA,C25116_006MA,C25116_006EA,C25116_007EA,C25116_007MA,C25116_008EA,C25116_008MA,C25116_009EA,C25116_009MA,C25116_010MA,C25116_010EA,C25116_011MA,C25116_011EA,C25116_012EA,C25116_012MA,C25116_013EA,C25116_013MA,C25116_014EA,C25116_014MA,C25116_015MA,C25116_015EA,state
0400000US01,1788692,9253,1261475,13183,296604,8759,166546,6993,130058,4579,964871,11768,776310,10511,188561,4662,527217,11869,199124,8110,153963,7821,45161,3147,328093,9877,308404,9444,19689,2002,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,233252,2012,147019,3283,26542,2156,20301,2027,6241,968,120477,3433,107119,3541,13358,1087,86233,3244,30870,2736,26980,2437,3890,768,55363,2842,53294,2782,2069,607,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,2204013,9234,1502457,13503,337948,10651,201429,8793,136519,5126,1164509,13639,901994,11274,262515,6066,701556,12519,243110,9472,196713,9069,46397,3163,458446,12527,436752,12238,21694,1940,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,1087542,7421,736825,11065,166241,5539,90654,4545,75587,3854,570584,10832,446798,9453,123786,3846,350717,8790,129544,5649,99643,5784,29901,2071,221173,7588,208866,7449,12307,1475,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,12097894,20853,7070138,36338,1391072,18964,800297,16127,590775,10178,5679066,32875,4599934,31290,1079132,13105,5027756,31936,1568242,19762,1209899,18699,358343,9360,3459514,27839,3251133,26578,208381,6857,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1819037,8199,1233695,10904,276017,8658,191239,7368,84778,3623,957678,11100,813465,10214,144213,3863,585342,11059,237424,8263,193723,7612,43701,2787,347918,9145,334797,8861,13121,1623,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,1323838,6482,919943,9808,190652,6062,106919,4895,83733,3500,729291,9782,594771,9281,134520,4273,403895,8863,168686,6735,116731,5500,51955,3586,235209,7736,216948,7436,18261,2058,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,317640,2835,229860,4042,51055,2820,30132,2427,20923,1623,178805,4516,142549,4138,36256,1745,87780,3942,30309,2759,22492,2718,7817,1113,57471,3145,54427,3020,3044,791,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,248213,2990,105518,3324,43222,2773,31400,2483,11822,1452,62296,2844,46838,2539,15458,1560,142695,3688,73822,3793,60144,3528,13678,1515,68873,3452,63039,3365,5834,1160,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,7048800,20625,4903949,29804,1211626,18482,649437,16169,562189,8578,3692323,26914,2725086,21407,967237,11636,2144851,23516,751052,16001,571826,14305,179226,7584,1393799,20281,1289662,19950,104137,5275,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
