GEO_ID,B22001_001E,B22001_001M,B22001_002E,B22001_002M,B22001_003E,B22001_003M,B22001_004E,B22001_004M,B22001_005E,B22001_005M,B22001_006E,B22001_006M,B22001_007E,B22001_007M,NAME,B22001_001EA,B22001_001MA,B22001_002EA,B22001_002MA,B22001_003EA,B22001_003MA,B22001_004EA,B22001_004MA,B22001_005MA,B22001_005EA,B22001_006MA,B22001_006EA,B22001_007MA,B22001_007EA,state
0400000US01,1788692,9253,195884,7349,41512,3176,154372,6580,1592808,10516,522652,6429,1070156,9495,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,233252,2012,17123,1561,2601,675,14522,1446,216129,2404,46700,2194,169429,3290,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,2204013,9234,161128,7300,28602,2907,132526,7274,2042885,10805,657217,7436,1385668,9972,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,1087542,7421,124855,4861,25272,1927,99583,4637,962687,7760,327691,4819,634996,6631,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,12097894,20853,550043,14987,83045,5770,466998,13741,11547851,25485,3491359,16911,8056492,25320,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1819037,8199,90000,4386,16190,1861,73810,4139,1729037,8010,422338,5100,1306699,8728,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,1323838,6482,71343,4209,17175,2057,54168,4117,1252495,7214,414321,4924,838174,7840,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,317640,2835,20636,1946,5503,1019,15133,1659,297004,3273,95588,2295,201416,3487,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,248213,2990,24542,2158,6011,952,18531,2057,223671,3521,63264,2027,160407,3489,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,7048800,20625,554593,11916,181031,7443,373562,9305,6494207,23943,2422804,16854,4071403,18123,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,3320278,14891,281724,8863,62599,4283,219125,7669,3038554,15586,777609,9300,2260945,14787,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,430007,3658,28485,2668,12810,1590,15675,2406,401522,4150,146432,3138,255090,4191,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,532135,3986,39699,3700,7364,1393,32335,3066,492436,5077,144119,2811,348317,4518,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,4691020,12381,358607,9765,79699,4308,278908,9075,4332413,17501,1318737,9387,3013676,16073,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,2443010,11121,213201,8534,39991,2991,173210,7353,2229809,13237,676090,6328,1553719,11131,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,1200833,6448,86574,4615,13045,1482,73529,4365,1114259,8557,358456,4530,755803,7088,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,1071938,6448,67309,3642,11996,1474,55313,3445,1004629,7299,298188,4739,706441,6329,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,1653898,9151,208720,6235,41488,3081,167232,6163,1445178,11054,452909,5748,992269,9538,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,1676599,9999,294669,9224,67751,4139,226918,8848,1381930,11425,439069,6920,942861,10914,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,542158,4476,62142,3417,12504,1072,49638,3335,480016,5048,163274,3027,316742,4845,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,2085647,7404,98598,5694,23636,2307,74962,5498,1987049,9063,586949,6913,1400100,10825,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,2448032,10748,130036,6922,29224,2625,100812,6770,2317996,12703,745066,8398,1572930,12594,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,3887994,12280,354306,9749,71502,3774,282804,8716,3533688,15734,1095859,9082,2437829,15190,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,2020144,7496,103848,5406,18675,2035,85173,4865,1916296,7938,536739,4679,1379557,7644,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,1084034,7745,163851,6256,38295,2725,125556,5376,920183,8531,294832,4909,625351,8407,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,2285280,10457,234902,7611,44918,2779,189984,6835,2050378,11629,650838,6701,1399540,11085,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
