B23011_047M,B23011_048E,B23011_048M,B23011_049E,B23011_049M,B23011_050E,B23011_050M,B23011_051E,B23011_051M,B23011_052E,B23011_052M,B23011_053E,B23011_053M,B23011_054E,B23011_054M,B23011_055E,B23011_055M,B23011_056E,B23011_056M,B23011_057E,B23011_057M,B23011_058E,B23011_058M,B23011_059E,B23011_059M,B23011_060E,B23011_060M,B23011_061E,B23011_061M,B23011_062E,B23011_062M,B23011_063E,B23011_063M,B23011_064E,B23011_064M,B23011_065E,B23011_065M,B23011_066E,B23011_066M,B23011_067E,B23011_067M,B23011_068E,B23011_068M,B23011_069E,B23011_069M,B23011_070E,B23011_070M,B23011_071E,B23011_071M,B23011_072E,B23011_072M,B23011_073E,B23011_073M,B23011_074E,B23011_074M,B23011_075E,B23011_075M,B23011_076E,B23011_076M,B23011_077E,B23011_077M,B23011_078E,B23011_078M,B23011_079E,B23011_079M,B23011_080E,B23011_080M,B23011_081E,B23011_081M,B23011_082E,B23011_082M,B23011_083E,B23011_083M,B23011_084E,B23011_084M,B23011_085E,B23011_085M,B23011_086E,B23011_086M,B23011_087E,B23011_087M,B23011_088E,B23011_088M,B23011_089E,B23011_089M,B23011_090E,B23011_090M,B23011_091E,B23011_091M,B23011_092E,B23011_092M,B23011_093E,B23011_093M,B23011_094E,B23011_094M,B23011_095E,B23011_095M,B23011_096E,B23011_096M,B23011_097E,B23011_097M,B23011_098E,B23011_098M,B23011_099E,B23011_099M,GEO_ID,B23011_001E,B23011_001M,B23011_002E,B23011_002M,B23011_003E,B23011_003M,B23011_004E,B23011_004M,B23011_005E,B23011_005M,B23011_006E,B23011_006M,B23011_007E,B23011_007M,B23011_008E,B23011_008M,B23011_009E,B23011_009M,B23011_010E,B23011_010M,B23011_011E,B23011_011M,B23011_012E,B23011_012M,B23011_013E,B23011_013M,B23011_014E,B23011_014M,B23011_015E,B23011_015M,B23011_016E,B23011_016M,B23011_017E,B23011_017M,B23011_018E,B23011_018M,B23011_019E,B23011_019M,B23011_020E,B23011_020M,B23011_021E,B23011_021M,B23011_022E,B23011_022M,B23011_023E,B23011_023M,B23011_024E,B23011_024M,B23011_025E,B23011_025M,B23011_026E,B23011_026M,B23011_027E,B23011_027M,B23011_028E,B23011_028M,B23011_029E,B23011_029M,B23011_030E,B23011_030M,B23011_031E,B23011_031M,B23011_032E,B23011_032M,B23011_033E,B23011_033M,B23011_034E,B23011_034M,B23011_035E,B23011_035M,B23011_036E,B23011_036M,B23011_037E,B23011_037M,B23011_038E,B23011_038M,B23011_039E,B23011_039M,B23011_040E,B23011_040M,B23011_041E,B23011_041M,B23011_042E,B23011_042M,B23011_043E,B23011_043M,B23011_044E,B23011_044M,B23011_045E,B23011_045M,B23011_046E,B23011_046M,B23011_047E,B23011_047MA,B23011_048EA,B23011_048MA,B23011_049MA,B23011_049EA,B23011_050MA,B23011_050EA,B23011_051MA,B23011_051EA,B23011_052EA,B23011_052MA,B23011_053EA,B23011_053MA,B23011_054EA,B23011_054MA,B23011_055MA,B23011_055EA,B23011_056MA,B23011_056EA,B23011_057EA,B23011_057MA,B23011_058EA,B23011_058MA,B23011_059EA,B23011_059MA,B23011_060EA,B23011_060MA,B23011_061MA,B23011_061EA,B23011_062MA,B23011_062EA,B23011_063MA,B23011_063EA,B23011_064EA,B23011_064MA,B23011_065EA,B23011_065MA,B23011_066MA,B23011_066EA,B23011_067MA,B23011_067EA,B23011_068MA,B23011_068EA,B23011_069EA,B23011_069MA,B23011_070EA,B23011_070MA,B23011_071EA,B23011_071MA,B23011_072MA,B23011_072EA,B23011_073MA,B23011_073EA,B23011_074MA,B23011_074EA,B23011_075EA,B23011_075MA,B23011_076EA,B23011_076MA,B23011_077MA,B23011_077EA,B23011_078MA,B23011_078EA,B23011_079MA,B23011_079EA,B23011_080EA,B23011_080MA,B23011_081EA,B23011_081MA,B23011_082EA,B23011_082MA,B23011_083MA,B23011_083EA,B23011_084MA,B23011_084EA,B23011_085MA,B23011_085EA,B23011_086EA,B23011_086MA,B23011_087EA,B23011_087MA,B23011_088MA,B23011_088EA,B23011_089MA,B23011_089EA,B23011_090MA,B23011_090EA,B23011_091EA,B23011_091MA,B23011_092EA,B23011_092MA,B23011_093EA,B23011_093MA,B23011_094MA,B23011_094EA,B23011_095MA,B23011_095EA,B23011_096MA,B23011_096EA,B23011_097EA,B23011_097MA,B23011_098EA,B23011_098MA,B23011_099MA,B23011_099EA,NAME,B23011_001MA,B23011_001EA,B23011_002EA,B23011_002MA,B23011_003EA,B23011_003MA,B23011_004EA,B23011_004MA,B23011_005EA,B23011_005MA,B23011_006MA,B23011_006EA,B23011_007EA,B23011_007MA,B23011_008EA,B23011_008MA,B23011_009EA,B23011_009MA,B23011_010EA,B23011_010MA,B23011_011MA,B23011_011EA,B23011_012MA,B23011_012EA,B23011_013MA,B23011_013EA,B23011_014EA,B23011_014MA,B23011_015EA,B23011_015MA,B23011_016EA,B23011_016MA,B23011_017MA,B23011_017EA,B23011_018MA,B23011_018EA,B23011_019MA,B23011_019EA,B23011_020EA,B23011_020MA,B23011_021EA,B23011_021MA,B23011_022MA,B23011_022EA,B23011_023MA,B23011_023EA,B23011_024MA,B23011_024EA,B23011_025EA,B23011_025MA,B23011_026EA,B23011_026MA,B23011_027EA,B23011_027MA,B23011_028MA,B23011_028EA,B23011_029MA,B23011_029EA,B23011_030MA,B23011_030EA,B23011_031EA,B23011_031MA,B23011_032EA,B23011_032MA,B23011_033MA,B23011_033EA,B23011_034MA,B23011_034EA,B23011_035MA,B23011_035EA,B23011_036EA,B23011_036MA,B23011_037EA,B23011_037MA,B23011_038EA,B23011_038MA,B23011_039MA,B23011_039EA,B23011_040MA,B23011_040EA,B23011_041MA,B23011_041EA,B23011_042EA,B23011_042MA,B23011_043EA,B23011_043MA,B23011_044MA,B23011_044EA,B23011_045MA,B23011_045EA,B23011_046MA,B23011_046EA,B23011_047EA,state
598,4301,1211,7615,1510,114988,5375,1495256,3617,245472,6674,89267,4671,64504,3830,38026,3320,2963,884,5876,1400,5236,1112,6102,1365,6301,1344,19909,2244,5730,1137,1087,479,2497,862,2374,704,3644,846,4577,880,4854,1126,1205,456,49,58,97,119,819,621,676,356,2008,648,156205,5488,1249784,6878,959120,9262,720046,10913,525547,10075,24179,2543,49666,3840,46636,4268,35096,3696,38922,3113,197667,6539,82523,4061,8911,1391,18340,1736,22926,2386,30178,2754,34789,2701,41407,3060,10757,1339,1674,520,3115,821,3960,907,6943,1256,14958,2226,290664,8171,0400000US01,2906351,4798,1411095,3339,248951,8958,116481,6471,92120,5678,58671,4003,4326,1289,5572,1097,6321,1235,7237,1383,9993,1892,21102,2653,6180,1239,618,305,1429,512,2419,842,4785,1188,5671,1416,3259,762,811,386,22,39,205,159,379,263,825,439,1017,385,132470,5560,1162144,9383,1047156,9334,922911,10264,749590,10830,37346,3190,41915,3312,31973,3365,30931,3542,31156,3079,102805,5765,36829,3293,2834,788,9640,1970,11175,1746,18051,2330,24276,2458,21440,2571,4478,1033,855,413,1978,782,2213,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
122,496,351,1496,572,18268,1825,212622,1389,28066,2053,15542,1622,9831,1286,4715,962,267,189,1232,483,1097,556,1277,542,1243,458,4336,779,1567,492,187,150,717,413,368,218,758,335,739,331,1375,553,208,148,19,30,0,233,201,155,201,142,746,446,12524,1492,184556,2225,151481,2934,107997,3553,68057,2952,5548,950,10305,1469,9503,1679,7217,1146,7367,1225,34228,3055,12485,1817,1739,540,2872,618,4499,1036,6181,1249,6452,1373,9256,1265,2612,680,135,131,718,440,908,493,1377,521,3506,784,33075,2511,0400000US02,434247,1697,221625,1479,31036,2276,20812,1940,16442,1873,8643,1468,748,462,1718,585,1271,469,2604,702,1458,514,2754,699,758,350,43,71,360,335,261,271,438,239,894,314,1616,605,343,235,0,233,22,36,153,149,253,293,845,419,10224,1405,190589,2460,172321,2858,151775,2862,95427,3468,8088,1617,13028,1726,11832,1642,12839,1374,10561,1226,16396,2038,4999,1061,736,441,1697,581,2089,643,2937,818,3938,857,4150,884,1680,588,84,137,204,157,190,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
892,4647,956,8749,1554,166225,6286,1836846,4369,214512,7575,96090,5326,66671,4452,39844,3861,2666,754,6773,1644,6124,1115,5447,1210,5817,1484,22975,2564,7414,1306,741,346,3225,859,2948,874,2810,839,5837,1124,6444,1290,1258,547,262,231,623,418,742,448,1636,794,1923,573,118422,5310,1622334,9058,1211365,11230,897523,10115,637236,11473,46565,2960,69084,4845,51876,3982,48906,4086,43856,4021,263027,9207,105220,5262,13249,1629,30601,2710,34845,3222,37044,3923,42068,4015,50815,3438,13050,1943,2532,818,5366,1216,6626,1316,7942,1223,15299,1897,410969,11392,0400000US04,3684782,4640,1847936,3671,210638,8669,117247,6837,92502,5399,60164,4403,3908,1023,6966,1367,6325,1318,6549,1369,8590,1563,19123,2718,5130,1444,1053,515,1709,599,2861,898,3565,1001,4805,1040,5622,1489,998,480,97,115,196,156,739,448,706,318,2886,1054,93391,5125,1637298,9513,1471073,9760,1294548,11346,1008891,13161,64377,4238,72941,5271,53191,4361,46048,4495,49100,3957,149262,6359,59176,4477,6297,1422,16442,2169,19882,2629,20913,2626,26552,2903,27263,2556,7920,1509,1168,509,1435,490,3344,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
753,1670,581,4963,1186,61971,3488,887702,2704,157361,5919,64505,4283,40907,3182,23196,2345,2046,1116,4032,979,3601,910,4286,974,3746,919,20150,2744,6265,1330,588,414,1409,624,2491,1052,4174,1090,5223,1396,3448,734,904,350,96,113,322,248,285,174,470,347,1371,416,92856,5043,730341,6910,590107,8509,446017,7783,316274,7049,17244,2247,37700,2996,30156,2790,22423,2234,22220,2360,119996,4423,47706,2998,5951,1189,13311,1713,14329,1794,17529,2099,21170,2445,24094,2005,7170,1205,1208,450,1557,550,1945,580,3856,998,8358,1458,140234,6161,0400000US05,1743541,3534,855839,3124,157039,5618,75474,4082,58933,3756,36571,3147,2428,699,4853,1070,5390,1394,4649,1008,5042,1102,12552,1880,3765,999,122,125,1105,536,1320,472,2909,982,3331,979,3989,967,1264,536,67,117,193,185,102,115,676,418,1687,698,81565,4802,698800,6068,636829,6157,559052,6193,434711,6426,23619,2611,31012,2972,22742,2367,22229,2598,24739,2934,64445,4420,23672,2822,1782,563,6356,1176,7322,1642,11828,1738,13485,1551,13332,1898,3159,834,735,455,984,451,1821,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
2989,39602,3699,69698,5354,1245356,18696,11482736,9361,1220123,19127,538466,13079,337680,11059,196903,8194,16590,2268,29771,2683,26065,2605,35240,3851,33111,3723,152311,6938,57275,4523,8138,1422,17291,2043,17358,3069,24180,3129,28069,3064,48475,4335,12882,2260,2224,1194,3931,1016,4613,1088,8928,1498,15897,2522,681657,12865,10262613,21360,7490392,25725,5289372,32853,3739940,31172,310009,9182,404993,11257,284545,10823,283640,11224,266245,10463,1801570,23014,790482,16240,108964,4835,223695,8458,194553,8220,231550,8633,252326,8954,399450,11534,113501,5641,17703,2227,38811,3363,47059,3965,69442,4193,112934,5452,2772221,26823,0400000US06,22986486,10870,11503750,8625,1139851,21054,598329,15057,466304,11654,289923,9729,28566,3950,35306,3397,33016,3195,41983,3770,37510,3630,101045,6484,34265,3611,4035,883,10606,1567,12521,2203,17033,2477,22585,2698,30980,3279,6927,1541,1480,647,1638,615,1993,656,5596,1390,13346,2112,541522,13173,10363899,22377,9118543,26428,7882190,28114,6030586,30304,456129,11490,473450,13107,327693,10621,303019,11772,291313,10258,1017590,16648,412768,11901,55661,4178,113053,5640,101419,6030,161687,7778,173002,8285,218763,8809,61176,4556,8338,1669,16533,2050,23416,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
781,4257,885,9613,1286,107538,5049,1511694,3496,141794,5154,76830,4476,48012,3744,29303,2663,2249,609,3652,997,4232,1044,4122,1032,4454,1186,22340,2699,6827,1352,1021,601,2112,653,2805,932,4072,867,5503,1158,6478,1186,2385,736,106,126,785,498,549,287,1008,411,1645,491,64964,3744,1369900,6506,1109962,8825,779174,9961,560362,10032,40971,3217,60975,3641,46538,3359,37244,3461,33084,2527,270458,8754,116153,5090,16187,1793,33710,2849,33942,3427,32252,2439,38214,3279,60330,4327,14648,2038,4218,1160,6469,1226,6810,1200,11765,1778,16420,2045,259938,8933,0400000US08,3067643,4205,1555949,3202,156450,6498,100589,5930,77014,5019,47720,3969,5155,1163,5981,1619,6174,1264,6316,1460,5668,1261,18089,2600,5491,1285,668,464,1506,637,2206,856,3385,933,4833,1350,5486,1177,1256,606,195,160,648,516,699,388,505,321,2183,653,55861,4017,1399499,7487,1291961,7354,1114804,7765,859123,9346,62802,4142,67452,3930,46506,3983,39657,3671,39264,3288,147287,6362,56395,3991,8994,1403,16884,2315,15716,1820,20759,2095,28539,2978,29870,2100,9663,1758,1490,532,2568,777,2279,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
696,4550,764,6121,1299,88113,5219,1131929,2908,112540,4610,56994,3826,34217,3305,22393,2620,1398,464,3304,800,1951,674,2453,791,2718,857,17824,1998,8685,1571,365,304,2214,743,1797,694,1749,514,3014,944,4953,1171,1139,441,111,133,379,268,312,241,448,288,2564,932,55546,4053,1019389,5331,834002,7277,575830,9403,437612,8843,29180,2956,42734,2644,25791,2432,20854,2912,19659,2230,209606,7232,106118,5261,9641,1297,29487,3021,19842,2635,17807,2435,26711,2747,48566,3107,11994,1670,1386,471,5918,1380,6398,1246,9124,1286,13746,2118,185387,5805,0400000US09,2219922,3458,1087993,2102,105803,5618,61032,4077,44932,3332,28966,3061,1657,544,3352,990,2757,849,4066,1446,4134,1226,12219,2084,3744,1278,115,142,1564,696,978,456,2448,1207,3370,1031,3881,1031,1246,855,169,129,374,241,568,350,446,253,1078,493,44771,3895,982190,5855,894077,7854,782130,8273,623506,9844,34701,3295,45892,3730,28124,3220,23073,3075,26834,2443,91499,4950,35063,3486,3822,996,9035,1315,7750,1544,15298,2064,20531,3062,20448,2105,4612,1005,837,317,2086,696,2242,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
360,938,429,1508,678,20194,2191,275875,1342,33320,2673,17320,2167,12043,1866,7861,1418,612,378,1259,556,543,438,921,530,847,471,3682,944,1995,811,16,28,166,157,469,288,793,313,243,203,1595,663,338,324,0,262,105,124,36,62,544,404,572,327,16000,1971,242555,2966,198495,3925,149994,4193,113317,4248,5814,1079,10486,1400,6128,1114,7189,1498,7060,1280,39353,2742,19371,2046,1961,667,2510,649,3431,886,5002,1118,7078,1468,9148,1587,2679,912,892,365,1107,555,768,299,2066,768,1636,482,44060,3507,0400000US10,537615,1599,261740,1072,30828,2347,16737,1850,13216,1711,8074,1356,596,400,1346,559,558,283,1549,826,1093,606,2644,684,921,417,0,262,267,215,386,237,588,338,482,311,877,404,215,189,85,140,13,22,61,101,276,234,227,192,14091,1608,230912,2499,210718,2906,186583,2992,151834,3677,7854,1160,8520,1197,5815,1217,6258,1253,6302,1093,19546,2299,7445,1470,967,395,2207,689,1723,613,2537,790,4667,1020,4589,1054,1262,545,158,138,130,148,593,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
283,794,447,996,562,17735,2248,183841,731,21838,2004,9778,1444,6898,1351,4478,1097,290,224,907,563,362,220,415,267,446,297,1951,564,552,255,85,104,164,169,110,112,455,253,585,393,929,445,185,174,0,286,0,286,0,286,190,266,554,413,12060,1780,162003,2103,133020,2834,113475,3115,82674,3645,6087,1051,7973,1351,6349,1350,4915,1110,5477,1159,15804,2161,5561,1382,447,236,2246,697,2183,755,2412,655,2955,970,3741,1041,990,650,159,192,447,223,272,188,738,427,1135,492,28983,2130,0400000US11,350828,1251,166987,968,17203,2195,9548,1625,6882,1352,4134,1108,367,220,742,533,490,358,377,359,772,505,1412,463,575,358,0,286,308,305,113,138,100,118,316,212,1254,639,150,169,0,286,109,177,59,96,464,438,472,444,7655,1706,149784,2485,132049,2652,117752,3131,88297,3605,6803,1225,7981,1456,4625,1422,4544,1235,5502,1259,10399,1676,3493,994,265,215,1197,451,1120,553,1148,500,3176,850,3898,1001,1536,545,139,166,39,64,394,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
1282,13516,2209,28612,3393,507648,11307,5560050,6254,681312,13650,306482,10758,215663,9673,130108,6700,8729,1863,21674,3004,16056,1963,17470,2490,21626,2859,73653,4928,24593,2684,3195,790,7841,1605,9848,1688,13056,2372,15120,1916,17166,2304,4737,1076,426,292,1725,709,1722,893,2871,732,5685,1463,374830,10513,4878738,14986,3765081,20362,2853850,20133,2076767,17346,128033,6324,229397,7817,152591,7481,131010,6866,136052,5156,778365,18014,324454,9558,38471,3358,87910,4910,90439,5829,109012,6230,128079,6756,132866,5558,34730,3061,5610,1182,15749,1969,12873,1557,24897,2503,39007,3085,1113657,19811,0400000US12,10925676,8485,5365626,6862,644420,13215,329747,9545,260815,7964,168637,6205,13884,2038,20619,2821,17037,2210,22008,2653,18630,1804,56896,4740,18763,2600,2083,764,5963,1415,6708,1530,10061,1801,13318,2086,12036,1818,3271,1095,479,398,598,333,762,374,1774,827,5152,1149,314673,9529,4721206,15648,4213558,17994,3715303,19850,2965908,21347,158655,5904,202133,9486,135103,7755,136676,7932,116828,6168,416481,9952,163043,6800,18743,2407,45395,4073,40651,3721,70995,4274,77654,4707,81774,5715,22306,2900,2892,811,7435,1448,7013,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
