GEO_ID,C18006_001E,C18006_001M,C18006_002E,C18006_002M,C18006_003E,C18006_003M,C18006_004E,C18006_004M,C18006_005E,C18006_005M,C18006_006E,C18006_006M,C18006_007E,C18006_007M,C18006_008E,C18006_008M,C18006_009E,C18006_009M,C18006_010E,C18006_010M,C18006_011E,C18006_011M,C18006_012E,C18006_012M,C18006_013E,C18006_013M,C18006_014E,C18006_014M,C18006_015E,C18006_015M,C18006_016E,C18006_016M,C18006_017E,C18006_017M,C18006_018E,C18006_018M,C18006_019E,C18006_019M,C18006_020E,C18006_020M,C18006_021E,C18006_021M,C18006_022E,C18006_022M,C18006_023E,C18006_023M,C18006_024E,C18006_024M,C18006_025E,C18006_025M,C18006_026E,C18006_026M,C18006_027E,C18006_027M,NAME,C18006_001MA,C18006_001EA,C18006_002MA,C18006_002EA,C18006_003MA,C18006_003EA,C18006_004EA,C18006_004MA,C18006_005EA,C18006_005MA,C18006_006MA,C18006_006EA,C18006_007MA,C18006_007EA,C18006_008MA,C18006_008EA,C18006_009EA,C18006_009MA,C18006_010EA,C18006_010MA,C18006_011EA,C18006_011MA,C18006_012EA,C18006_012MA,C18006_013MA,C18006_013EA,C18006_014MA,C18006_014EA,C18006_015EA,C18006_015MA,C18006_016EA,C18006_016MA,C18006_017EA,C18006_017MA,C18006_018MA,C18006_018EA,C18006_019MA,C18006_019EA,C18006_020EA,C18006_020MA,C18006_021EA,C18006_021MA,C18006_022EA,C18006_022MA,C18006_023MA,C18006_023EA,C18006_024MA,C18006_024EA,C18006_025EA,C18006_025MA,C18006_026EA,C18006_026MA,C18006_027EA,C18006_027MA,state
0400000US01,4138008,2743,1985377,3577,344584,3584,5187,1229,339397,3572,1400730,3580,38036,2937,1362694,4572,146565,1667,8637,1201,137928,2052,93498,1411,14966,1633,78532,1828,2152631,3095,326564,4140,3246,966,323318,4029,1493446,3663,43216,2666,1450230,4095,178667,1398,14288,2044,164379,2242,153954,1160,33404,2703,120550,2846,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,585263,1500,294238,1780,59085,1345,215,170,58870,1343,215078,1716,3882,750,211196,1836,13670,705,744,348,12926,711,6405,489,938,367,5467,574,291025,1333,57032,1004,311,354,56721,1098,211912,1410,4902,921,207010,1549,12732,630,1210,422,11522,764,9349,651,2215,516,7134,678,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,5353112,2692,2652373,3198,488324,3647,5858,1152,482466,3779,1833391,4074,30285,3022,1803106,5030,192897,1246,8669,1415,184228,1900,137761,1100,12405,1627,125356,1784,2700739,2374,461564,3483,3302,998,458262,3691,1834436,4195,36973,3344,1797463,5502,214327,1346,9491,1483,204836,1808,190412,1145,23878,1990,166534,2178,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2509749,2279,1216384,3102,208333,2776,3496,1466,204837,3252,851747,3173,25692,2845,826055,3858,95103,1317,6084,1013,89019,1441,61201,1053,10119,1222,51082,1478,1293365,2646,199551,2571,2238,1038,197313,2851,886477,2695,30251,2596,856226,3650,111721,1186,10293,1280,101428,1618,95616,792,17750,1639,77866,1864,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,32519278,5861,16051457,6675,3023266,8363,29646,2948,2993620,8982,11433111,9799,172114,7222,11260997,12330,894914,2596,44869,3590,850045,4327,700166,1690,82970,4383,617196,4361,16467821,4123,2888601,8950,19380,2999,2869221,9420,11473196,9456,212336,9021,11260860,12109,1047029,2656,73805,5043,973224,5700,1058995,1916,189026,7313,869969,7788,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,4209520,2453,2100210,3577,361930,3290,1967,698,359963,3246,1543958,3372,20409,2459,1523549,3937,116234,1465,3445,905,112789,1790,78088,1097,8131,1097,69957,1487,2109310,2739,351189,3375,1830,702,349359,3296,1509546,3490,25033,2349,1484513,4371,128662,1472,6838,1451,121824,2241,119913,1345,15927,1525,103986,1886,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,3179291,1237,1533577,1821,265727,2426,2201,702,263526,2478,1083900,2348,14389,2097,1069511,3192,94525,892,3444,695,91081,1036,89425,552,8672,1207,80753,1382,1645714,1325,255547,2278,2018,750,253529,2503,1131538,2943,19469,2434,1112069,3867,116756,760,5242,1122,111514,1386,141873,716,19013,2018,122860,2040,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,760844,915,366976,953,60428,912,929,361,59499,942,259566,1407,3883,866,255683,1613,27357,551,1066,437,26291,616,19625,527,2320,671,17305,684,393868,752,58355,1170,146,140,58209,1160,275704,1312,6466,1261,269238,1840,31199,518,1879,619,29320,759,28610,368,3405,668,25205,764,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,476235,659,222414,661,31751,621,192,162,31559,625,165999,999,3267,1158,162732,1524,13869,379,688,448,13181,565,10795,383,1338,447,9457,510,253821,578,32322,851,0,286,32322,851,183669,761,3718,953,179951,1127,18040,353,1398,438,16642,542,19790,448,3181,1036,16609,1140,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,16223530,5165,7859690,8230,1259321,6192,12477,2383,1246844,6504,5325666,7920,110728,5897,5214938,10408,693610,2342,28916,3108,664694,3774,581093,2510,56856,4009,524237,4579,8363840,6175,1203951,6010,8657,1459,1195294,6153,5553379,6540,126955,5511,5426424,8432,795650,2205,37163,2906,758487,3269,810860,2114,108998,5183,701862,5197,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
