GEO_ID,B16007_001E,B16007_001M,B16007_002E,B16007_002M,B16007_003E,B16007_003M,B16007_004E,B16007_004M,B16007_005E,B16007_005M,B16007_006E,B16007_006M,B16007_007E,B16007_007M,B16007_008E,B16007_008M,B16007_009E,B16007_009M,B16007_010E,B16007_010M,B16007_011E,B16007_011M,B16007_012E,B16007_012M,B16007_013E,B16007_013M,B16007_014E,B16007_014M,B16007_015E,B16007_015M,B16007_016E,B16007_016M,B16007_017E,B16007_017M,B16007_018E,B16007_018M,B16007_019E,B16007_019M,NAME,B16007_001MA,B16007_001EA,B16007_002MA,B16007_002EA,B16007_003EA,B16007_003MA,B16007_004EA,B16007_004MA,B16007_005EA,B16007_005MA,B16007_006EA,B16007_006MA,B16007_007MA,B16007_007EA,B16007_008MA,B16007_008EA,B16007_009EA,B16007_009MA,B16007_010EA,B16007_010MA,B16007_011EA,B16007_011MA,B16007_012MA,B16007_012EA,B16007_013MA,B16007_013EA,B16007_014EA,B16007_014MA,B16007_015EA,B16007_015MA,B16007_016EA,B16007_016MA,B16007_017EA,B16007_017MA,B16007_018MA,B16007_018EA,B16007_019MA,B16007_019EA,state
0400000US01,4150183,2206,793333,2586,758818,3872,23796,2704,5743,1731,3492,854,1484,869,2784166,2529,2655190,5762,73684,4106,29964,3766,17853,1756,7475,2838,572684,2434,563519,2236,2490,646,4965,1400,1336,489,374,324,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,592520,830,138294,944,121743,1842,3950,1149,1585,653,4311,1247,6705,806,412070,1033,356031,3080,11308,1457,8021,1801,16620,1323,20090,1892,42156,1002,34404,928,654,259,1086,397,2222,636,3790,463,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,5370067,1271,1114116,1466,788039,10207,282426,9635,12250,2129,9463,1687,21938,2877,3520554,1665,2485982,14790,798360,11044,74107,6073,58818,3091,103287,4946,735397,1442,625868,3446,69330,2155,21095,2132,6328,987,12776,1223,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2515066,2038,485969,2154,450810,3184,28498,2068,3562,1260,2253,691,846,627,1665456,2064,1559451,4580,76298,3910,13808,2304,13470,1906,2429,970,363641,1868,355493,2062,2526,726,4180,1047,843,452,599,541,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,32599457,3023,6975831,3014,3897744,25561,2402163,20972,201810,10331,424449,11099,49665,5818,21922522,3629,12389829,44116,6244353,33490,953145,26430,2142076,22789,193119,11603,3701104,2855,2520704,12772,545496,7090,223642,8817,383696,5886,27566,3544,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,4223659,1774,837578,1857,688649,6091,119091,5087,15104,2557,11427,1987,3307,1188,2943184,2098,2431065,11797,362728,9014,72633,5782,56315,3793,20443,2822,442897,1640,386203,2462,33655,1687,15443,1658,6132,779,1464,505,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,3183775,660,619914,1147,512166,5986,68910,3858,29372,3430,7847,1284,1619,1005,2121282,1372,1696935,10207,208251,4635,158121,8102,46710,3525,11265,1965,442579,1234,370372,4308,15817,1126,51251,4038,3338,804,1801,728,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,763189,304,140065,322,123391,1838,11696,1611,2481,886,1590,493,907,724,516333,715,452280,3274,33586,1985,17650,2729,8994,1309,3823,1360,106791,727,99552,917,1930,686,4216,829,712,340,381,237,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,477395,429,73816,435,64054,1208,7068,735,1092,570,1128,974,474,377,341085,615,281801,2730,32735,1882,14943,2180,6934,1537,4672,1421,62494,605,56725,786,2308,536,2169,639,744,413,548,316,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,16270161,3373,2934500,3741,2201683,15266,564273,11876,127821,9137,27978,3056,12745,2994,10454448,3732,7586331,21653,2102962,12795,544734,15208,161361,6630,59060,6348,2881213,3403,2353828,8537,345696,4354,148339,7355,19587,2256,13763,2198,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,8125787,3431,1657320,3222,1473353,6569,122325,4521,31779,3332,23515,2464,6348,2026,5656964,4434,4938789,12693,417465,9192,155065,8354,109268,5370,36377,4466,811503,3754,772191,3889,13499,2019,16660,2352,8497,1162,656,421,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
