GEO_ID,B18011_001E,B18011_001M,B18011_002E,B18011_002M,B18011_003E,B18011_003M,B18011_004E,B18011_004M,B18011_005E,B18011_005M,B18011_006E,B18011_006M,B18011_007E,B18011_007M,B18011_008E,B18011_008M,B18011_009E,B18011_009M,B18011_010E,B18011_010M,B18011_011E,B18011_011M,B18011_012E,B18011_012M,B18011_013E,B18011_013M,B18011_014E,B18011_014M,B18011_015E,B18011_015M,B18011_016E,B18011_016M,B18011_017E,B18011_017M,B18011_018E,B18011_018M,B18011_019E,B18011_019M,B18011_020E,B18011_020M,B18011_021E,B18011_021M,B18011_022E,B18011_022M,B18011_023E,B18011_023M,B18011_024E,B18011_024M,B18011_025E,B18011_025M,B18011_026E,B18011_026M,B18011_027E,B18011_027M,B18011_028E,B18011_028M,B18011_029E,B18011_029M,B18011_030E,B18011_030M,B18011_031E,B18011_031M,B18011_032E,B18011_032M,B18011_033E,B18011_033M,B18011_034E,B18011_034M,B18011_035E,B18011_035M,B18011_036E,B18011_036M,B18011_037E,B18011_037M,B18011_038E,B18011_038M,B18011_039E,B18011_039M,NAME,B18011_001MA,B18011_001EA,B18011_002EA,B18011_002MA,B18011_003EA,B18011_003MA,B18011_004EA,B18011_004MA,B18011_005MA,B18011_005EA,B18011_006MA,B18011_006EA,B18011_007EA,B18011_007MA,B18011_008EA,B18011_008MA,B18011_009EA,B18011_009MA,B18011_010MA,B18011_010EA,B18011_011MA,B18011_011EA,B18011_012EA,B18011_012MA,B18011_013EA,B18011_013MA,B18011_014EA,B18011_014MA,B18011_015MA,B18011_015EA,B18011_016MA,B18011_016EA,B18011_017MA,B18011_017EA,B18011_018EA,B18011_018MA,B18011_019EA,B18011_019MA,B18011_020MA,B18011_020EA,B18011_021MA,B18011_021EA,B18011_022MA,B18011_022EA,B18011_023MA,B18011_023EA,B18011_024MA,B18011_024EA,B18011_025MA,B18011_025EA,B18011_026EA,B18011_026MA,B18011_027MA,B18011_027EA,B18011_028MA,B18011_028EA,B18011_029MA,B18011_029EA,B18011_030MA,B18011_030EA,B18011_031EA,B18011_031MA,B18011_032EA,B18011_032MA,B18011_033MA,B18011_033EA,B18011_034MA,B18011_034EA,B18011_035MA,B18011_035EA,B18011_036MA,B18011_036EA,B18011_037EA,B18011_037MA,B18011_038EA,B18011_038MA,B18011_039MA,B18011_039EA,state
0400000US01,989923,5026,25159,2263,13850,2061,2483,1110,704,448,1779,1054,11367,1871,4105,1284,4811,1202,2026,901,425,303,11309,1719,1997,860,538,347,1459,720,9312,1484,2855,956,3145,1067,2409,905,903,397,964764,5477,471912,3706,106319,4757,21458,2145,84861,4672,365593,5805,84386,5182,136546,6814,90799,4850,53862,3460,492852,3398,132641,5267,21815,2634,110826,4875,360211,6197,62289,4483,122682,4467,101931,4933,73309,3999,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,138421,1810,2281,604,1308,532,49,89,49,89,0,233,1259,534,298,335,737,342,224,206,0,233,973,433,122,118,90,107,32,60,851,385,104,109,294,231,306,254,147,120,136140,1871,67369,1541,15327,1704,6328,984,8999,1500,52042,1993,6077,1171,26194,2136,14192,2055,5579,1013,68771,997,16455,1870,3946,867,12509,1637,52316,1853,6283,1531,19021,1646,17019,1495,9993,1289,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1376250,3156,21291,2993,11485,2348,2294,1014,1021,645,1273,778,9191,2027,1833,818,4185,1209,2090,706,1083,1104,9806,2171,2120,958,477,395,1643,758,7686,1893,1200,705,3129,1181,2096,894,1261,1139,1354959,4241,692457,3182,149851,5937,30554,3218,119297,5773,542606,6543,131329,5879,192020,7117,136994,6839,82263,4314,662502,2690,173773,6824,27960,3025,145813,6537,488729,6980,92902,5690,161507,6924,140886,6786,93434,4935,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,601456,4266,16440,2121,8581,1564,1660,699,700,487,960,535,6921,1412,2348,895,2890,871,1302,638,381,328,7859,1447,1351,636,662,494,689,380,6508,1357,1437,707,2640,884,1377,669,1054,585,585016,5086,290111,3308,61937,3389,16246,2111,45691,3386,228174,4560,44881,3851,97674,4461,54791,3702,30828,2928,294905,3442,74042,3983,10684,1400,63358,3832,220863,4652,35564,2616,87456,4376,58188,3939,39655,2792,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,8280110,7277,109323,7114,62220,5752,14585,2942,3189,1008,11396,2840,47635,4455,14553,2660,19152,3309,10383,1743,3547,1287,47103,4145,13160,2479,3019,1594,10141,1938,33943,3344,11298,1939,9834,1760,8946,2252,3865,1074,8170787,9868,4135895,8272,1057437,17422,175609,7679,881828,16765,3078458,16991,788617,18620,979961,20581,686397,14090,623483,14414,4034892,5387,1201298,18728,163475,7995,1037823,17332,2833594,18316,598253,15337,784225,16462,733477,14281,717639,11566,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1120749,3806,19569,2537,14064,2059,2818,1040,773,463,2045,967,11246,1853,2635,871,4342,1337,2548,1032,1721,926,5505,1421,1526,666,493,335,1033,589,3979,1058,1088,599,1340,611,951,591,600,356,1101180,4642,563812,3668,130580,5713,23052,2231,107528,5577,433232,6492,82838,4828,130201,7255,108907,6393,111286,5668,537368,2884,138833,4904,21429,2729,117404,4971,398535,5259,59040,4433,104921,5375,105658,5329,128916,5029,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,651205,1909,10057,1915,5355,1197,1476,602,406,421,1070,481,3879,1051,607,357,1983,766,740,481,549,382,4702,1337,759,338,187,164,572,320,3943,1329,143,176,1946,1222,905,470,949,559,641148,2583,318886,1940,78404,3992,14302,1967,64102,3908,240482,4316,33153,3648,93029,5113,51250,3733,63050,3659,322262,1848,94614,3971,14932,1570,79682,4031,227648,4003,24323,2969,66312,3805,53099,3680,83914,3545,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,178206,1196,3685,1070,1758,717,217,213,125,134,92,155,1541,740,366,402,675,476,386,356,114,129,1927,849,126,136,0,262,126,136,1801,857,545,446,635,474,372,313,249,332,174521,1613,85700,1084,18298,2014,3987,805,14311,2026,67402,2247,14441,1912,23935,2721,13211,1865,15815,1732,88821,1203,23553,2395,3832,1009,19721,2205,65268,2605,8821,1464,24024,2238,14650,1832,17773,1547,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,136787,565,1623,657,723,454,148,205,0,286,148,205,575,423,116,170,174,282,169,193,116,200,900,466,199,202,0,286,199,202,701,429,115,139,331,317,129,150,126,160,135164,866,63705,713,13622,1483,2612,814,11010,1424,50083,1560,8182,1710,9611,1721,7421,1399,24869,1800,71459,493,16583,1938,793,353,15790,1950,54876,1958,5079,1345,13472,1956,6931,1240,29394,2102,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,3540211,7309,46514,4384,25320,2941,4916,1313,1333,690,3583,1212,20404,2496,6113,1455,7807,2016,4941,1413,1543,761,21194,2901,4024,1074,823,485,3201,1021,17170,2531,4394,1253,6293,1381,4512,1371,1971,776,3493697,8107,1738389,5338,406233,9720,87965,4975,318268,9005,1332156,11490,272658,9661,513319,13923,320253,12276,225926,9403,1755308,5541,487947,10656,77671,4397,410276,9524,1267361,10725,192937,9252,430049,9583,354834,10452,289541,7664,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
