GEO_ID,C14003_001E,C14003_001M,C14003_002E,C14003_002M,C14003_003E,C14003_003M,C14003_004E,C14003_004M,C14003_005E,C14003_005M,C14003_006E,C14003_006M,C14003_007E,C14003_007M,C14003_008E,C14003_008M,C14003_009E,C14003_009M,C14003_010E,C14003_010M,C14003_011E,C14003_011M,C14003_012E,C14003_012M,C14003_013E,C14003_013M,C14003_014E,C14003_014M,C14003_015E,C14003_015M,C14003_016E,C14003_016M,C14003_017E,C14003_017M,C14003_018E,C14003_018M,C14003_019E,C14003_019M,C14003_020E,C14003_020M,C14003_021E,C14003_021M,C14003_022E,C14003_022M,C14003_023E,C14003_023M,C14003_024E,C14003_024M,C14003_025E,C14003_025M,C14003_026E,C14003_026M,C14003_027E,C14003_027M,C14003_028E,C14003_028M,NAME,C14003_001MA,C14003_001EA,C14003_002MA,C14003_002EA,C14003_003MA,C14003_003EA,C14003_004EA,C14003_004MA,C14003_005EA,C14003_005MA,C14003_006MA,C14003_006EA,C14003_007MA,C14003_007EA,C14003_008MA,C14003_008EA,C14003_009EA,C14003_009MA,C14003_010EA,C14003_010MA,C14003_011EA,C14003_011MA,C14003_012MA,C14003_012EA,C14003_013MA,C14003_013EA,C14003_014MA,C14003_014EA,C14003_015EA,C14003_015MA,C14003_016EA,C14003_016MA,C14003_017EA,C14003_017MA,C14003_018MA,C14003_018EA,C14003_019MA,C14003_019EA,C14003_020EA,C14003_020MA,C14003_021EA,C14003_021MA,C14003_022EA,C14003_022MA,C14003_023MA,C14003_023EA,C14003_024MA,C14003_024EA,C14003_025MA,C14003_025EA,C14003_026EA,C14003_026MA,C14003_027EA,C14003_027MA,C14003_028EA,C14003_028MA,state
0400000US01,4272024,4428,948446,11500,26741,2609,230018,7196,277797,8242,153705,3391,65479,3103,91343,4708,58621,3913,44742,3607,159004,6675,25069,2122,42438,3301,32994,3354,20120,2266,7173,1518,10549,1790,11864,2217,8797,1398,3164574,9887,70031,4252,17950,2772,7252,1672,11059,1801,37592,3084,200080,5678,513206,7169,2307404,5859,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,612449,1478,165462,4281,4649,737,41533,2406,48571,2589,28905,1179,11605,1390,9924,1453,7958,1335,12317,1733,21381,2954,3694,871,6047,1584,3633,898,2392,890,964,459,1308,557,1304,641,2039,753,425606,3557,11586,1300,4036,955,1408,405,1769,638,8327,1463,34489,2034,67016,2720,296975,2480,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,5556247,6475,1385367,14915,36427,3919,366965,9984,396159,9787,222114,3056,86879,4904,116935,5479,84173,5930,75715,4184,169551,8220,27298,2475,35827,3631,25280,3592,12828,1916,6405,1273,15393,2809,20940,2667,25580,2650,4001329,13514,122455,6884,29019,3650,10174,2214,15750,2872,53193,4361,273791,6698,729715,6690,2767232,5535,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2591202,3905,603108,7836,19805,2265,153968,4395,170837,4833,103587,2364,44216,3189,47157,3664,34096,3120,29442,2733,70445,4994,12724,1643,18152,2347,12380,1467,6157,1022,2374,685,6764,1499,5223,1347,6671,1529,1917649,7964,43607,3420,10769,1569,3830,997,6289,1417,25749,2439,125595,4861,313256,4981,1388554,5507,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,33703118,14529,8863043,38301,288394,10580,2160566,21433,2502911,24085,1430692,8364,569548,9440,824762,15800,548228,17280,537942,14098,1418558,23141,226208,7053,300967,10760,245713,9265,120567,6566,59786,4629,136753,7837,156770,7189,171794,6578,23421517,35313,589059,12492,110714,6734,43745,4293,59956,5412,284084,9067,1449652,14728,4305505,18271,16578802,16654,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,4363063,5065,1037036,11452,30541,3319,254184,6601,299054,7488,169050,2788,65753,3333,94432,5146,68309,4145,55713,3832,166079,6921,26587,2407,37044,2958,24500,2312,11572,1707,7726,1611,18340,2754,20602,2503,19708,2047,3159948,11206,82276,4686,24476,3774,7707,1730,9991,1827,34875,3078,200182,6377,618279,5762,2182162,5822,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,3273182,3596,721780,9533,25960,2883,189384,5631,220190,5684,131550,2214,40311,2674,47323,3221,30498,2850,36564,2814,167062,8426,28052,2692,23722,2360,23088,2785,13932,1536,13283,1829,26871,2682,17615,2524,20499,2922,2384340,8346,35395,3560,8724,1733,4874,1172,4450,1255,20152,2505,115356,3503,342009,3880,1853380,3881,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,786350,1406,154975,4817,5401,1310,35561,2827,45073,2639,27701,1175,9963,1205,13478,1845,9691,1618,8107,1455,44607,3882,5647,951,13611,2211,7859,1290,3990,886,1811,514,4263,1116,3388,840,4038,885,586768,4450,12113,1461,2914,849,1502,652,1854,670,5655,1292,36875,2295,94464,2048,431391,1799,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,492453,1362,79899,2653,5029,1271,22613,1960,24502,1942,12145,965,2585,688,3209,1084,5277,1250,4539,1041,40440,3191,2680,642,3659,930,5551,1069,2857,663,817,405,7506,1522,11289,1747,6081,1226,372114,3502,7349,1360,1474,691,509,348,506,314,2347,673,15183,1467,89040,2069,255706,1705,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,16726000,10362,3478235,24136,95104,6271,846775,14759,995722,14320,602398,6661,238130,7354,312612,9113,188405,7524,199089,7664,749816,18520,128632,7177,162827,8873,137129,7158,63204,4305,30953,3094,72211,5417,67153,4860,87707,5629,12497949,23039,232103,8741,64543,6495,22436,3416,39466,3986,141114,6737,689859,10004,1828817,9910,9479611,11427,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
