GEO_ID,B07003_001E,B07003_001M,B07003_002E,B07003_002M,B07003_003E,B07003_003M,B07003_004E,B07003_004M,B07003_005E,B07003_005M,B07003_006E,B07003_006M,B07003_007E,B07003_007M,B07003_008E,B07003_008M,B07003_009E,B07003_009M,B07003_010E,B07003_010M,B07003_011E,B07003_011M,B07003_012E,B07003_012M,B07003_013E,B07003_013M,B07003_014E,B07003_014M,B07003_015E,B07003_015M,B07003_016E,B07003_016M,B07003_017E,B07003_017M,B07003_018E,B07003_018M,NAME,B07003_001EA,B07003_001MA,B07003_002EA,B07003_002MA,B07003_003EA,B07003_003MA,B07003_004EA,B07003_004MA,B07003_005MA,B07003_005EA,B07003_006MA,B07003_006EA,B07003_007EA,B07003_007MA,B07003_008EA,B07003_008MA,B07003_009EA,B07003_009MA,B07003_010EA,B07003_010MA,B07003_011MA,B07003_011EA,B07003_012EA,B07003_012MA,B07003_013EA,B07003_013MA,B07003_014EA,B07003_014MA,B07003_015EA,B07003_015MA,B07003_016EA,B07003_016MA,B07003_017EA,B07003_017MA,B07003_018MA,B07003_018EA,state
0400000US01,4382929,3309,2112647,4870,2270282,3888,3673983,22676,1766903,12457,1907080,13381,451470,19724,216645,11532,234825,11140,128883,8982,63018,5424,65865,5593,111614,8215,56857,5392,54757,4718,16979,2880,9224,1995,7755,1895,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,633154,1385,320475,2204,312679,1851,514915,6718,259530,3958,255385,4338,66409,6312,34085,3750,32324,3530,17741,3327,9045,1935,8696,1725,31114,4651,15748,2620,15366,2528,2975,971,2067,793,908,437,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,5735387,5497,2856985,4430,2878402,5103,4475108,26553,2204189,16253,2270919,14877,821952,26040,421612,13818,400340,15255,95234,8554,49525,5186,45709,4955,288960,14380,149251,8641,139709,7548,54133,7210,32408,5306,21725,3660,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2663996,2606,1295463,3847,1368533,3340,2169630,18166,1047892,11339,1121738,9562,299632,15009,148132,8944,151500,8012,90732,6905,44049,4323,46683,4052,96839,8154,51118,4664,45721,4656,7163,2118,4272,1312,2891,1020,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,34737860,11738,17223250,10398,17514610,8981,29082579,78608,14361292,44973,14721287,44653,3872832,65514,1948646,37417,1924186,35776,1031754,36723,517506,18017,514248,22244,448718,18711,235334,11678,213384,10068,301977,18251,160472,12025,141505,9252,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,4488337,4431,2246676,4420,2241661,4370,3577819,22670,1780723,13297,1797096,13932,478528,17633,241741,9932,236787,10803,227968,14980,116534,8559,111434,8270,169127,10101,88812,6093,80315,5655,34895,5251,18866,3278,16029,3121,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,3355752,2997,1626819,2325,1728933,2824,2956992,16904,1426430,10304,1530562,8945,249513,14429,125885,8229,123628,7696,49659,5110,25819,2893,23840,3313,78657,8322,38982,5216,39675,4308,20931,3402,9703,2144,11228,1837,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,810257,1224,392285,1504,417972,1261,679217,8636,328255,4955,350962,5572,84584,7371,41145,4006,43439,4559,5851,1538,2605,747,3246,974,35000,4813,16708,2763,18292,2786,5605,1809,3572,1365,2033,738,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,505886,1418,237594,1359,268292,1203,411982,7089,190173,4287,221809,4132,50118,5594,24198,2998,25920,3474,0,286,0,286,0,286,37309,4222,19885,3046,17424,2104,6477,1458,3338,1033,3139,963,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,17158854,7020,8349811,8476,8809043,7384,13963889,45934,6739360,28420,7224529,24624,1879347,44194,939809,24759,939538,23789,535903,22106,264572,12733,271331,12299,632168,21138,326011,12429,306157,11730,147547,11545,80059,7002,67488,6745,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,8679357,6848,4249205,7818,4430152,7838,7088776,37768,3443967,21822,3644809,22974,807484,24175,403952,13358,403532,14825,419855,19283,212488,11544,207367,11225,313631,16927,159362,9782,154269,9682,49611,5353,29436,3436,20175,2781,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,1218994,2163,600955,2207,618039,1644,1039329,9398,508417,5917,530912,5483,110280,8373,58308,5105,51972,4552,6444,2046,3115,1065,3329,1275,49063,5862,25013,3233,24050,3423,13878,2610,6102,1253,7776,1825,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,1374543,1841,684763,2554,689780,2439,1094117,12459,543250,7580,550867,6892,156957,9894,77552,6301,79405,4842,48485,5898,26468,3981,22017,2523,68337,6508,33716,3718,34621,3707,6647,1885,3777,1200,2870,959,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,12261017,7082,6000545,6172,6260472,6991,10465211,39113,5091117,23808,5374094,20202,1195886,32552,593386,19508,602500,17284,323958,15536,165894,10257,158064,7341,208876,12645,112548,7619,96328,6880,67086,8066,37600,5612,29486,3909,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,6014568,4276,2950958,4910,3063610,4233,5069930,25589,2481342,14376,2588588,14839,609587,20846,301707,11243,307880,11548,183634,11240,90523,5759,93111,6950,128798,8121,64509,5404,64289,4167,22619,3578,12877,2222,9742,1819,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,2825895,2466,1390532,2800,1435363,3035,2386325,14240,1173297,8169,1213028,8268,264516,11628,128714,6380,135802,6809,87471,6177,44812,3805,42659,3562,80510,7097,39922,4041,40588,4131,7073,1358,3787,661,3286,1090,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
