GEO_ID,B21003_001E,B21003_001M,B21003_002E,B21003_002M,B21003_003E,B21003_003M,B21003_004E,B21003_004M,B21003_005E,B21003_005M,B21003_006E,B21003_006M,B21003_007E,B21003_007M,B21003_008E,B21003_008M,B21003_009E,B21003_009M,B21003_010E,B21003_010M,B21003_011E,B21003_011M,NAME,B21003_001MA,B21003_001EA,B21003_002MA,B21003_002EA,B21003_003EA,B21003_003MA,B21003_004MA,B21003_004EA,B21003_005EA,B21003_005MA,B21003_006EA,B21003_006MA,B21003_007MA,B21003_007EA,B21003_008MA,B21003_008EA,B21003_009MA,B21003_009EA,B21003_010MA,B21003_010EA,B21003_011EA,B21003_011MA,state
0400000US01,2933930,5075,396968,8608,48672,4091,117432,4004,140227,5497,90637,4554,2536962,8865,532144,13216,823015,15710,646369,11413,535434,13230,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,382001,1840,71266,3326,4517,964,19258,1934,29008,2450,18483,1862,310735,3507,30217,2230,92037,3903,103540,4019,84941,3779,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,3690456,3677,528459,9664,43813,3316,123040,5916,209724,7058,151882,5574,3161997,10044,554719,12808,824026,14843,993157,15333,790095,14577,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,1772970,3983,253426,6410,33555,1959,90761,4843,80527,3666,48583,3232,1519544,6878,303979,8807,540193,10198,389787,9447,285585,8368,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,22238823,6743,2150540,21066,167184,6320,459736,11434,853534,15667,670086,13239,20088283,20703,4274656,41554,4395876,37088,5523119,40453,5894632,36088,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,2952895,3585,396023,7926,25597,2376,95250,4671,142943,5217,132233,5573,2556872,8699,310146,10561,609986,14926,723034,11748,913706,12217,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2296948,1858,258408,5654,29115,2558,84646,4134,69564,3284,75083,3953,2038540,5931,249312,9356,590182,11512,472094,9495,726952,12011,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,549280,1180,77663,3441,10802,1285,26658,2239,21125,1916,19078,2091,471617,3418,68525,4041,154894,5936,115981,5080,132217,5290,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,370772,845,31694,2366,3431,733,8988,1380,7418,1463,11857,1325,339078,2642,57648,3678,69176,3899,56730,3029,155524,4838,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,11814846,7061,1694365,15528,156328,6345,483592,12170,583836,11775,470609,9675,10120481,16867,1669173,22742,3130614,33931,2828069,29927,2492625,28039,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,5606631,8288,718107,11973,71451,3956,208630,7064,252188,8300,185838,7753,4888524,15834,898948,19007,1457184,21335,1197756,20174,1334636,23617,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,811982,2873,112438,4074,7575,1063,35180,2755,37750,3259,31933,2637,699544,4695,91384,4588,215110,7601,200168,5937,192882,5448,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
