C18003_020M,C18003_021E,C18003_021M,C18003_022E,C18003_022M,C18003_023E,C18003_023M,C18003_024E,C18003_024M,C18003_025E,C18003_025M,C18003_026E,C18003_026M,C18003_027E,C18003_027M,GEO_ID,C18003_001E,C18003_001M,C18003_002E,C18003_002M,C18003_003E,C18003_003M,C18003_004E,C18003_004M,C18003_005E,C18003_005M,C18003_006E,C18003_006M,C18003_007E,C18003_007M,C18003_008E,C18003_008M,C18003_009E,C18003_009M,C18003_010E,C18003_010M,C18003_011E,C18003_011M,C18003_012E,C18003_012M,C18003_013E,C18003_013M,C18003_014E,C18003_014M,C18003_015E,C18003_015M,C18003_016E,C18003_016M,C18003_017E,C18003_017M,C18003_018E,C18003_018M,C18003_019E,C18003_019M,C18003_020E,C18003_020MA,C18003_021MA,C18003_021EA,C18003_022MA,C18003_022EA,C18003_023MA,C18003_023EA,C18003_024EA,C18003_024MA,C18003_025EA,C18003_025MA,C18003_026MA,C18003_026EA,C18003_027MA,C18003_027EA,NAME,C18003_001MA,C18003_001EA,C18003_002EA,C18003_002MA,C18003_003EA,C18003_003MA,C18003_004MA,C18003_004EA,C18003_005MA,C18003_005EA,C18003_006MA,C18003_006EA,C18003_007MA,C18003_007EA,C18003_008EA,C18003_008MA,C18003_009EA,C18003_009MA,C18003_010MA,C18003_010EA,C18003_011MA,C18003_011EA,C18003_012MA,C18003_012EA,C18003_013EA,C18003_013MA,C18003_014EA,C18003_014MA,C18003_015MA,C18003_015EA,C18003_016MA,C18003_016EA,C18003_017MA,C18003_017EA,C18003_018MA,C18003_018EA,C18003_019EA,C18003_019MA,C18003_020EA,state
3998,1438247,5349,178667,1398,21368,2008,157299,2437,153954,1160,39907,2803,114047,2967,0400000US01,4138008,2743,1985377,3577,344584,3584,7048,1516,337536,3701,1400730,3580,73654,4825,1327076,6366,146565,1667,23112,1945,123453,2183,93498,1411,29069,1981,64429,1963,2152631,3095,326564,4140,5058,1301,321506,4007,1493446,3663,55199,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
1083,205507,1598,12732,630,1745,402,10987,698,9349,651,3294,689,6055,569,0400000US02,585263,1500,294238,1780,59085,1345,841,345,58244,1437,215078,1716,11566,1574,203512,2429,13670,705,3114,632,10556,995,6405,489,2173,495,4232,572,291025,1333,57032,1004,538,335,56494,1055,211912,1410,6405,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
3476,1792375,5666,214327,1346,15683,2053,198644,2088,190412,1145,40271,2377,150141,2618,0400000US04,5353112,2692,2652373,3198,488324,3647,6786,1497,481538,3664,1833391,4074,63587,5052,1769804,6099,192897,1246,22612,1831,170285,1965,137761,1100,35681,2839,102080,2813,2700739,2374,461564,3483,4570,1136,456994,3644,1834436,4195,42061,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
3037,853450,4362,111721,1186,13334,1373,98387,1585,95616,792,25610,1862,70006,1967,0400000US05,2509749,2279,1216384,3102,208333,2776,4095,1424,204238,3297,851747,3173,47863,3335,803884,4183,95103,1317,18756,1797,76347,2246,61201,1053,19337,1672,41864,1858,1293365,2646,199551,2571,4019,1007,195532,2609,886477,2695,33027,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
8798,11249374,11967,1047029,2656,83993,4570,963036,5072,1058995,1916,236095,7701,822900,7761,0400000US06,32519278,5861,16051457,6675,3023266,8363,41623,3809,2981643,8187,11433111,9799,294797,11494,11138314,14290,894914,2596,104950,5211,789964,5464,700166,1690,172436,7107,527730,7002,16467821,4123,2888601,8950,29513,3316,2859088,9468,11473196,9456,223822,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
2951,1480692,4525,128662,1472,11180,1574,117482,2236,119913,1345,28136,2098,91777,2317,0400000US08,4209520,2453,2100210,3577,361930,3290,3009,1073,358921,3473,1543958,3372,50682,3920,1493276,4878,116234,1465,12377,1125,103857,1976,78088,1097,20544,1650,57544,1824,2109310,2739,351189,3375,4303,1108,346886,3301,1509546,3490,28854,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
2764,1107754,3622,116756,760,8226,1459,108530,1627,141873,716,27168,1937,114705,2007,0400000US09,3179291,1237,1533577,1821,265727,2426,2560,726,263167,2472,1083900,2348,26619,2860,1057281,3772,94525,892,8860,1268,85665,1317,89425,552,18106,1782,71319,1824,1645714,1325,255547,2278,2937,1488,252610,2850,1131538,2943,23784,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
1341,269791,1892,31199,518,2654,659,28545,735,28610,368,5080,974,23530,938,0400000US10,760844,915,366976,953,60428,912,1206,504,59222,941,259566,1407,7305,1103,252261,1591,27357,551,2953,755,24404,925,19625,527,4216,813,15409,898,393868,752,58355,1170,1101,593,57254,1326,275704,1312,5913,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
1048,179352,1025,18040,353,923,457,17117,586,19790,448,3871,986,15919,1041,0400000US11,476235,659,222414,661,31751,621,297,252,31454,696,165999,999,3920,1070,162079,1539,13869,379,1369,595,12500,567,10795,383,1874,538,8921,563,253821,578,32322,851,124,148,32198,863,183669,761,4317,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
6493,5425175,9895,795650,2205,54011,3195,741639,3920,810860,2114,162361,5846,648499,6216,0400000US12,16223530,5165,7859690,8230,1259321,6192,15233,2630,1244088,6444,5325666,7920,167792,6630,5157874,10460,693610,2342,76037,4397,617573,4854,581093,2510,145054,5078,436039,5747,8363840,6175,1203951,6010,15152,2436,1188799,6604,5553379,6540,128204,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
