GEO_ID,B20003_001E,B20003_001M,B20003_002E,B20003_002M,B20003_003E,B20003_003M,B20003_004E,B20003_004M,B20003_005E,B20003_005M,B20003_006E,B20003_006M,B20003_007E,B20003_007M,NAME,B20003_001MA,B20003_001EA,B20003_002EA,B20003_002MA,B20003_003EA,B20003_003MA,B20003_004MA,B20003_004EA,B20003_005MA,B20003_005EA,B20003_006MA,B20003_006EA,B20003_007EA,B20003_007MA,state
0400000US44,22967950300,475957045,14321791000,449169975,11409922200,410783230,2911868700,303341760,8646159300,228172973,5735800600,225330385,2910358700,155676654,Rhode Island,null,null,null,null,null,null,null,null,null,null,null,null,null,null,44
0400000US45,70240419500,929754992,44641121100,830079479,36795294200,820536056,7845826900,382296088,25599298400,420199172,18173277400,434534063,7426021000,243461484,South Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,45
0400000US46,13388917800,393456721,8636289800,333689025,6997451500,332618773,1638838300,170618162,4752628000,165227425,3379910800,180307854,1372717200,76630659,South Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,46
0400000US47,104526843000,1142242302,67585398200,879469342,55634013000,850667767,11951385300,461613792,36941444800,636400999,26043161300,561592130,10898283500,308363262,Tennessee,null,null,null,null,null,null,null,null,null,null,null,null,null,null,47
0400000US48,417016301400,2532299665,275515939200,2365767011,225762822500,2410785761,49753116700,1035439419,141500362200,1244380706,101375664800,1192920248,40124697400,625764717,Texas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,48
0400000US49,42353688400,604560834,29720816800,547036084,23736055700,535197043,5984761100,348256177,12632871600,254173562,8110159900,253374202,4522711700,162593189,Utah,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49
0400000US50,12230252000,287033137,7542706700,220974125,5941600900,200865606,1601105800,172578904,4687545300,142213475,3210680600,124621562,1476864700,83890772,Vermont,null,null,null,null,null,null,null,null,null,null,null,null,null,null,50
0400000US51,177652416300,1739574546,113212828500,1381987522,95604039400,1368502820,17608789100,654348809,64439587700,694849479,47751141200,683582012,16688446500,421329575,Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,51
0400000US53,133029593200,1607510005,86422025600,1411862136,66939542800,1404372635,19482482800,697508910,46607567600,665127445,30753712800,625891165,15853854800,360720882,Washington,null,null,null,null,null,null,null,null,null,null,null,null,null,null,53
0400000US54,25508625200,555947105,16728971500,491354853,13511441400,458946842,3217530100,208264632,8779653700,278040816,6090069000,222608567,2689584800,154137422,West Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,54
0400000US55,109232680800,944664372,69535330200,844327174,56174719100,861263016,13360611100,385161420,39697350600,444857015,27188897700,454015587,12508452900,328893523,Wisconsin,null,null,null,null,null,null,null,null,null,null,null,null,null,null,55
0400000US56,9672139900,266881366,6587151600,188172694,5129244100,204925686,1457907500,131108878,3084988300,160075607,2003415200,136307488,1081573000,92110490,Wyoming,null,null,null,null,null,null,null,null,null,null,null,null,null,null,56
0400000US72,28697411500,545157601,17450925000,450756220,14248197900,441587312,3202727100,148516981,11246486500,264567154,8485794000,264506978,2760692500,112171622,Puerto Rico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,72
