GEO_ID,B25096_001E,B25096_001M,B25096_002E,B25096_002M,B25096_003E,B25096_003M,B25096_004E,B25096_004M,B25096_005E,B25096_005M,B25096_006E,B25096_006M,B25096_007E,B25096_007M,B25096_008E,B25096_008M,B25096_009E,B25096_009M,B25096_010E,B25096_010M,B25096_011E,B25096_011M,B25096_012E,B25096_012M,B25096_013E,B25096_013M,B25096_014E,B25096_014M,B25096_015E,B25096_015M,B25096_016E,B25096_016M,B25096_017E,B25096_017M,NAME,B25096_001EA,B25096_001MA,B25096_002MA,B25096_002EA,B25096_003MA,B25096_003EA,B25096_004MA,B25096_004EA,B25096_005MA,B25096_005EA,B25096_006EA,B25096_006MA,B25096_007EA,B25096_007MA,B25096_008MA,B25096_008EA,B25096_009MA,B25096_009EA,B25096_010EA,B25096_010MA,B25096_011EA,B25096_011MA,B25096_012EA,B25096_012MA,B25096_013EA,B25096_013MA,B25096_014MA,B25096_014EA,B25096_015MA,B25096_015EA,B25096_016MA,B25096_016EA,B25096_017EA,B25096_017MA,state
0400000US01,1261475,13183,763484,12694,105870,6063,244594,7805,166559,5781,107254,4759,78314,4294,43438,3022,17455,1946,497991,8961,141963,5903,156509,4703,84304,3976,51713,3363,33441,2763,18245,1556,11816,1482,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,147019,3283,104525,3187,3059,706,6434,1126,14505,1473,24099,2174,34624,2409,17590,1758,4214,815,42494,2205,8113,996,5974,1013,5829,795,7114,1126,9088,1204,4578,762,1798,626,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1502457,13503,1065145,13204,31536,2960,92558,4384,197487,8385,194289,7544,240907,7445,199914,6431,108454,4514,437312,8419,89386,4720,78497,4727,70427,4025,64267,3631,61705,3830,46720,3040,26310,1912,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,736825,11065,432085,9252,75294,4367,151815,5552,94099,3884,50008,3187,35761,2952,18207,2058,6901,1239,304740,6694,91862,4402,109174,4597,47661,2779,25869,2256,17212,1995,8567,1308,4395,1339,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,7070138,36338,5371404,34180,56983,3816,103780,5301,117439,5885,178665,7681,544525,13202,1729909,23371,2640103,26215,1698734,14717,144356,6276,119430,5369,83378,4150,89979,4338,190221,6823,424002,9174,647368,10671,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1233695,10904,944408,9968,20272,2308,41765,3137,105119,5243,185639,6110,305267,7803,202483,5615,83863,4000,289287,6657,32480,2656,27635,1879,36558,2476,53309,3231,65861,3199,47044,2532,26400,2023,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,919943,9808,659870,9679,3084,944,15779,2113,56985,4141,97594,4418,174034,6108,186773,5482,125621,4684,260073,5398,7373,1218,12323,1508,31417,2410,44482,2669,65020,3333,59846,3430,39612,2536,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,229860,4042,159799,3920,4832,1136,13077,1542,23181,2215,30217,2196,41588,2295,37669,2361,9235,1198,70061,2788,11960,1676,8626,1117,9004,1237,11273,1598,14708,1624,9723,1127,4767,868,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,105518,3324,79491,2672,544,261,1108,480,4397,988,5955,1068,13118,1474,24949,2206,29420,1747,26027,2018,303,224,986,372,2152,523,3871,1048,5360,959,5856,1174,7499,1075,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,4903949,29804,3213520,24943,94435,5283,350340,10209,514575,12415,569968,11614,713156,10920,644109,12752,326937,9054,1690429,16973,266548,7175,322073,7951,259821,8677,224211,5761,246714,6789,222422,6864,148640,5592,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
