GEO_ID,B11003_001E,B11003_001M,B11003_002E,B11003_002M,B11003_003E,B11003_003M,B11003_004E,B11003_004M,B11003_005E,B11003_005M,B11003_006E,B11003_006M,B11003_007E,B11003_007M,B11003_008E,B11003_008M,B11003_009E,B11003_009M,B11003_010E,B11003_010M,B11003_011E,B11003_011M,B11003_012E,B11003_012M,B11003_013E,B11003_013M,B11003_014E,B11003_014M,B11003_015E,B11003_015M,B11003_016E,B11003_016M,B11003_017E,B11003_017M,B11003_018E,B11003_018M,B11003_019E,B11003_019M,B11003_020E,B11003_020M,NAME,B11003_001MA,B11003_001EA,B11003_002EA,B11003_002MA,B11003_003MA,B11003_003EA,B11003_004MA,B11003_004EA,B11003_005EA,B11003_005MA,B11003_006EA,B11003_006MA,B11003_007MA,B11003_007EA,B11003_008MA,B11003_008EA,B11003_009MA,B11003_009EA,B11003_010EA,B11003_010MA,B11003_011EA,B11003_011MA,B11003_012MA,B11003_012EA,B11003_013MA,B11003_013EA,B11003_014MA,B11003_014EA,B11003_015MA,B11003_015EA,B11003_016EA,B11003_016MA,B11003_017EA,B11003_017MA,B11003_018MA,B11003_018EA,B11003_019MA,B11003_019EA,B11003_020MA,B11003_020EA,state
0400000US01,1223725,12107,891157,11928,356092,8189,80785,4710,67819,4719,207488,7598,535065,8525,332568,9213,71026,5019,33659,3650,9859,2030,2780,1131,21020,2629,37367,3444,261542,8531,153815,7045,31569,3437,30361,3145,91885,5465,107727,5842,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,157187,3442,116353,3601,57334,2706,13102,1628,14390,1632,29842,2267,59019,2851,40834,2803,13173,1591,8527,1340,1620,555,1270,673,5637,1026,4646,943,27661,2535,17981,2030,3245,1041,2927,830,11809,1563,9680,1310,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1459460,12957,1078453,13654,462206,9628,115954,5591,115844,6705,230408,6966,616247,9699,381007,11082,110233,6522,61869,4103,16337,2429,9744,1903,35788,3306,48364,4129,270774,8204,165924,6724,33700,3340,31164,3496,101060,4969,104850,6065,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,742444,9416,555545,9778,220408,6592,51938,3167,44943,3576,123527,5195,335137,6777,186899,7250,46317,3305,24921,2858,6572,1712,3109,1031,15240,2353,21396,1978,140582,6270,86994,4390,16935,2158,15486,2183,54573,3416,53588,3738,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,8281119,30567,6011121,34735,2969746,26812,663813,15125,711187,14091,1594746,20579,3041375,26462,2269998,24199,713873,16325,342975,11472,87198,5850,56544,4920,199233,8646,370898,10707,1556125,19970,892079,16740,153582,7843,153669,7617,584828,14848,664046,13072,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1164221,11318,907833,12213,413056,8446,112380,5387,86459,4642,214217,6504,494777,9221,256388,8602,79977,5026,43911,4227,10490,2217,6047,1903,27374,2909,36066,3022,176411,6353,117558,5715,27177,3057,21347,2772,69034,4315,58853,3662,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,893288,9593,675144,9946,295307,6377,69968,4110,54265,3360,171074,5767,379837,8207,218144,6568,56395,4161,24624,3116,5706,1418,2771,945,16147,2592,31771,2974,161749,6239,96939,5422,15320,2550,18263,2938,63356,4657,64810,4052,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,216182,4310,159638,4594,65537,3483,15454,1679,15080,1855,35003,2745,94101,3549,56544,3532,14012,1814,6858,1170,1719,678,1167,538,3972,926,7154,1331,42532,2818,27867,2463,6631,1396,4474,1277,16762,1742,14665,1583,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,108483,3810,54212,3314,18943,1833,7575,1293,2949,896,8419,1161,35269,3097,54271,3265,10078,1683,4431,1153,1584,759,648,432,2199,764,5647,1187,44193,2723,23546,2053,3769,1086,6299,1397,13478,1729,20647,2081,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,4594803,24867,3379273,23619,1250776,14402,294790,10416,251473,9810,704513,11156,2128497,17923,1215530,17751,322952,10052,151314,8710,46454,4722,20354,2491,84506,6303,171638,7535,892578,15323,517478,12667,96847,5999,88716,6446,331915,10909,375100,11820,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,2285356,15485,1643907,16214,764519,12851,198445,7135,158124,7702,407950,9558,879388,14294,641449,11992,156604,7511,75860,4326,19829,2932,11260,2136,44771,3542,80744,6266,484845,10319,299270,7989,63416,5250,56292,4347,179562,6896,185575,6255,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,305789,4989,229666,5006,94000,3893,20961,2022,19334,2320,53705,3184,135666,4165,76123,3688,22276,2053,8044,1616,1803,817,839,467,5402,1398,14232,1473,53847,3244,24261,2749,5256,1381,3186,1065,15819,1942,29586,2092,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
