GEO_ID,B12002F_001E,B12002F_001M,B12002F_002E,B12002F_002M,B12002F_003E,B12002F_003M,B12002F_004E,B12002F_004M,B12002F_005E,B12002F_005M,B12002F_006E,B12002F_006M,B12002F_007E,B12002F_007M,B12002F_008E,B12002F_008M,B12002F_009E,B12002F_009M,B12002F_010E,B12002F_010M,B12002F_011E,B12002F_011M,B12002F_012E,B12002F_012M,B12002F_013E,B12002F_013M,NAME,B12002F_001EA,B12002F_001MA,B12002F_002MA,B12002F_002EA,B12002F_003EA,B12002F_003MA,B12002F_004EA,B12002F_004MA,B12002F_005MA,B12002F_005EA,B12002F_006EA,B12002F_006MA,B12002F_007MA,B12002F_007EA,B12002F_008MA,B12002F_008EA,B12002F_009EA,B12002F_009MA,B12002F_010EA,B12002F_010MA,B12002F_011MA,B12002F_011EA,B12002F_012MA,B12002F_012EA,B12002F_013MA,B12002F_013EA,state
0400000US01,23662,3265,13469,2190,4045,1300,8452,1550,543,397,0,270,429,252,10193,1583,3087,843,6016,1317,526,353,38,54,526,389,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,6118,1611,3282,1079,1273,633,1683,693,0,233,0,233,326,285,2836,828,752,375,1597,527,99,122,261,239,127,111,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,453390,14123,236039,8313,91322,5653,122675,6668,3845,1088,3185,1491,15012,2501,217351,7799,67509,5168,110065,6117,9849,1444,9038,1427,20890,2488,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,43409,4809,23270,2831,8548,1525,12962,2178,878,420,55,93,827,538,20139,2874,4727,1191,11316,1954,1778,812,1257,736,1061,564,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,4091953,57744,2082429,33057,819826,20066,1090796,19866,50862,4189,22792,2550,98153,6043,2009524,29573,685460,18125,984299,19497,89975,5955,98115,5005,151675,8558,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,218003,9791,113113,5856,38028,3702,59464,4303,2615,1095,2096,887,10910,2412,104890,5841,30682,3450,54163,3494,5236,1252,4945,1304,9864,1868,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,113628,7507,57036,4554,23412,3172,27109,2720,2494,1016,428,361,3593,1167,56592,4332,20489,2723,23465,2295,3103,1024,2679,970,6856,1853,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,11858,2499,6253,1416,2174,731,3547,934,240,184,0,262,292,272,5605,1365,1538,688,3046,942,389,255,0,262,632,436,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,22279,2313,13173,1583,5935,1848,5753,1452,869,565,0,286,616,441,9106,1325,3513,1315,3994,1225,533,350,214,221,852,529,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,532541,18543,280266,11947,108635,7216,140828,7113,7948,1787,2061,868,20794,3305,252275,9532,79372,5720,121276,6033,13158,1979,10023,1767,28446,3041,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,241157,11504,147603,8463,59550,5991,77856,5512,4103,1400,223,248,5871,1566,93554,4814,24712,3003,55783,3917,3970,1314,2374,1303,6715,1733,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,13156,2624,6585,1567,1068,454,4125,1254,387,462,0,264,1005,594,6571,1509,2680,873,3165,906,0,264,198,164,528,386,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
