GEO_ID,B17010_001E,B17010_001M,B17010_002E,B17010_002M,B17010_003E,B17010_003M,B17010_004E,B17010_004M,B17010_005E,B17010_005M,B17010_006E,B17010_006M,B17010_007E,B17010_007M,B17010_008E,B17010_008M,B17010_009E,B17010_009M,B17010_010E,B17010_010M,B17010_011E,B17010_011M,B17010_012E,B17010_012M,B17010_013E,B17010_013M,B17010_014E,B17010_014M,B17010_015E,B17010_015M,B17010_016E,B17010_016M,B17010_017E,B17010_017M,B17010_018E,B17010_018M,B17010_019E,B17010_019M,B17010_020E,B17010_020M,B17010_021E,B17010_021M,B17010_022E,B17010_022M,B17010_023E,B17010_023M,B17010_024E,B17010_024M,B17010_025E,B17010_025M,B17010_026E,B17010_026M,B17010_027E,B17010_027M,B17010_028E,B17010_028M,B17010_029E,B17010_029M,B17010_030E,B17010_030M,B17010_031E,B17010_031M,B17010_032E,B17010_032M,B17010_033E,B17010_033M,B17010_034E,B17010_034M,B17010_035E,B17010_035M,B17010_036E,B17010_036M,B17010_037E,B17010_037M,B17010_038E,B17010_038M,B17010_039E,B17010_039M,B17010_040E,B17010_040M,B17010_041E,B17010_041M,NAME,B17010_001MA,B17010_001EA,B17010_002MA,B17010_002EA,B17010_003EA,B17010_003MA,B17010_004EA,B17010_004MA,B17010_005EA,B17010_005MA,B17010_006MA,B17010_006EA,B17010_007MA,B17010_007EA,B17010_008EA,B17010_008MA,B17010_009EA,B17010_009MA,B17010_010EA,B17010_010MA,B17010_011MA,B17010_011EA,B17010_012MA,B17010_012EA,B17010_013MA,B17010_013EA,B17010_014EA,B17010_014MA,B17010_015EA,B17010_015MA,B17010_016EA,B17010_016MA,B17010_017MA,B17010_017EA,B17010_018MA,B17010_018EA,B17010_019EA,B17010_019MA,B17010_020EA,B17010_020MA,B17010_021EA,B17010_021MA,B17010_022MA,B17010_022EA,B17010_023MA,B17010_023EA,B17010_024MA,B17010_024EA,B17010_025EA,B17010_025MA,B17010_026EA,B17010_026MA,B17010_027MA,B17010_027EA,B17010_028MA,B17010_028EA,B17010_029MA,B17010_029EA,B17010_030EA,B17010_030MA,B17010_031EA,B17010_031MA,B17010_032MA,B17010_032EA,B17010_033MA,B17010_033EA,B17010_034MA,B17010_034EA,B17010_035MA,B17010_035EA,B17010_036EA,B17010_036MA,B17010_037EA,B17010_037MA,B17010_038MA,B17010_038EA,B17010_039MA,B17010_039EA,B17010_040MA,B17010_040EA,B17010_041EA,B17010_041MA,state
0400000US01,1223725,12107,167857,7451,51803,4304,31604,3227,6754,1329,9684,1961,15166,2180,20199,2315,116054,6123,14187,2348,10756,2185,3764,1267,1530,695,5462,1680,3431,934,101867,5836,90432,5207,17573,2994,25472,2779,47387,3993,11435,1972,1055868,11879,839354,12087,354968,8883,63226,4495,63490,4381,228252,7665,484386,8533,216514,8572,56839,4071,30774,3241,6856,1529,1502,604,22416,2814,26065,2744,159675,7718,94787,5862,12993,1996,13265,2285,68529,4936,64888,4290,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,157187,3442,12968,1619,4110,1011,2369,704,344,237,968,299,1057,559,1741,571,8858,1340,1869,755,1715,710,278,205,713,580,724,340,154,115,6989,1213,6248,1169,682,360,1831,637,3735,1030,741,389,144219,3896,112243,3721,57721,2764,11204,1596,13126,1660,33391,2413,54522,2776,31976,2732,11304,1432,7495,1175,1268,525,572,265,5655,1045,3809,928,20672,2356,15458,2054,2552,961,2102,780,10804,1521,5214,957,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1459460,12957,158604,7054,65939,4404,43862,3912,8207,1651,17742,2557,17913,2164,22077,2279,92665,5147,15767,2345,12921,2179,3551,1063,3138,1188,6232,1514,2846,820,76898,4846,69863,4840,15538,2619,20417,2566,33908,3198,7035,1260,1300856,13424,1012514,13510,448912,9261,89926,5230,107971,6344,251015,7848,563602,9681,288342,9478,94466,6107,57537,4189,11422,1990,9053,1734,37062,3333,36929,3303,193876,6957,121557,5307,17135,2371,16679,2695,87743,4810,72319,5022,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,742444,9416,99721,4887,38842,3070,24043,2596,5051,1329,7530,1436,11462,1654,14799,1691,60879,4015,8869,1678,6306,1404,1367,650,786,462,4153,1152,2563,824,52010,3848,46776,3418,9851,1743,13320,2256,23605,2066,5234,1226,642723,8963,516703,9085,213065,6214,39180,2563,40140,3572,133745,5077,303638,6421,126020,6721,37448,2959,21557,2415,4773,1239,2462,851,14322,2130,15891,1869,88572,5383,53059,4158,6536,1335,6048,1129,40475,3406,35513,3203,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,8281119,30567,850405,19044,372605,12436,275784,11186,38138,3495,103928,7590,133718,8937,96821,6019,477800,13770,91101,5874,70878,5246,15560,2312,20126,2708,35192,3561,20223,2924,386699,12438,341297,11919,57856,4655,101280,6542,182161,9130,45402,4466,7430714,33196,5638516,35492,2875283,28450,536417,13404,628345,15677,1710521,20922,2763233,24955,1792198,22028,622772,15068,342255,11841,66631,4582,54396,5338,221228,9297,280517,10964,1169426,17304,706399,14859,92080,6294,90842,6144,523477,12813,463027,10766,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1164221,11318,96785,5476,39241,3411,25490,2836,5168,1260,10898,2086,9424,1477,13751,2001,57544,4424,9334,2240,7333,2209,1860,885,1131,662,4342,1952,2001,793,48210,3748,43744,3748,10593,2273,12179,2367,20972,2532,4466,1104,1067436,11611,868592,11797,403244,8108,88068,5000,82125,4660,233051,6791,465348,8626,198844,7621,70643,4738,42892,4102,8017,1819,5454,1851,29421,3277,27751,2618,128201,5541,85507,5256,14109,2435,10284,1673,61114,4433,42694,3282,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,893288,9593,55456,4438,16864,2562,10768,2312,3012,1118,3271,1247,4485,1194,6096,1257,38592,3755,3952,1391,2768,1183,1002,750,512,447,1254,642,1184,559,34640,3505,30409,3253,5528,1506,8748,2032,16133,2168,4231,1270,837832,10251,658280,9529,295991,6458,57357,3925,50899,3286,187735,5874,362289,8116,179552,6452,52443,4114,24946,3042,4307,1088,3365,1118,17274,2487,27497,2843,127109,5391,77127,4499,6877,1231,11452,2273,58798,4241,49982,4008,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,216182,4310,16516,1825,4927,1231,2915,919,481,415,1629,554,805,411,2012,707,11589,1553,1408,646,1078,648,335,364,273,406,470,314,330,252,10181,1522,9608,1489,2648,894,2445,924,4515,1136,573,230,199666,4286,154711,4499,66912,3420,13788,1658,13123,1714,40001,2687,87799,3214,44955,3174,12604,1671,7303,1212,1435,583,1203,562,4665,999,5301,1128,32351,2605,21094,2160,3604,1214,3148,1001,14342,1877,11257,1339,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,108483,3810,18159,2336,3086,890,1580,577,221,214,715,367,644,443,1506,702,15073,2088,1535,704,908,601,0,286,509,460,399,359,627,447,13538,1969,11527,1830,1722,811,4301,1268,5504,1078,2011,873,90324,3841,51126,3254,18762,1804,6671,1257,3343,1029,8748,1144,32364,2653,39198,3171,8543,1591,4313,1072,1176,634,710,406,2427,767,4230,1093,30655,2617,17916,2004,1816,664,3290,898,12810,1785,12739,1672,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,4594803,24867,445037,12690,172052,8304,89806,6225,16327,2494,28039,3175,45440,4360,82246,5061,272985,8965,40462,4217,28995,3603,8692,2095,6866,1940,13437,1975,11467,1996,232523,8451,200413,8186,39275,4317,48482,4455,112656,7173,32110,3489,4149766,25646,3207221,23352,1247818,15804,237282,9081,240372,8406,770164,12848,1959403,17455,942545,16940,282490,10060,145883,7479,33677,3463,18255,2600,93951,5745,136607,6886,660055,13887,404789,12070,56247,4920,51352,4812,297190,10945,255266,8729,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
