GEO_ID,B18020I_001E,B18020I_001M,B18020I_002E,B18020I_002M,B18020I_003E,B18020I_003M,B18020I_004E,B18020I_004M,B18020I_005E,B18020I_005M,B18020I_006E,B18020I_006M,B18020I_007E,B18020I_007M,B18020I_008E,B18020I_008M,B18020I_009E,B18020I_009M,B18020I_010E,B18020I_010M,B18020I_011E,B18020I_011M,B18020I_012E,B18020I_012M,B18020I_013E,B18020I_013M,B18020I_014E,B18020I_014M,B18020I_015E,B18020I_015M,B18020I_016E,B18020I_016M,B18020I_017E,B18020I_017M,B18020I_018E,B18020I_018M,B18020I_019E,B18020I_019M,B18020I_020E,B18020I_020M,B18020I_021E,B18020I_021M,B18020I_022E,B18020I_022M,B18020I_023E,B18020I_023M,B18020I_024E,B18020I_024M,B18020I_025E,B18020I_025M,B18020I_026E,B18020I_026M,B18020I_027E,B18020I_027M,B18020I_028E,B18020I_028M,B18020I_029E,B18020I_029M,B18020I_030E,B18020I_030M,B18020I_031E,B18020I_031M,NAME,B18020I_001MA,B18020I_001EA,B18020I_002MA,B18020I_002EA,B18020I_003MA,B18020I_003EA,B18020I_004MA,B18020I_004EA,B18020I_005EA,B18020I_005MA,B18020I_006EA,B18020I_006MA,B18020I_007MA,B18020I_007EA,B18020I_008MA,B18020I_008EA,B18020I_009MA,B18020I_009EA,B18020I_010EA,B18020I_010MA,B18020I_011EA,B18020I_011MA,B18020I_012MA,B18020I_012EA,B18020I_013MA,B18020I_013EA,B18020I_014MA,B18020I_014EA,B18020I_015MA,B18020I_015EA,B18020I_016MA,B18020I_016EA,B18020I_017EA,B18020I_017MA,B18020I_018EA,B18020I_018MA,B18020I_019EA,B18020I_019MA,B18020I_020MA,B18020I_020EA,B18020I_021MA,B18020I_021EA,B18020I_022EA,B18020I_022MA,B18020I_023EA,B18020I_023MA,B18020I_024EA,B18020I_024MA,B18020I_025MA,B18020I_025EA,B18020I_026MA,B18020I_026EA,B18020I_027EA,B18020I_027MA,B18020I_028EA,B18020I_028MA,B18020I_029EA,B18020I_029MA,B18020I_030MA,B18020I_030EA,B18020I_031MA,B18020I_031EA,state
0400000US13,413227,3474,22942,3241,11719,2126,4169,1134,2669,886,1500,659,7550,1675,5213,1447,2337,985,11223,2109,3729,1094,1790,794,1939,791,7494,1703,3097,1167,4397,1208,390285,4611,236056,3639,149818,3162,124948,4732,24870,3963,86238,3266,75873,3493,10365,2298,154229,3526,93595,2899,42624,3042,50971,3388,60634,2644,34016,3245,26618,2600,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,55659,1017,6776,1489,2669,786,1038,505,464,352,574,376,1631,666,868,540,763,382,4107,1107,1203,593,121,118,1082,578,2904,767,610,311,2294,714,48883,1769,24353,1381,13751,1344,10594,1660,3157,931,10602,1138,9253,1199,1349,594,24530,1209,13292,724,8263,1026,5029,1046,11238,783,8325,837,2913,706,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,79119,1343,7571,1534,3825,1132,1611,713,771,487,840,585,2214,793,1111,566,1103,584,3746,928,1689,597,427,238,1262,521,2057,739,553,366,1504,613,71548,1929,37084,1176,21448,1144,17861,997,3587,880,15636,1074,14079,1292,1557,734,34464,1462,20909,1464,10510,1646,10399,1197,13555,968,8644,1157,4911,1103,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,1159306,3289,94630,6236,46841,4001,17135,2916,8797,2045,8338,2002,29706,2655,13991,2336,15715,1873,47789,4228,13113,2178,5417,1433,7696,1628,34676,3460,9314,1494,25362,3084,1064676,6745,578211,4213,333298,3841,256883,6107,76415,5224,244913,2799,209847,4127,35066,3504,486465,5094,276421,3145,148966,6141,127455,5943,210044,3721,129552,4937,80492,5201,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,176150,2127,14923,2057,7252,1372,2602,1025,1388,924,1214,454,4650,973,2425,713,2225,577,7671,1486,3510,1061,1010,498,2500,892,4161,953,1745,594,2416,843,161227,2848,91554,2667,54548,2469,43143,2433,11405,1464,37006,2125,31818,2000,5188,1179,69673,1769,39373,1811,17491,2176,21882,2443,30300,1612,19287,1800,11013,1396,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,64494,1538,6432,1095,3530,735,2171,625,1103,450,1068,556,1359,464,291,212,1068,430,2902,738,958,436,608,380,350,267,1944,636,836,379,1108,481,58062,1886,33022,1225,19457,1340,15511,1265,3946,940,13565,1142,11539,1169,2026,698,25040,1437,13561,1562,6349,1065,7212,1430,11479,1276,8273,1258,3206,976,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,140288,1696,13833,2117,7658,1569,2887,932,1744,785,1143,626,4771,1174,3224,1051,1547,620,6175,1085,2593,901,1032,512,1561,731,3582,877,1206,545,2376,746,126455,2557,67530,2101,40846,1993,31407,2035,9439,1645,26684,1772,23616,1683,3068,945,58925,1765,35607,2097,19418,1940,16189,1961,23318,1809,15095,1563,8223,1594,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,45216,1800,3597,942,2127,739,775,354,621,333,154,154,1352,562,799,424,553,309,1470,561,431,280,214,209,217,175,1039,480,295,280,744,422,41619,1842,26279,1820,15880,1451,13292,1529,2588,744,10399,1119,8924,1076,1475,698,15340,964,8925,937,4696,976,4229,793,6415,694,2828,761,3587,844,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,81911,1643,8814,1316,4552,1179,1492,608,610,352,882,500,3060,971,1123,572,1937,791,4262,1039,1031,476,369,265,662,416,3231,884,817,392,2414,818,73097,2124,37681,2043,19481,1694,15235,1815,4246,1072,18200,1415,15923,1320,2277,793,35416,1378,16660,1403,9027,1506,7633,1262,18756,1376,12061,1336,6695,1183,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,7578,676,955,386,468,276,97,91,0,229,97,91,371,275,142,159,229,183,487,256,58,68,58,68,0,229,429,253,155,171,274,190,6623,798,3300,643,1841,615,1558,572,283,173,1459,399,1100,401,359,276,3323,489,1897,610,1187,722,710,437,1426,464,1065,432,361,255,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
