GEO_ID,C13008_001E,C13008_001M,C13008_002E,C13008_002M,C13008_003E,C13008_003M,C13008_004E,C13008_004M,C13008_005E,C13008_005M,C13008_006E,C13008_006M,C13008_007E,C13008_007M,C13008_008E,C13008_008M,C13008_009E,C13008_009M,C13008_010E,C13008_010M,C13008_011E,C13008_011M,C13008_012E,C13008_012M,C13008_013E,C13008_013M,C13008_014E,C13008_014M,C13008_015E,C13008_015M,NAME,C13008_001EA,C13008_001MA,C13008_002EA,C13008_002MA,C13008_003MA,C13008_003EA,C13008_004EA,C13008_004MA,C13008_005EA,C13008_005MA,C13008_006EA,C13008_006MA,C13008_007EA,C13008_007MA,C13008_008MA,C13008_008EA,C13008_009MA,C13008_009EA,C13008_010MA,C13008_010EA,C13008_011EA,C13008_011MA,C13008_012EA,C13008_012MA,C13008_013EA,C13008_013MA,C13008_014MA,C13008_014EA,C13008_015MA,C13008_015EA,state
0400000US01,1137910,3989,67199,4840,41334,3624,39524,3501,1810,579,25865,3271,24963,3170,902,652,1070711,6148,559171,8208,536114,7480,23057,2533,511540,7989,499418,8002,12122,2259,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,169280,1528,9541,1571,6668,1283,6046,1216,622,351,2873,695,2834,691,39,72,159739,2101,84364,3106,75755,3030,8609,999,75375,3086,72852,3044,2523,827,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1432827,3485,99993,5097,67222,4579,47049,3762,20173,2708,32771,3596,27422,3290,5349,1454,1332834,6161,667384,11208,497516,9940,169868,6400,665450,11414,585452,11985,79998,5166,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,673963,3299,41858,2964,28079,2689,26561,2742,1518,576,13779,2159,12729,1918,1050,990,632105,4591,341689,5867,320261,5654,21428,2047,290416,6640,282375,6279,8041,1343,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,9133497,9205,533931,12081,387626,10294,210398,7303,177228,7068,146305,8263,95783,5776,50522,5348,8599566,16848,4285573,28179,2374253,22659,1911320,23012,4313993,30972,3288875,28332,1025118,23147,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1194777,3533,72113,5480,53128,4518,44250,4005,8878,1745,18985,2649,16795,2563,2190,797,1122664,6042,595729,8850,499264,8385,96465,4085,526935,9776,479253,9128,47682,4341,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,860004,2570,40981,3388,29095,2523,22667,2075,6428,1338,11886,1999,10243,1820,1643,776,819023,4590,415618,7241,338517,6646,77101,4425,403405,7391,361239,7301,42166,3998,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,211400,1481,10223,1579,7277,1431,5705,1310,1572,643,2946,797,2630,737,316,244,201177,2061,102447,3293,88794,3603,13653,1537,98730,3506,92906,3286,5824,1414,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,142319,1090,8824,1469,4674,965,3196,835,1478,620,4150,1062,3610,985,540,389,133495,1752,36691,2702,28247,2369,8444,1443,96804,2987,85034,3036,11770,1925,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,4181753,7873,228040,7684,147453,5434,102273,4909,45180,3424,80587,5549,65659,4664,14928,2883,3953713,9405,1940837,16430,1406260,15312,534577,11914,2012876,18177,1671546,15875,341330,10323,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
