GEO_ID,B22004_001E,B22004_001M,B22004_002E,B22004_002M,B22004_003E,B22004_003M,B22004_004E,B22004_004M,B22004_005E,B22004_005M,B22004_006E,B22004_006M,B22004_007E,B22004_007M,NAME,B22004_001MA,B22004_001EA,B22004_002MA,B22004_002EA,B22004_003EA,B22004_003MA,B22004_004EA,B22004_004MA,B22004_005EA,B22004_005MA,B22004_006EA,B22004_006MA,B22004_007EA,B22004_007MA,state
0400000US01,1788692,9253,195884,7349,104649,5264,91235,4313,1592808,10516,518426,10051,1074382,10839,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,233252,2012,17123,1561,10123,1397,7000,871,216129,2404,57353,3068,158776,3589,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,2204013,9234,161128,7300,79825,5256,81303,4547,2042885,10805,505120,11072,1537765,14056,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,1087542,7421,124855,4861,71426,3892,53429,3946,962687,7760,327787,7354,634900,9144,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,12097894,20853,550043,14987,246238,8684,303805,11328,11547851,25485,2906771,27241,8641080,31552,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1819037,8199,90000,4386,48090,3328,41910,4321,1729037,8010,359756,7810,1369281,10084,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,1323838,6482,71343,4209,40124,3203,31219,2999,1252495,7214,283087,7001,969408,9703,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,317640,2835,20636,1946,11157,1557,9479,1551,297004,3273,74547,2916,222457,3411,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,248213,2990,24542,2158,12080,1671,12462,1836,223671,3521,42613,2978,181058,3898,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,7048800,20625,554593,11916,290471,9808,264122,9248,6494207,23943,1726236,17785,4767971,22104,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,3320278,14891,281724,8863,144551,7070,137173,6743,3038554,15586,748397,13315,2290157,16491,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,430007,3658,28485,2668,17165,1926,11320,1734,401522,4150,95557,4187,305965,5212,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,532135,3986,39699,3700,20655,2605,19044,2664,492436,5077,136152,4490,356284,5438,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,4691020,12381,358607,9765,180013,6844,178594,6779,4332413,17501,971695,13786,3360718,19386,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,2443010,11121,213201,8534,120358,5569,92843,5551,2229809,13237,573222,8383,1656587,13619,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,1200833,6448,86574,4615,47099,3330,39475,3090,1114259,8557,264568,6398,849691,8522,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
