GEO_ID,B13001_001E,B13001_001M,B13001_002E,B13001_002M,B13001_003E,B13001_003M,B13001_004E,B13001_004M,B13001_005E,B13001_005M,B13001_006E,B13001_006M,B13001_007E,B13001_007M,B13001_008E,B13001_008M,B13001_009E,B13001_009M,NAME,B13001_001MA,B13001_001EA,B13001_002EA,B13001_002MA,B13001_003EA,B13001_003MA,B13001_004MA,B13001_004EA,B13001_005EA,B13001_005MA,B13001_006MA,B13001_006EA,B13001_007MA,B13001_007EA,B13001_008EA,B13001_008MA,B13001_009EA,B13001_009MA,state
0400000US01,1137910,3989,600505,8207,3867,953,218836,6058,377802,6084,537405,8018,139275,2848,233197,6236,164933,5876,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,169280,1528,91032,3142,1308,716,32637,2142,57087,2311,78248,3164,25198,1144,27662,2152,25388,2118,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1432827,3485,734606,11624,6792,1704,293650,8383,434164,6615,698221,11958,186277,2996,309648,8306,202296,6975,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,673963,3299,369768,6471,4385,1182,150181,4392,215202,4651,304195,6708,84172,2498,120893,4638,99130,4511,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,9133497,9205,4673199,27971,36359,4436,1698267,17959,2938573,17408,4460298,29593,1200516,6715,1943404,18415,1316378,17645,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1194777,3533,648857,9013,5770,1581,248737,6603,394350,6519,545920,9517,139583,2787,244076,6898,162261,5828,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,860004,2570,444713,6513,2027,805,120706,3752,321980,5444,415291,6938,106930,1380,170601,3804,137760,5574,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,211400,1481,109724,3617,494,337,37982,2554,71248,2667,101676,3456,23405,1008,45010,2579,33261,2321,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,142319,1090,41365,2818,321,266,16934,1861,24110,2044,100954,2934,9294,842,53726,1906,37934,2182,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,4181753,7873,2088290,17299,11843,1837,711141,11359,1365306,12758,2093463,18098,533986,5055,869248,10575,690229,13744,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,2391789,5378,1250102,12208,10634,1530,482844,8943,756624,8912,1141687,12085,283642,5609,490885,9712,367160,8336,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,297897,1924,154817,3905,1331,657,50636,2639,102850,3089,143080,3946,36168,1369,62137,2965,44775,2779,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
