GEO_ID,C17018_001E,C17018_001M,C17018_002E,C17018_002M,C17018_003E,C17018_003M,C17018_004E,C17018_004M,C17018_005E,C17018_005M,C17018_006E,C17018_006M,C17018_007E,C17018_007M,C17018_008E,C17018_008M,C17018_009E,C17018_009M,C17018_010E,C17018_010M,C17018_011E,C17018_011M,NAME,C17018_001EA,C17018_001MA,C17018_002MA,C17018_002EA,C17018_003EA,C17018_003MA,C17018_004EA,C17018_004MA,C17018_005MA,C17018_005EA,C17018_006MA,C17018_006EA,C17018_007MA,C17018_007EA,C17018_008EA,C17018_008MA,C17018_009EA,C17018_009MA,C17018_010MA,C17018_010EA,C17018_011MA,C17018_011EA,state
0400000US01,1223725,12107,167857,7451,60319,4263,64160,5230,37079,3184,6299,1310,1055868,11879,158073,5766,322342,8034,308513,7729,266940,7077,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,157187,3442,12968,1619,2912,734,5793,1221,3634,799,629,324,144219,3896,10015,1203,36022,2500,53670,3223,44512,2681,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1459460,12957,158604,7054,61236,4545,46832,4108,40069,3365,10467,2029,1300856,13424,171390,7168,298059,7644,454501,10430,376906,8960,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,742444,9416,99721,4887,29700,2730,40990,3332,23513,2399,5518,1386,642723,8963,98900,4760,213375,5520,191103,6316,139345,5694,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,8281119,30567,850405,19044,395477,12850,211752,10103,175356,7930,67820,5265,7430714,33196,1193074,20901,1478430,20553,2325709,26658,2433501,23140,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1164221,11318,96785,5476,30505,3565,27902,3012,29221,3155,9157,1381,1067436,11611,93188,4760,236385,8674,323404,7367,414459,8769,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,893288,9593,55456,4438,18071,2808,20070,2918,9814,1648,7501,1724,837832,10251,78080,4275,224650,6787,206719,6242,328383,7776,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,216182,4310,16516,1825,6493,1482,5473,1100,3488,1065,1062,402,199666,4286,22207,1918,59426,3537,55369,3534,62664,3507,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,108483,3810,18159,2336,6442,1318,6854,1694,3771,978,1092,487,90324,3841,13037,1679,20441,2387,17261,1969,39585,2158,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,4594803,24867,445037,12690,145067,6584,163452,8754,97737,5898,38781,3253,4149766,25646,497162,12530,1144009,17725,1299160,18273,1209435,15815,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,2285356,15485,264016,8042,95219,5702,93389,5051,62609,4666,12799,1690,2021340,16632,262122,9094,563027,12898,572936,11619,623255,11558,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,305789,4989,23445,2364,4106,975,9730,1714,6624,1359,2985,868,282344,5042,25938,1798,77864,3790,89513,4604,89029,3317,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,372230,5271,38217,2566,12430,1750,9605,1598,13379,1645,2803,819,334013,5371,33962,2333,88942,4359,117621,4650,93488,3492,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,3126131,16885,286603,8945,90210,6356,95186,6060,78127,5259,23080,2777,2839528,17258,317364,8227,742497,11846,856489,13286,923178,12470,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,1639949,14074,148206,6424,47405,3667,57674,4254,34993,3380,8134,1563,1491743,15106,171193,6342,525095,7956,436635,10002,358820,8175,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,790132,7973,59201,3204,13121,1776,22939,2633,18850,1921,4291,883,730931,8525,60960,3047,246313,5442,226497,6487,197161,5141,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,715841,7568,60394,3618,16741,2154,21725,2162,18000,2191,3928,810,655447,8112,55843,3163,180049,5037,210238,5220,209317,5485,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,1119243,11078,149521,6061,56332,4092,56300,3851,29874,3050,7015,1382,969722,11907,155365,5626,323317,9098,271429,7783,219611,6582,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,1137005,12840,183193,7692,69757,5216,67625,4910,39758,3440,6053,1308,953812,13268,136068,5917,319755,8239,269468,7283,228521,7063,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,355469,6210,32066,2640,7287,1285,14392,1756,8401,1356,1986,646,323403,5989,26447,1949,110017,4617,94913,4563,92026,4037,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,1397971,11798,83703,5927,24924,3230,30884,3583,19528,2777,8367,2006,1314268,13510,129616,6071,310348,10528,362815,8563,511489,10108,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,1569672,13085,118636,5983,35207,3724,40223,3858,29655,3886,13551,2238,1451036,12071,136528,6348,363885,10231,368295,9054,582328,10778,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,2594228,16786,257314,7987,71835,4095,95554,5373,75000,4378,14925,1997,2336914,16419,226005,7146,656587,12876,788631,10796,665691,9142,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
