GEO_ID,C16009_001E,C16009_001M,C16009_002E,C16009_002M,C16009_003E,C16009_003M,C16009_004E,C16009_004M,C16009_005E,C16009_005M,C16009_006E,C16009_006M,C16009_007E,C16009_007M,C16009_008E,C16009_008M,C16009_009E,C16009_009M,C16009_010E,C16009_010M,C16009_011E,C16009_011M,C16009_012E,C16009_012M,C16009_013E,C16009_013M,NAME,C16009_001EA,C16009_001MA,C16009_002EA,C16009_002MA,C16009_003EA,C16009_003MA,C16009_004EA,C16009_004MA,C16009_005MA,C16009_005EA,C16009_006EA,C16009_006MA,C16009_007EA,C16009_007MA,C16009_008EA,C16009_008MA,C16009_009EA,C16009_009MA,C16009_010EA,C16009_010MA,C16009_011MA,C16009_011EA,C16009_012EA,C16009_012MA,C16009_013EA,C16009_013MA,state
0400000US01,4140497,3486,667250,21101,632271,20984,24483,3640,5531,1962,3158,1322,1807,1144,3473247,21186,3335874,21271,75183,5309,35141,3985,19523,2148,7526,3102,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,589728,1283,64772,5896,52417,4291,1871,1491,460,303,1891,1817,8133,1293,524956,6151,457157,5762,13903,2256,10182,2153,21262,2101,22452,2227,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,5349443,5151,715471,23234,379392,16392,258637,17644,13358,2910,9608,2288,54476,5612,4633972,24178,3505930,24177,885563,19188,94094,7080,65001,4312,83384,5926,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2506764,3006,410679,14248,380720,14380,24408,3518,2215,1025,2262,1278,1074,1085,2096085,14700,1976906,16418,82794,4841,19335,2965,14250,1945,2800,1330,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,32485775,9821,4155765,77712,1726312,39091,1871144,49615,147165,11871,375009,24755,36135,7330,28330010,77549,17016559,77458,7275649,60449,1230354,31364,2573369,34720,234079,14895,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,4215445,2871,446721,16160,318177,12360,101066,9725,12387,2806,10570,2090,4521,1484,3768724,16679,3180887,17266,413047,13866,90793,7098,63304,4690,20693,3323,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,3175512,2156,253077,14630,166848,11219,57590,6781,22745,4217,5269,1794,625,548,2922435,14372,2406063,15987,234004,8819,215682,10927,52626,4268,14060,2546,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,760721,973,75219,5809,60152,5210,11856,2756,1760,809,669,482,782,705,685502,5775,612757,5956,35202,3581,22587,3180,10627,1593,4329,1771,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,476547,657,85081,6502,73257,6149,8093,2111,1656,625,1109,761,966,878,391466,6420,328540,6081,34018,2930,16483,2587,7697,1994,4728,1478,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,16218691,6834,1990661,42812,1323496,29711,505505,21657,128941,11197,18835,3551,13884,3775,14228030,44636,10774200,43596,2501499,28830,690556,20893,190091,8577,71684,8056,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,8105344,4653,1107207,29743,965704,27215,105260,8200,20220,4196,9916,2387,6107,2723,6998137,30154,6200592,33518,445623,11626,183284,9954,131364,6842,37274,5106,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,1144903,1038,110924,7998,79008,6586,2027,1413,1226,639,28301,3604,362,357,1033979,8173,790993,11832,20239,3154,12674,2109,209639,9470,434,420,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,1285094,2166,170408,8968,140946,8938,25842,4094,1407,585,861,438,1352,988,1114686,9157,1020008,8371,67348,4607,13276,2621,8663,1831,5391,1419,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
