GEO_ID,B25074_001E,B25074_001M,B25074_002E,B25074_002M,B25074_003E,B25074_003M,B25074_004E,B25074_004M,B25074_005E,B25074_005M,B25074_006E,B25074_006M,B25074_007E,B25074_007M,B25074_008E,B25074_008M,B25074_009E,B25074_009M,B25074_010E,B25074_010M,B25074_011E,B25074_011M,B25074_012E,B25074_012M,B25074_013E,B25074_013M,B25074_014E,B25074_014M,B25074_015E,B25074_015M,B25074_016E,B25074_016M,B25074_017E,B25074_017M,B25074_018E,B25074_018M,B25074_019E,B25074_019M,B25074_020E,B25074_020M,B25074_021E,B25074_021M,B25074_022E,B25074_022M,B25074_023E,B25074_023M,B25074_024E,B25074_024M,B25074_025E,B25074_025M,B25074_026E,B25074_026M,B25074_027E,B25074_027M,B25074_028E,B25074_028M,B25074_029E,B25074_029M,B25074_030E,B25074_030M,B25074_031E,B25074_031M,B25074_032E,B25074_032M,B25074_033E,B25074_033M,B25074_034E,B25074_034M,B25074_035E,B25074_035M,B25074_036E,B25074_036M,B25074_037E,B25074_037M,B25074_038E,B25074_038M,B25074_039E,B25074_039M,B25074_040E,B25074_040M,B25074_041E,B25074_041M,B25074_042E,B25074_042M,B25074_043E,B25074_043M,B25074_044E,B25074_044M,B25074_045E,B25074_045M,B25074_046E,B25074_046M,B25074_047E,B25074_047M,B25074_048E,B25074_048M,B25074_049E,B25074_049M,B25074_050E,B25074_050M,NAME,B25074_001MA,B25074_001EA,B25074_002MA,B25074_002EA,B25074_003EA,B25074_003MA,B25074_004EA,B25074_004MA,B25074_005MA,B25074_005EA,B25074_006MA,B25074_006EA,B25074_007MA,B25074_007EA,B25074_008EA,B25074_008MA,B25074_009EA,B25074_009MA,B25074_010MA,B25074_010EA,B25074_011MA,B25074_011EA,B25074_012MA,B25074_012EA,B25074_013MA,B25074_013EA,B25074_014EA,B25074_014MA,B25074_015EA,B25074_015MA,B25074_016MA,B25074_016EA,B25074_017MA,B25074_017EA,B25074_018MA,B25074_018EA,B25074_019EA,B25074_019MA,B25074_020EA,B25074_020MA,B25074_021MA,B25074_021EA,B25074_022MA,B25074_022EA,B25074_023MA,B25074_023EA,B25074_024MA,B25074_024EA,B25074_025EA,B25074_025MA,B25074_026EA,B25074_026MA,B25074_027MA,B25074_027EA,B25074_028MA,B25074_028EA,B25074_029MA,B25074_029EA,B25074_030EA,B25074_030MA,B25074_031EA,B25074_031MA,B25074_032MA,B25074_032EA,B25074_033MA,B25074_033EA,B25074_034MA,B25074_034EA,B25074_035MA,B25074_035EA,B25074_036EA,B25074_036MA,B25074_037EA,B25074_037MA,B25074_038MA,B25074_038EA,B25074_039MA,B25074_039EA,B25074_040MA,B25074_040EA,B25074_041EA,B25074_041MA,B25074_042EA,B25074_042MA,B25074_043MA,B25074_043EA,B25074_044MA,B25074_044EA,B25074_045MA,B25074_045EA,B25074_046MA,B25074_046EA,B25074_047EA,B25074_047MA,B25074_048EA,B25074_048MA,B25074_049MA,B25074_049EA,B25074_050MA,B25074_050EA,state
0400000US01,527217,11869,131097,6865,2524,1275,3167,1029,6729,1430,5642,1313,78107,5282,34928,2930,122976,5582,8145,1852,7102,1652,13483,1913,12393,1851,69579,4898,12274,1661,121516,6666,22776,2299,27327,3445,24745,3275,13316,2335,20065,2601,13287,2202,71524,5191,36490,3496,14956,2283,8537,2035,2018,700,2109,903,7414,1330,52781,4228,40826,4063,4710,1232,1429,782,295,245,478,276,5043,1121,14410,1675,11442,1392,786,497,161,142,43,69,123,151,1855,678,12913,2181,11650,2111,74,121,0,270,122,205,49,79,1018,429,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,86233,3244,8950,1485,86,108,34,54,229,238,91,107,6611,1340,1899,605,11697,1369,342,245,112,134,320,191,359,237,9301,1278,1263,448,19570,2010,1080,357,962,362,3267,849,2822,936,8892,1603,2547,907,14614,1837,2352,692,3861,1127,2989,859,1786,636,1448,540,2178,619,17602,2155,8758,1494,3402,781,1739,651,1271,674,744,425,1688,550,7378,1349,4220,1012,1415,550,603,380,48,85,0,233,1092,466,6422,1197,5444,1082,329,257,15,25,0,233,16,32,618,303,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,701556,12519,96821,5754,308,203,929,403,3238,1071,1665,521,69233,4721,21448,2934,134948,5896,3333,959,3627,1013,6469,1650,9056,1754,104073,4834,8390,1866,180929,8112,13787,2816,26234,2647,33716,3506,29416,2843,67336,5002,10440,1774,123435,7122,33725,3999,33161,3975,24019,3300,12865,2254,13356,1820,6309,1390,99883,7224,61891,6240,16626,2468,10677,2105,3634,1039,1899,656,5156,1126,39843,4018,33781,3786,3375,931,1064,535,260,191,242,204,1121,572,25697,2775,21612,2581,1316,645,354,209,0,291,50,84,2365,1016,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,350717,8790,76673,4343,1912,743,1285,485,3582,956,4542,1201,49006,3160,16346,2090,84023,4551,4709,1283,4878,1424,8649,1645,10243,1901,47286,3612,8258,1238,92603,5023,16321,2482,20620,2769,18541,1949,11848,1991,14706,2228,10567,1861,48368,4487,26956,3471,10457,1756,4866,1236,1497,598,490,353,4102,1008,32979,3410,24770,2954,3592,1411,394,385,221,221,337,244,3665,961,10337,1562,8696,1448,389,324,209,328,0,260,94,161,949,354,5734,1110,4944,1158,66,110,0,260,0,260,0,260,724,403,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,5027756,31936,591722,14946,4104,1283,6249,1472,28392,3491,18444,2195,427192,12978,107341,7235,814003,17704,15850,2875,18111,2392,38678,3888,39216,3785,668969,14857,33179,3106,1069645,18445,40953,4379,62811,5008,97656,5653,143103,7757,685121,14703,40001,3310,831792,15797,97850,6187,148975,6171,176587,7285,133255,7755,248540,9887,26585,3063,862235,14508,272512,8892,216846,7699,153747,7833,92324,6596,101308,6672,25498,3131,418177,13356,227395,9907,95653,5617,51027,4505,17634,2244,14034,2213,12434,1979,440182,14731,350820,13194,48616,3747,16607,2173,5341,1185,3780,1553,15018,2650,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,585342,11059,85520,4372,1018,499,2224,916,5499,1123,2433,702,60391,3567,13955,2233,109038,5881,3792,1088,2011,655,6540,1639,6893,1903,83906,5329,5896,1331,147063,6348,10180,1776,19531,2822,25582,3506,22477,2423,62676,4582,6617,1414,100261,5338,26863,3148,23533,2995,20925,2601,10172,1667,14590,2251,4178,890,88926,5722,43320,3955,20918,2796,12946,2563,4105,1315,3947,1118,3690,1081,30316,3229,22409,2930,3753,1012,1979,915,235,185,153,143,1787,815,24218,2698,20917,2446,1762,755,149,147,70,113,52,90,1268,539,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,403895,8863,64977,5132,1574,1100,937,406,6017,1193,3579,984,42261,4745,10609,2172,68791,4933,3163,845,4710,1193,5908,1429,4654,1218,46565,3700,3791,1072,83329,5445,5015,1504,5628,1478,13313,2215,13565,2502,41546,3610,4262,1115,63943,5105,11692,2173,16400,2323,12517,2155,10299,1963,10627,1949,2408,683,65294,4267,32195,3169,14749,2358,8211,1872,4191,1328,2446,726,3502,1288,32753,3047,23309,2567,5038,1492,1712,812,310,240,834,438,1550,627,24808,3077,21993,2914,1230,587,403,242,200,145,0,274,982,401,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,87780,3942,10644,1676,0,262,177,188,565,310,562,255,7721,1569,1619,692,14758,1957,712,406,827,508,921,526,773,429,10329,1646,1196,507,18957,2203,1342,595,1812,688,2767,1086,1984,824,10302,1610,750,397,18212,2100,3876,949,4802,1079,3545,937,2246,822,2474,857,1269,520,15344,2006,9227,1455,3034,880,1559,744,397,308,320,330,807,315,5871,1275,4683,1064,486,515,156,191,0,262,0,262,546,462,3994,1084,3448,1084,71,104,0,262,155,253,0,262,320,317,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,142695,3688,28937,2512,1000,606,654,366,2447,763,2189,865,18024,2066,4623,1164,19691,2403,1423,518,597,521,1264,679,1114,624,15233,2210,60,102,26952,2822,1214,571,2850,850,4810,1318,5540,1167,12047,1985,491,314,20585,2684,4607,1344,4658,1109,4141,957,2236,801,4435,1140,508,269,23161,2190,9706,1656,6232,1253,2875,816,1465,527,2609,941,274,254,9985,1739,5891,1457,2227,821,958,423,410,326,351,252,148,140,13384,1740,10979,1731,1071,559,721,504,303,283,67,114,243,195,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,2144851,23516,320169,11388,2560,1009,4284,1354,13730,1972,9920,1738,223541,9486,66134,5987,383491,9827,8405,1702,8187,1716,14047,2311,19688,2567,309779,9199,23385,3062,552484,14030,29244,3782,51585,4825,77390,5938,96757,6874,275018,11054,22490,2838,376962,12799,71424,5035,95099,7307,84141,6741,51406,4586,60556,4995,14336,1920,315496,10216,146270,6610,79278,6633,39667,3396,19063,3100,18196,2679,13022,2347,111619,7284,80660,6262,14868,2050,5083,1329,3928,1818,1885,739,5195,1432,84630,4852,70281,4829,5449,1174,2699,897,839,448,503,269,4859,1088,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
