GEO_ID,B01002D_001E,B01002D_001M,B01002D_002E,B01002D_002M,B01002D_003E,B01002D_003M,NAME,B01002D_001EA,B01002D_001MA,B01002D_002EA,B01002D_002MA,B01002D_003EA,B01002D_003MA,state
0400000US01,34.4,1.1,33.3,2.1,35.6,2.0,Alabama,null,null,null,null,null,null,01
0400000US02,35.6,3.0,30.8,6.7,39.4,3.0,Alaska,null,null,null,null,null,null,02
0400000US04,34.0,0.5,32.1,0.7,35.9,0.8,Arizona,null,null,null,null,null,null,04
0400000US05,31.8,2.2,32.3,5.5,31.5,2.0,Arkansas,null,null,null,null,null,null,05
0400000US06,36.3,0.2,35.1,0.2,37.5,0.2,California,null,null,null,null,null,null,06
0400000US08,34.4,0.5,33.8,0.7,35.0,0.8,Colorado,null,null,null,null,null,null,08
0400000US09,33.8,0.5,33.7,0.8,33.9,0.7,Connecticut,null,null,null,null,null,null,09
0400000US10,33.4,0.6,32.6,1.1,34.3,1.2,Delaware,null,null,null,null,null,null,10
0400000US11,34.3,1.6,35.2,1.2,32.4,1.7,District of Columbia,null,null,null,null,null,null,11
0400000US12,35.2,0.4,34.5,0.6,35.6,0.5,Florida,null,null,null,null,null,null,12
0400000US13,33.7,0.4,33.3,0.7,34.0,0.5,Georgia,null,null,null,null,null,null,13
0400000US15,45.5,0.4,43.8,0.6,47.0,0.6,Hawaii,null,null,null,null,null,null,15
0400000US16,34.7,4.7,30.5,3.5,40.2,4.8,Idaho,null,null,null,null,null,null,16
0400000US17,34.6,0.2,34.0,0.3,35.1,0.3,Illinois,null,null,null,null,null,null,17
0400000US18,32.4,0.8,31.8,1.5,32.9,1.0,Indiana,null,null,null,null,null,null,18
0400000US19,30.8,1.1,32.2,1.3,29.6,1.2,Iowa,null,null,null,null,null,null,19
0400000US20,33.7,0.7,34.3,1.5,33.3,0.9,Kansas,null,null,null,null,null,null,20
0400000US21,35.7,1.5,35.3,1.6,36.3,2.1,Kentucky,null,null,null,null,null,null,21
0400000US22,33.5,1.0,33.7,1.2,33.0,1.9,Louisiana,null,null,null,null,null,null,22
0400000US23,28.8,3.4,29.1,4.8,28.7,5.9,Maine,null,null,null,null,null,null,23
0400000US24,36.1,0.4,35.2,0.6,36.9,0.6,Maryland,null,null,null,null,null,null,24
0400000US25,32.1,0.3,32.3,0.3,31.9,0.5,Massachusetts,null,null,null,null,null,null,25
0400000US26,32.1,0.4,31.4,0.4,32.7,0.5,Michigan,null,null,null,null,null,null,26
0400000US27,28.4,0.7,27.8,0.9,29.1,0.9,Minnesota,null,null,null,null,null,null,27
0400000US28,33.4,2.2,32.9,4.4,33.5,4.5,Mississippi,null,null,null,null,null,null,28
0400000US29,33.6,0.7,32.3,1.3,34.8,0.8,Missouri,null,null,null,null,null,null,29
0400000US30,32.2,5.2,26.7,4.8,32.6,1.3,Montana,null,null,null,null,null,null,30
0400000US31,32.2,1.5,32.1,1.2,32.6,2.9,Nebraska,null,null,null,null,null,null,31
0400000US32,37.4,0.9,36.1,0.8,38.7,0.9,Nevada,null,null,null,null,null,null,32
0400000US33,33.0,2.5,31.5,1.7,36.2,3.8,New Hampshire,null,null,null,null,null,null,33
0400000US34,35.0,0.2,34.6,0.4,35.4,0.3,New Jersey,null,null,null,null,null,null,34
0400000US35,36.4,3.3,33.9,2.0,41.3,5.0,New Mexico,null,null,null,null,null,null,35
0400000US36,35.6,0.2,35.2,0.2,35.9,0.3,New York,null,null,null,null,null,null,36
0400000US37,32.4,0.7,32.1,0.9,32.8,1.1,North Carolina,null,null,null,null,null,null,37
0400000US38,30.0,3.8,31.9,7.7,27.9,4.6,North Dakota,null,null,null,null,null,null,38
0400000US39,33.4,0.6,33.4,0.7,33.4,1.0,Ohio,null,null,null,null,null,null,39
0400000US40,32.7,1.4,31.4,0.8,34.9,2.3,Oklahoma,null,null,null,null,null,null,40
0400000US41,34.3,0.5,33.8,0.7,34.8,0.8,Oregon,null,null,null,null,null,null,41
0400000US42,33.4,0.4,33.2,0.6,33.6,0.5,Pennsylvania,null,null,null,null,null,null,42
0400000US44,30.3,2.1,27.7,3.8,31.6,2.7,Rhode Island,null,null,null,null,null,null,44
0400000US45,34.4,1.2,32.0,3.2,35.1,0.9,South Carolina,null,null,null,null,null,null,45
0400000US46,27.1,5.5,27.2,5.0,25.4,10.9,South Dakota,null,null,null,null,null,null,46
0400000US47,34.1,0.7,33.5,0.7,35.1,1.0,Tennessee,null,null,null,null,null,null,47
0400000US48,33.9,0.3,33.1,0.4,34.5,0.3,Texas,null,null,null,null,null,null,48
0400000US49,32.2,1.1,31.1,1.7,32.8,1.4,Utah,null,null,null,null,null,null,49
0400000US50,32.0,3.9,30.7,7.6,36.6,6.2,Vermont,null,null,null,null,null,null,50
0400000US51,34.4,0.4,33.0,0.5,36.0,0.5,Virginia,null,null,null,null,null,null,51
0400000US53,35.0,0.3,33.5,0.5,36.1,0.5,Washington,null,null,null,null,null,null,53
0400000US54,38.0,4.9,41.0,10.6,37.5,2.3,West Virginia,null,null,null,null,null,null,54
0400000US55,27.0,0.8,27.2,0.9,26.8,1.7,Wisconsin,null,null,null,null,null,null,55
0400000US56,39.3,13.0,39.3,11.4,41.0,24.0,Wyoming,null,null,null,null,null,null,56
0400000US72,35.0,5.2,37.7,6.3,29.5,4.5,Puerto Rico,null,null,null,null,null,null,72
