GEO_ID,B09002_001E,B09002_001M,B09002_002E,B09002_002M,B09002_003E,B09002_003M,B09002_004E,B09002_004M,B09002_005E,B09002_005M,B09002_006E,B09002_006M,B09002_007E,B09002_007M,B09002_008E,B09002_008M,B09002_009E,B09002_009M,B09002_010E,B09002_010M,B09002_011E,B09002_011M,B09002_012E,B09002_012M,B09002_013E,B09002_013M,B09002_014E,B09002_014M,B09002_015E,B09002_015M,B09002_016E,B09002_016M,B09002_017E,B09002_017M,B09002_018E,B09002_018M,B09002_019E,B09002_019M,B09002_020E,B09002_020M,NAME,B09002_001MA,B09002_001EA,B09002_002EA,B09002_002MA,B09002_003MA,B09002_003EA,B09002_004MA,B09002_004EA,B09002_005EA,B09002_005MA,B09002_006MA,B09002_006EA,B09002_007EA,B09002_007MA,B09002_008MA,B09002_008EA,B09002_009MA,B09002_009EA,B09002_010MA,B09002_010EA,B09002_011EA,B09002_011MA,B09002_012MA,B09002_012EA,B09002_013MA,B09002_013EA,B09002_014MA,B09002_014EA,B09002_015MA,B09002_015EA,B09002_016EA,B09002_016MA,B09002_017EA,B09002_017MA,B09002_018MA,B09002_018EA,B09002_019MA,B09002_019EA,B09002_020MA,B09002_020EA,state
0400000US01,927322,8299,621087,12178,95528,4000,65322,3844,33911,3387,210905,6367,215421,7837,306235,11298,44988,4844,6382,1383,5148,1451,1971,745,12886,2008,18601,3322,261247,10991,37493,3156,32631,3207,14395,2195,81613,4629,95115,7488,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,165019,2634,120468,4407,19611,1510,13324,1511,7311,1281,39596,2892,40626,2392,44551,4017,13613,2124,1705,665,1657,647,494,307,4783,1076,4974,1175,30938,3650,3958,1209,1994,582,1589,655,11427,1708,11970,1599,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1375999,12654,960187,18494,170346,6976,118814,5645,55959,3983,313739,9712,301329,8224,415812,16517,103443,8767,18440,3195,10278,1949,4945,1523,33599,4950,36181,4319,312369,15733,42165,3838,33707,3715,15461,2312,108928,8501,112108,6707,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,588499,6907,400974,10140,67723,3834,46771,3185,20224,2278,135452,6371,130804,5277,187525,8752,36940,4660,6184,1501,4201,1358,2385,888,10507,1935,13663,2228,150585,7692,20733,2607,16164,2059,6492,1474,49438,3141,57758,4704,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,8414913,26612,6172703,40880,1018686,14641,726548,13906,337781,11872,2038638,27123,2051050,25384,2242210,37497,566521,20986,95422,7025,62223,5635,30311,3233,183973,10186,194592,8894,1675689,35340,204231,10778,156641,7654,77076,5670,565299,15495,672442,18803,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1076693,8070,807471,15308,141996,4641,97122,4874,47271,3817,261215,6918,259867,7756,269222,14046,70458,8316,9088,1711,7565,3006,3362,1455,23472,3816,26971,3242,198764,10311,29036,3638,22705,2939,10571,2003,65458,5148,70994,5060,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,762289,6489,555331,8167,85212,3168,63886,3080,28063,2394,188749,4968,189421,6120,206958,8324,34468,4330,5346,1255,3065,1036,1539,682,10709,1948,13809,2605,172490,9524,20411,2794,15681,2694,9398,2039,54441,5024,72559,5745,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,173425,2923,119471,4422,19664,1619,13847,1345,6086,1014,40526,2740,39348,2342,53954,4536,10048,1745,1525,629,1227,555,806,509,2681,764,3809,967,43906,4197,6416,1436,5179,1265,1450,860,15451,1871,15410,2201,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,90046,3248,34886,2902,8399,1115,4237,1029,1901,650,9647,1489,10702,1608,55160,3680,7655,2480,1490,816,1215,602,617,453,1749,793,2584,1329,47505,4133,7405,1571,6426,1234,2167,615,16942,2220,14565,1981,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,3538752,18069,2382899,21492,393648,10414,270724,8415,128986,7343,784949,15222,804592,14078,1155853,24779,225508,13185,44584,4730,27776,3530,12750,2070,62908,5619,77490,6622,930345,24337,117049,7780,93617,7542,46420,4501,311075,11870,362184,14190,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
