GEO_ID,B13008_001E,B13008_001M,B13008_002E,B13008_002M,B13008_003E,B13008_003M,B13008_004E,B13008_004M,B13008_005E,B13008_005M,B13008_006E,B13008_006M,B13008_007E,B13008_007M,B13008_008E,B13008_008M,B13008_009E,B13008_009M,B13008_010E,B13008_010M,B13008_011E,B13008_011M,B13008_012E,B13008_012M,B13008_013E,B13008_013M,B13008_014E,B13008_014M,B13008_015E,B13008_015M,B13008_016E,B13008_016M,B13008_017E,B13008_017M,B13008_018E,B13008_018M,B13008_019E,B13008_019M,B13008_020E,B13008_020M,B13008_021E,B13008_021M,B13008_022E,B13008_022M,B13008_023E,B13008_023M,NAME,B13008_001EA,B13008_001MA,B13008_002EA,B13008_002MA,B13008_003EA,B13008_003MA,B13008_004MA,B13008_004EA,B13008_005MA,B13008_005EA,B13008_006EA,B13008_006MA,B13008_007EA,B13008_007MA,B13008_008EA,B13008_008MA,B13008_009EA,B13008_009MA,B13008_010MA,B13008_010EA,B13008_011MA,B13008_011EA,B13008_012EA,B13008_012MA,B13008_013EA,B13008_013MA,B13008_014EA,B13008_014MA,B13008_015MA,B13008_015EA,B13008_016MA,B13008_016EA,B13008_017EA,B13008_017MA,B13008_018EA,B13008_018MA,B13008_019EA,B13008_019MA,B13008_020EA,B13008_020MA,B13008_021MA,B13008_021EA,B13008_022MA,B13008_022EA,B13008_023EA,B13008_023MA,state
0400000US01,1137910,3989,67199,4840,41334,3624,39524,3501,1810,579,504,303,1306,510,25865,3271,24963,3170,902,652,50,82,852,651,1070711,6148,559171,8208,536114,7480,23057,2533,6799,1248,16258,2249,511540,7989,499418,8002,12122,2259,2963,758,9159,2219,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,169280,1528,9541,1571,6668,1283,6046,1216,622,351,328,278,294,217,2873,695,2834,691,39,72,39,72,0,233,159739,2101,84364,3106,75755,3030,8609,999,4585,864,4024,940,75375,3086,72852,3044,2523,827,959,353,1564,738,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1432827,3485,99993,5097,67222,4579,47049,3762,20173,2708,3371,1341,16802,2523,32771,3596,27422,3290,5349,1454,1262,660,4087,1329,1332834,6161,667384,11208,497516,9940,169868,6400,52575,3771,117293,6094,665450,11414,585452,11985,79998,5166,19308,2215,60690,5192,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,673963,3299,41858,2964,28079,2689,26561,2742,1518,576,145,141,1373,550,13779,2159,12729,1918,1050,990,71,98,979,985,632105,4591,341689,5867,320261,5654,21428,2047,3682,863,17746,1998,290416,6640,282375,6279,8041,1343,1309,461,6732,1323,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,9133497,9205,533931,12081,387626,10294,210398,7303,177228,7068,51583,3700,125645,6591,146305,8263,95783,5776,50522,5348,9806,2120,40716,4499,8599566,16848,4285573,28179,2374253,22659,1911320,23012,771706,15608,1139614,19287,4313993,30972,3288875,28332,1025118,23147,377430,13067,647688,19657,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1194777,3533,72113,5480,53128,4518,44250,4005,8878,1745,2153,765,6725,1430,18985,2649,16795,2563,2190,797,133,133,2057,782,1122664,6042,595729,8850,499264,8385,96465,4085,27006,2409,69459,3604,526935,9776,479253,9128,47682,4341,11968,2147,35714,3968,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,860004,2570,40981,3388,29095,2523,22667,2075,6428,1338,2293,731,4135,1042,11886,1999,10243,1820,1643,776,400,302,1243,724,819023,4590,415618,7241,338517,6646,77101,4425,33658,3134,43443,3241,403405,7391,361239,7301,42166,3998,18239,2837,23927,2827,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,211400,1481,10223,1579,7277,1431,5705,1310,1572,643,423,293,1149,594,2946,797,2630,737,316,244,58,98,258,230,201177,2061,102447,3293,88794,3603,13653,1537,4130,1038,9523,1415,98730,3506,92906,3286,5824,1414,1817,761,4007,1201,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,142319,1090,8824,1469,4674,965,3196,835,1478,620,0,286,1478,620,4150,1062,3610,985,540,389,0,286,540,389,133495,1752,36691,2702,28247,2369,8444,1443,2194,656,6250,1365,96804,2987,85034,3036,11770,1925,3866,1061,7904,1847,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,4181753,7873,228040,7684,147453,5434,102273,4909,45180,3424,13577,2042,31603,3075,80587,5549,65659,4664,14928,2883,3661,1168,11267,2777,3953713,9405,1940837,16430,1406260,15312,534577,11914,214844,7878,319733,9420,2012876,18177,1671546,15875,341330,10323,125512,6523,215818,9577,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
