GEO_ID,C17021_001E,C17021_001M,C17021_002E,C17021_002M,C17021_003E,C17021_003M,C17021_004E,C17021_004M,C17021_005E,C17021_005M,C17021_006E,C17021_006M,C17021_007E,C17021_007M,C17021_008E,C17021_008M,C17021_009E,C17021_009M,C17021_010E,C17021_010M,C17021_011E,C17021_011M,C17021_012E,C17021_012M,C17021_013E,C17021_013M,C17021_014E,C17021_014M,C17021_015E,C17021_015M,NAME,C17021_001EA,C17021_001MA,C17021_002EA,C17021_002MA,C17021_003MA,C17021_003EA,C17021_004MA,C17021_004EA,C17021_005MA,C17021_005EA,C17021_006MA,C17021_006EA,C17021_007EA,C17021_007MA,C17021_008EA,C17021_008MA,C17021_009MA,C17021_009EA,C17021_010MA,C17021_010EA,C17021_011MA,C17021_011EA,C17021_012EA,C17021_012MA,C17021_013EA,C17021_013MA,C17021_014MA,C17021_014EA,C17021_015MA,C17021_015EA,state
0400000US01,4429774,2525,754258,23298,572278,21994,189986,14831,382292,16985,47924,7638,334368,17269,181980,7626,3675516,23494,3198178,24774,2575875,29821,622303,26523,155450,11589,466853,22900,477338,11642,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,637581,1207,71266,6418,53652,6095,19379,4566,34273,4630,7632,2245,26641,4453,17614,2058,566315,6680,484239,8642,385347,9909,98892,7972,33276,4042,65616,7081,82076,4936,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,5802691,5462,824008,28218,640092,26948,281825,19227,358267,18424,68663,8539,289604,17548,183916,8728,4978683,28826,4201713,32426,3311958,37204,889755,32577,286762,20867,602993,23931,776970,19413,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2690029,2483,461842,16207,349680,15124,143953,10857,205727,13097,32179,5382,173548,12313,112162,5929,2228187,15989,1930532,18353,1561959,24273,368573,20509,107046,9471,261527,16655,297655,9074,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,35121550,12411,4673274,85899,3733876,84254,1801776,61902,1932100,55050,429054,23715,1503046,48094,939398,23756,30448276,87199,26290212,101161,20386577,115644,5903635,73654,2028915,57345,3874720,62022,4158064,45609,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,4549942,2666,504106,18664,350543,17902,154400,13638,196143,14405,36337,7334,159806,12239,153563,6342,4045836,19514,3361033,23289,2772849,30292,588184,23892,208498,16900,379686,17931,684803,14214,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,3383920,2408,281408,16801,197664,15001,65642,10029,132022,11417,15692,4351,116330,11422,83744,5782,3102512,16564,2657779,21027,2122287,22497,535492,19674,151961,12958,383531,17214,444733,12944,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,815074,1229,84811,6636,60759,6439,21038,4941,39721,5034,6261,2745,33460,5019,24052,2719,730263,6677,621500,8785,487466,11540,134034,9484,37698,5334,96336,7482,108763,5280,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,513137,1066,97617,7636,68846,7278,11060,3129,57786,6527,7663,2959,50123,6354,28771,2726,415520,7756,271133,9987,154653,9672,116480,9186,24921,5127,91559,7804,144387,6051,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,17308881,8459,2214381,48347,1601837,45221,627554,33014,974283,29464,172311,15097,801972,29643,612544,15596,15094500,50210,12634844,56996,9793859,61624,2840985,48823,819762,30473,2021223,43496,2459656,28230,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,8789109,4638,1266205,32470,975070,29831,313299,18864,661771,22594,103237,11077,558534,22143,291135,12293,7522904,32298,6505214,40537,5107309,45647,1397905,35225,385769,22750,1012136,29904,1017690,20631,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,1233771,1082,121418,9261,89652,9056,40281,6084,49371,6680,10794,2992,38577,6431,31766,2971,1112353,9358,983699,12050,776093,15036,207606,12114,62216,6945,145390,10561,128654,6385,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
