GEO_ID,B25043_001E,B25043_001M,B25043_002E,B25043_002M,B25043_003E,B25043_003M,B25043_004E,B25043_004M,B25043_005E,B25043_005M,B25043_006E,B25043_006M,B25043_007E,B25043_007M,B25043_008E,B25043_008M,B25043_009E,B25043_009M,B25043_010E,B25043_010M,B25043_011E,B25043_011M,B25043_012E,B25043_012M,B25043_013E,B25043_013M,B25043_014E,B25043_014M,B25043_015E,B25043_015M,B25043_016E,B25043_016M,B25043_017E,B25043_017M,B25043_018E,B25043_018M,B25043_019E,B25043_019M,NAME,B25043_001EA,B25043_001MA,B25043_002MA,B25043_002EA,B25043_003MA,B25043_003EA,B25043_004MA,B25043_004EA,B25043_005MA,B25043_005EA,B25043_006EA,B25043_006MA,B25043_007EA,B25043_007MA,B25043_008MA,B25043_008EA,B25043_009MA,B25043_009EA,B25043_010MA,B25043_010EA,B25043_011EA,B25043_011MA,B25043_012EA,B25043_012MA,B25043_013MA,B25043_013EA,B25043_014MA,B25043_014EA,B25043_015MA,B25043_015EA,B25043_016MA,B25043_016EA,B25043_017EA,B25043_017MA,B25043_018EA,B25043_018MA,B25043_019MA,B25043_019EA,state
0400000US01,1788692,9253,1261475,13183,1218872,14088,148872,6641,755084,9583,314916,5365,42603,3917,14471,2561,24429,2409,3703,932,527217,11869,450079,10489,185298,6685,203405,7248,61376,3398,77138,5760,43935,4341,29729,3552,3474,1374,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,233252,2012,147019,3283,144247,3207,17570,1694,107360,2894,19317,1127,2772,623,675,330,1815,530,282,169,86233,3244,81129,3397,34420,2356,41057,2666,5652,859,5104,1369,1798,786,2999,1101,307,231,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,2204013,9234,1502457,13503,1451429,12820,204314,6842,856074,10510,391041,6361,51028,3865,16179,2552,26856,2571,7993,1404,701556,12519,599597,12442,271306,8495,263037,10381,65254,3500,101959,6225,63187,4752,35935,3892,2837,905,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,1087542,7421,736825,11065,704007,11085,87901,4252,419920,8180,196186,4048,32818,2836,8409,1619,21222,2346,3187,829,350717,8790,284742,7568,110599,5063,134715,6169,39428,2388,65975,5020,37004,4082,26191,2497,2780,826,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,12097894,20853,7070138,36338,6997334,35627,777057,15398,4557038,33244,1663239,14255,72804,4430,21424,2393,44712,3409,6668,1595,5027756,31936,4736214,31158,1700702,21260,2485359,29034,550153,10973,291542,9916,164277,7428,110694,7291,16571,2798,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1819037,8199,1233695,10904,1208640,10809,191521,6559,789906,9263,227213,4125,25055,2402,9862,1571,13415,1740,1778,763,585342,11059,521346,10950,239103,8315,227160,6917,55083,3132,63996,5100,39583,4655,22674,2770,1739,516,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,1323838,6482,919943,9808,912190,9808,89984,4683,604931,8258,217275,4497,7753,1363,2645,764,4130,1128,978,510,403895,8863,376224,8079,119194,5661,187930,6995,69100,3422,27671,3504,14638,2337,11917,2648,1116,488,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,317640,2835,229860,4042,226979,4213,29225,2165,140751,3465,57003,1934,2881,884,1116,604,1589,603,176,149,87780,3942,82681,3787,35291,2516,36843,2839,10547,1431,5099,1208,3149,1000,1636,729,314,327,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,248213,2990,105518,3324,103760,3274,15846,1644,60634,2391,27280,1963,1758,590,1065,432,693,413,0,286,142695,3688,132655,3828,49232,2921,64812,2542,18611,1712,10040,1871,4643,1311,4496,1224,901,610,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,7048800,20625,4903949,29804,4780542,30057,480098,12508,2786490,21006,1513954,12646,123407,7779,37179,3608,70756,6475,15472,2512,2144851,23516,1848331,25147,684822,14505,892625,18617,270884,8001,296520,11534,164897,8531,119144,6976,12479,2531,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
