GEO_ID,B16005_001E,B16005_001M,B16005_002E,B16005_002M,B16005_003E,B16005_003M,B16005_004E,B16005_004M,B16005_005E,B16005_005M,B16005_006E,B16005_006M,B16005_007E,B16005_007M,B16005_008E,B16005_008M,B16005_009E,B16005_009M,B16005_010E,B16005_010M,B16005_011E,B16005_011M,B16005_012E,B16005_012M,B16005_013E,B16005_013M,B16005_014E,B16005_014M,B16005_015E,B16005_015M,B16005_016E,B16005_016M,B16005_017E,B16005_017M,B16005_018E,B16005_018M,B16005_019E,B16005_019M,B16005_020E,B16005_020M,B16005_021E,B16005_021M,B16005_022E,B16005_022M,B16005_023E,B16005_023M,B16005_024E,B16005_024M,B16005_025E,B16005_025M,B16005_026E,B16005_026M,B16005_027E,B16005_027M,B16005_028E,B16005_028M,B16005_029E,B16005_029M,B16005_030E,B16005_030M,B16005_031E,B16005_031M,B16005_032E,B16005_032M,B16005_033E,B16005_033M,B16005_034E,B16005_034M,B16005_035E,B16005_035M,B16005_036E,B16005_036M,B16005_037E,B16005_037M,B16005_038E,B16005_038M,B16005_039E,B16005_039M,B16005_040E,B16005_040M,B16005_041E,B16005_041M,B16005_042E,B16005_042M,B16005_043E,B16005_043M,B16005_044E,B16005_044M,B16005_045E,B16005_045M,NAME,B16005_001MA,B16005_001EA,B16005_002MA,B16005_002EA,B16005_003EA,B16005_003MA,B16005_004EA,B16005_004MA,B16005_005EA,B16005_005MA,B16005_006MA,B16005_006EA,B16005_007MA,B16005_007EA,B16005_008EA,B16005_008MA,B16005_009EA,B16005_009MA,B16005_010EA,B16005_010MA,B16005_011MA,B16005_011EA,B16005_012MA,B16005_012EA,B16005_013MA,B16005_013EA,B16005_014EA,B16005_014MA,B16005_015EA,B16005_015MA,B16005_016MA,B16005_016EA,B16005_017MA,B16005_017EA,B16005_018MA,B16005_018EA,B16005_019MA,B16005_019EA,B16005_020EA,B16005_020MA,B16005_021EA,B16005_021MA,B16005_022EA,B16005_022MA,B16005_023MA,B16005_023EA,B16005_024MA,B16005_024EA,B16005_025MA,B16005_025EA,B16005_026EA,B16005_026MA,B16005_027EA,B16005_027MA,B16005_028MA,B16005_028EA,B16005_029MA,B16005_029EA,B16005_030MA,B16005_030EA,B16005_031EA,B16005_031MA,B16005_032EA,B16005_032MA,B16005_033MA,B16005_033EA,B16005_034MA,B16005_034EA,B16005_035MA,B16005_035EA,B16005_036EA,B16005_036MA,B16005_037EA,B16005_037MA,B16005_038MA,B16005_038EA,B16005_039MA,B16005_039EA,B16005_040MA,B16005_040EA,B16005_041EA,B16005_041MA,B16005_042EA,B16005_042MA,B16005_043MA,B16005_043EA,B16005_044MA,B16005_044EA,B16005_045MA,B16005_045EA,state
0400000US01,4150183,2206,4031990,6728,3950638,7852,52364,4626,37896,3871,6501,1314,7467,1466,500,239,19939,2773,16702,2583,1413,616,1775,645,49,90,4329,975,3620,933,368,245,341,280,0,270,4720,1787,3961,1623,250,329,453,355,56,105,118193,6572,26889,3942,47606,3553,9242,1975,10431,1867,16238,2294,11695,2043,20733,3661,16396,3294,3377,1040,870,514,90,151,18352,2059,7202,1226,6549,1010,3794,1083,807,469,4613,2226,2637,1513,516,296,906,845,554,554,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,592520,830,558394,2369,502445,3962,11224,1643,9451,1659,1309,603,464,268,0,233,6146,1422,5361,1289,446,308,339,246,0,233,8650,1613,6212,1380,1720,909,662,369,56,93,29929,2212,23613,2071,4847,859,1347,282,122,72,34126,2311,9733,1634,4688,1295,2432,752,1314,625,388,227,554,398,4546,1317,3157,1110,1215,632,91,110,83,70,14503,1232,4806,1075,5327,1083,4057,1052,313,283,656,638,406,346,250,319,0,233,0,233,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,5370067,1271,4538803,20670,3787739,22899,569644,15810,464466,14422,69318,5110,27846,3034,8014,2609,43951,3477,37021,3201,4043,982,2887,943,0,291,16634,2046,14245,1870,1480,561,909,469,0,291,120835,5277,98222,5339,13255,2052,4926,1233,4432,1100,831264,20387,112150,6772,580472,17161,142183,8659,122847,8812,175805,9490,139637,8193,63501,6363,42351,4179,15060,2821,4570,1113,1520,734,57975,3778,27596,2813,19256,2610,9125,1629,1998,699,17166,3503,10080,2576,4380,1453,2203,1056,503,366,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2515066,2038,2414789,5573,2349977,7002,47711,4640,36235,4159,6714,1250,4430,1064,332,253,12754,2361,10515,2263,1405,556,834,396,0,260,3033,1037,2687,975,307,222,39,60,0,260,1314,590,1314,590,0,260,0,260,0,260,100277,5015,15777,2235,59611,3832,14790,2029,12316,1766,19785,2315,12720,2578,8796,1898,6649,1638,1582,726,517,364,48,75,13533,1815,5230,1283,4695,1293,3026,894,582,391,2560,1421,1579,851,570,599,0,260,411,485,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,32599457,3023,23062969,52232,17869811,56882,4135426,41419,3323431,41293,575871,18354,191316,9493,44808,4791,384792,12633,337454,11478,31369,3218,15248,2460,721,362,599199,14807,469242,13572,90515,5559,36585,3781,2857,1103,73741,6699,66649,6331,5108,1252,1750,765,234,218,9536488,52542,938466,21990,5056586,43590,1303054,20555,1159453,24171,1521067,27901,1073012,27140,993805,28672,591180,20785,224489,9463,129980,8370,48156,5294,2351022,25880,979755,18909,711908,18997,498267,15118,161092,8001,196609,12615,125613,9920,43599,4556,20221,3835,7176,2497,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,4223659,1774,3769397,11946,3434972,14033,259172,8847,202855,8404,32053,3946,19591,2777,4673,2062,46083,4878,40008,4772,3528,804,2547,740,0,274,20095,2441,15852,2111,2679,907,1395,627,169,264,9075,1728,7608,1640,978,639,489,346,0,274,454262,11968,70945,4365,256302,11504,60091,5053,65795,5869,77662,7741,52754,5990,57097,4736,39139,3817,12171,2187,4914,1297,873,584,53779,3697,23054,2975,17968,2438,10136,2204,2621,1093,16139,2844,10384,2441,3930,1170,1467,644,358,546,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,3183775,660,2764279,14819,2467436,15422,194547,8003,137757,7123,31099,3621,21377,3108,4314,1319,88199,5158,76037,4842,8137,1410,3681,918,344,415,10316,1972,7750,1747,1538,899,968,616,60,102,3781,1259,3172,1211,408,366,151,185,50,82,419496,14751,112037,6661,98431,7769,32159,3645,25493,3372,29736,4173,11043,2690,150545,9081,76231,5106,41060,3421,26800,3928,6454,2480,47579,3459,23636,2921,14993,2454,7870,1703,1080,545,10904,2112,7379,1633,2385,974,917,523,223,244,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,763189,304,700897,3707,660370,4392,26433,3188,18491,2758,4275,983,2617,695,1050,950,10552,1791,9195,1668,1036,564,321,294,0,262,1882,567,1650,524,32,51,160,150,40,65,1660,1273,1453,1267,45,76,162,189,0,262,62292,3706,14853,2306,20779,2333,3153,848,5663,1087,7122,1641,4841,1189,13795,2536,9765,1946,2420,763,1259,672,351,574,9414,1286,4327,932,3579,840,1421,592,87,113,3451,1311,2586,974,685,391,180,183,0,262,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,477395,429,410039,3749,384067,3831,15881,2130,12152,2153,2521,913,1153,550,55,91,7069,1275,5894,1129,478,305,697,520,0,286,2226,864,1594,700,585,394,47,92,0,286,796,446,737,429,0,286,59,95,0,286,67356,3881,18513,2602,26230,2143,10188,2158,5120,1601,6093,1246,4829,1429,11135,1940,8341,1489,1714,734,1017,595,63,106,6580,2035,4298,1670,1431,740,739,559,112,183,4898,1550,3001,1131,1266,562,385,340,246,234,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,16270161,3373,13080548,28710,11507953,32998,1267441,21693,996337,21184,163773,7600,88120,6626,19211,2927,243835,10588,204376,8969,27919,4745,10988,1563,552,311,36681,4123,29462,3750,4672,1203,2329,1014,218,300,24638,3521,22282,3388,1698,685,658,355,0,301,3189613,28570,633889,19939,1745490,19546,585630,14931,391201,11385,444826,12534,323833,13752,577059,18072,311752,12301,161248,9694,82849,6074,21210,3696,172245,7526,84054,5859,52508,3445,29864,3656,5819,1296,60930,6667,37357,4960,17047,2985,5114,1337,1412,986,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
