GEO_ID,B18020H_001E,B18020H_001M,B18020H_002E,B18020H_002M,B18020H_003E,B18020H_003M,B18020H_004E,B18020H_004M,B18020H_005E,B18020H_005M,B18020H_006E,B18020H_006M,B18020H_007E,B18020H_007M,B18020H_008E,B18020H_008M,B18020H_009E,B18020H_009M,B18020H_010E,B18020H_010M,B18020H_011E,B18020H_011M,B18020H_012E,B18020H_012M,B18020H_013E,B18020H_013M,B18020H_014E,B18020H_014M,B18020H_015E,B18020H_015M,B18020H_016E,B18020H_016M,B18020H_017E,B18020H_017M,B18020H_018E,B18020H_018M,B18020H_019E,B18020H_019M,B18020H_020E,B18020H_020M,B18020H_021E,B18020H_021M,B18020H_022E,B18020H_022M,B18020H_023E,B18020H_023M,B18020H_024E,B18020H_024M,B18020H_025E,B18020H_025M,B18020H_026E,B18020H_026M,B18020H_027E,B18020H_027M,B18020H_028E,B18020H_028M,B18020H_029E,B18020H_029M,B18020H_030E,B18020H_030M,B18020H_031E,B18020H_031M,NAME,B18020H_001MA,B18020H_001EA,B18020H_002MA,B18020H_002EA,B18020H_003EA,B18020H_003MA,B18020H_004EA,B18020H_004MA,B18020H_005EA,B18020H_005MA,B18020H_006MA,B18020H_006EA,B18020H_007MA,B18020H_007EA,B18020H_008EA,B18020H_008MA,B18020H_009EA,B18020H_009MA,B18020H_010EA,B18020H_010MA,B18020H_011MA,B18020H_011EA,B18020H_012MA,B18020H_012EA,B18020H_013MA,B18020H_013EA,B18020H_014EA,B18020H_014MA,B18020H_015EA,B18020H_015MA,B18020H_016MA,B18020H_016EA,B18020H_017MA,B18020H_017EA,B18020H_018MA,B18020H_018EA,B18020H_019EA,B18020H_019MA,B18020H_020EA,B18020H_020MA,B18020H_021MA,B18020H_021EA,B18020H_022MA,B18020H_022EA,B18020H_023MA,B18020H_023EA,B18020H_024MA,B18020H_024EA,B18020H_025EA,B18020H_025MA,B18020H_026EA,B18020H_026MA,B18020H_027MA,B18020H_027EA,B18020H_028MA,B18020H_028EA,B18020H_029MA,B18020H_029EA,B18020H_030EA,B18020H_030MA,B18020H_031EA,B18020H_031MA,state
0400000US01,2025941,3375,318794,9433,165748,7048,35273,3009,17238,2226,18035,2242,130475,5642,49559,3488,80916,4151,153046,5417,27685,2589,11350,1755,16335,2376,125361,4827,32625,2551,92736,4505,1707147,9359,834789,7192,326970,3661,248810,4727,78160,4365,507819,5856,452122,6039,55697,3722,872358,5636,335979,3422,202897,5533,133082,6024,536379,5046,370434,6735,165945,6186,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,298325,1404,37017,2519,20264,2114,3543,795,2406,732,1137,482,16721,1883,9074,1389,7647,1253,16753,1608,3668,855,1492,673,2176,602,13085,1433,5619,1106,7466,1185,261308,2728,133117,2368,47862,1129,33882,1433,13980,1369,85255,2041,72241,2517,13014,1505,128191,1735,46355,1018,30961,1614,15394,1555,81836,1473,61931,2092,19905,1715,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,2235895,3956,272419,9677,136006,6702,30950,3361,15621,2655,15329,2068,105056,5790,41862,3004,63194,4526,136413,6314,28349,3386,12204,2342,16145,2660,108064,5080,37408,3618,70656,3820,1963476,10798,968587,7255,362227,4386,283629,4885,78598,4568,606360,5534,520584,6712,85776,4407,994889,6883,361784,4112,244934,5735,116850,5358,633105,5269,450146,5921,182959,5722,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,1345603,2726,237950,8203,121761,4981,24966,2708,11707,1858,13259,1914,96795,4655,36870,3148,59925,3406,116189,5360,22610,2750,7603,1419,15007,2203,93579,4530,26796,2359,66783,4059,1107653,8817,544288,5190,220617,3483,172150,4520,48467,3812,323671,4917,284117,5056,39554,3017,563365,5634,220104,2978,145588,4149,74516,3536,343261,4552,256458,5296,86803,4397,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,10131114,8896,1154258,21710,572043,15004,113834,6887,53714,4138,60120,4730,458209,14108,191967,8636,266242,9546,582215,13334,98882,6615,39663,3622,59219,5329,483333,10160,164227,6127,319106,8656,8976856,23747,4485000,16564,1518644,9166,1091780,10987,426864,11291,2966356,14382,2561857,14784,404499,9465,4491856,14999,1532548,8552,981410,13491,551138,12465,2959308,10461,2109312,12999,849996,14651,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,2240146,3370,209522,6994,107685,5438,28024,3149,14864,2294,13160,2101,79661,4030,39564,2785,40097,3056,101837,4398,18951,2291,8466,1574,10485,1660,82886,3594,34721,2926,48165,3148,2030624,7363,1013236,6007,391764,3499,309653,4587,82111,4879,621472,4260,547373,4665,74099,3264,1017388,4873,389215,2989,277595,4602,111620,4593,628173,3898,477484,4831,150689,4716,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,1668377,2847,157066,6585,78479,5177,18476,2717,9042,1991,9434,2013,60003,4206,28207,2605,31796,3186,78587,4024,15950,2136,8168,1453,7782,1630,62637,3550,25962,2464,36675,2952,1511311,7035,742882,5253,232682,3147,171734,3945,60948,3288,510200,4385,450439,5347,59761,3937,768429,4383,232664,2968,157696,4159,74968,3869,535765,3593,408491,5160,127274,4593,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,373791,1568,44189,2765,21008,1858,5450,1202,2873,946,2577,874,15558,1508,6072,1028,9486,1292,23181,2104,5366,1200,2930,876,2436,897,17815,1781,6357,1307,11458,1594,329602,2943,162396,2088,57913,1281,45632,1662,12281,1319,104483,1671,91423,2121,13060,1453,167206,2324,58549,1504,41708,2101,16841,2329,108657,1820,81081,2467,27576,1901,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,120695,1065,5578,1086,2471,756,706,423,335,324,371,289,1765,572,1378,518,387,187,3107,785,1028,440,481,247,547,364,2079,607,867,367,1212,522,115117,1615,57646,1012,25149,599,21554,913,3595,872,32497,809,28949,1050,3548,764,57471,1053,29159,724,23842,1083,5317,854,28312,590,21849,940,6463,936,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,6616799,7988,848920,15283,421307,9513,76990,4653,37365,3206,39625,3833,344317,9314,137533,5855,206784,7543,427613,12050,71382,4512,35236,3462,36146,3320,356231,10277,121884,6631,234347,6976,5767879,15881,2835555,11121,980896,6571,741118,8042,239778,7379,1854659,9794,1594840,12616,259819,8716,2932324,12011,991701,5700,648781,7609,342920,8091,1940623,10480,1360814,13888,579809,11603,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
