GEO_ID,C08116_001E,C08116_001M,C08116_002E,C08116_002M,C08116_003E,C08116_003M,C08116_004E,C08116_004M,C08116_005E,C08116_005M,NAME,C08116_001MA,C08116_001EA,C08116_002MA,C08116_002EA,C08116_003EA,C08116_003MA,C08116_004EA,C08116_004MA,C08116_005EA,C08116_005MA,state
0400000US01,44419105,652629,9240460,316591,27704985,706206,6695650,339636,778010,78588,Alabama,null,null,null,null,null,null,null,null,null,null,01
0400000US02,5162820,195997,1178660,89523,3122625,150457,783020,85854,78515,23049,Alaska,null,null,null,null,null,null,null,null,null,null,02
0400000US04,61371165,700682,17103970,460006,33992135,569507,9375780,417538,899280,107082,Arizona,null,null,null,null,null,null,null,null,null,null,04
0400000US05,24524820,438859,4674735,201303,15417670,405180,3851195,199011,581220,95676,Arkansas,null,null,null,null,null,null,null,null,null,null,05
0400000US06,401283395,1656564,115879115,1432759,228440430,1709443,51208080,996016,5755770,274916,California,null,null,null,null,null,null,null,null,null,null,06
0400000US08,50335150,530139,13010700,421361,29841640,578747,6859645,302043,623165,75419,Colorado,null,null,null,null,null,null,null,null,null,null,08
0400000US09,39679895,535917,9691635,343981,24322245,509755,4963705,234054,702305,83815,Connecticut,null,null,null,null,null,null,null,null,null,null,09
0400000US10,9073205,243867,2201250,140206,5396285,207922,1303200,107922,172470,33658,Delaware,null,null,null,null,null,null,null,null,null,null,10
0400000US11,6985030,205364,3607400,188217,2247820,168213,967990,94497,161820,37099,District of Columbia,null,null,null,null,null,null,null,null,null,null,11
0400000US12,192589770,1324887,49142985,831050,107861385,1155693,32034570,609926,3550825,201703,Florida,null,null,null,null,null,null,null,null,null,null,12
0400000US13,107703750,1149334,26906855,685583,63595600,1080563,15282930,558874,1918365,187102,Georgia,null,null,null,null,null,null,null,null,null,null,13
0400000US15,14323135,313527,4349800,216771,8060695,302070,1659015,138428,253625,50517,Hawaii,null,null,null,null,null,null,null,null,null,null,15
0400000US16,12350715,312247,2662900,160165,7728770,247669,1812805,147912,146240,28496,Idaho,null,null,null,null,null,null,null,null,null,null,16
0400000US17,157222075,1465369,43939485,1078987,91442705,1111968,18746990,614540,3092895,202974,Illinois,null,null,null,null,null,null,null,null,null,null,17
0400000US18,61789500,671128,13883875,392218,37997590,634680,8809475,320990,1098560,88414,Indiana,null,null,null,null,null,null,null,null,null,null,18
0400000US19,25889715,383903,5989690,206969,16166820,357080,3353135,193238,380070,38771,Iowa,null,null,null,null,null,null,null,null,null,null,19
0400000US20,23546400,312893,5359920,219761,14589690,294989,3221415,148582,375370,55257,Kansas,null,null,null,null,null,null,null,null,null,null,20
0400000US21,38653290,566872,7872065,309745,24376810,502909,5749865,293852,654545,71112,Kentucky,null,null,null,null,null,null,null,null,null,null,21
0400000US22,45121045,716613,11445205,526184,25944080,619346,6687610,314121,1044150,152422,Louisiana,null,null,null,null,null,null,null,null,null,null,22
0400000US23,14243430,323062,3443290,192598,8549705,287385,2070805,125338,179635,31919,Maine,null,null,null,null,null,null,null,null,null,null,23
0400000US24,80326930,907202,22541980,597304,45366095,855686,11010130,397921,1408725,115000,Maryland,null,null,null,null,null,null,null,null,null,null,24
0400000US25,79140450,839222,23608560,561514,45263545,753929,9070175,385225,1198165,88569,Massachusetts,null,null,null,null,null,null,null,null,null,null,25
0400000US26,100192670,710171,25201350,462380,59838435,631199,13583725,370831,1569165,133240,Michigan,null,null,null,null,null,null,null,null,null,null,26
0400000US27,54902940,539051,14617090,346907,33369295,466593,6163300,237955,753250,79526,Minnesota,null,null,null,null,null,null,null,null,null,null,27
0400000US28,27214335,539502,6097995,292975,16151575,458281,4452090,302646,512675,62678,Mississippi,null,null,null,null,null,null,null,null,null,null,28
0400000US29,59367495,689856,13773180,383692,35973445,551315,8676075,311030,944795,67833,Missouri,null,null,null,null,null,null,null,null,null,null,29
0400000US30,7388730,208210,1611745,95567,4614275,183048,1062280,89316,100430,22461,Montana,null,null,null,null,null,null,null,null,null,null,30
0400000US31,15082995,259786,3496910,133655,9429695,211976,1917285,135451,239105,32182,Nebraska,null,null,null,null,null,null,null,null,null,null,31
