GEO_ID,B14001D_001E,B14001D_001M,B14001D_002E,B14001D_002M,B14001D_003E,B14001D_003M,B14001D_004E,B14001D_004M,B14001D_005E,B14001D_005M,B14001D_006E,B14001D_006M,B14001D_007E,B14001D_007M,NAME,B14001D_001EA,B14001D_001MA,B14001D_002MA,B14001D_002EA,B14001D_003EA,B14001D_003MA,B14001D_004MA,B14001D_004EA,B14001D_005MA,B14001D_005EA,B14001D_006EA,B14001D_006MA,B14001D_007EA,B14001D_007MA,state
0400000US01,37846,2251,12687,1862,1388,463,5018,988,1770,558,4511,1325,25159,1640,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,27386,1663,7800,1118,882,373,3415,693,2162,684,1341,619,19586,1256,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,123893,2399,40282,2513,2445,658,14036,1209,6204,954,17597,2035,83611,2312,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,23776,2061,7425,1707,557,281,1735,621,1545,607,3588,1263,16351,1964,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,4217048,14672,1263590,15561,114936,6883,421270,7072,245197,6279,482187,11178,2953458,15015,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,113254,3009,33923,2802,3512,919,10547,1393,6479,1276,13385,1634,79331,2218,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,104556,2016,29699,2349,3001,721,10992,958,6193,1176,9513,2213,74857,2425,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,21177,729,5319,741,660,274,2100,360,1123,366,1436,596,15858,663,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,15566,1303,3434,987,551,510,517,483,469,539,1897,643,12132,1105,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,356236,5526,102656,4699,10840,1878,38062,2633,18049,1804,35705,3046,253580,4574,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,230100,4368,64523,3578,9280,1845,25105,1968,10051,1259,20087,2520,165577,4140,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,505940,9089,103902,5479,9257,1642,37910,2994,22974,2436,33761,3082,402038,6857,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,14550,1383,3906,801,313,236,1675,524,586,330,1332,560,10644,1354,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,488636,4339,148772,3874,17014,1912,46497,2329,27302,1962,57959,3687,339864,4213,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,70169,2043,26507,2141,2489,716,7542,1224,2582,743,13894,1555,43662,2053,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,39481,1432,15673,1412,1749,695,4452,770,2224,583,7248,968,23808,1317,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,51025,1655,17216,1665,1876,569,4756,649,2989,684,7595,1490,33809,1781,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,33935,1862,10007,1220,1218,430,2985,701,1672,486,4132,733,23928,1730,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,56117,2152,16568,2286,1332,553,6355,1106,3427,1647,5454,1291,39549,2183,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,10632,1017,4153,975,360,328,1655,574,794,466,1344,542,6479,994,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,248194,3406,70981,3698,6454,1123,24914,1743,12944,1329,26669,2644,177213,3236,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,278906,3382,87041,3908,7636,1273,31722,2272,16156,1533,31527,3065,191865,3537,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,217513,2819,77551,3071,9858,1358,26416,1642,12264,1249,29013,2570,139962,2738,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,168853,3073,63722,2636,5365,864,26386,1342,14188,1414,17783,1910,105131,3126,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,20817,3024,7528,1637,179,165,3221,1092,1314,603,2814,987,13289,2135,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,75633,2412,24864,2336,2946,716,8247,1165,4053,750,9618,1684,50769,2073,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,5302,796,1867,653,206,175,410,209,471,324,780,392,3435,705,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US31,23578,1277,8624,1207,1040,454,2629,629,1191,423,3764,931,14954,1147,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
0400000US32,133080,2907,30950,2048,977,435,12364,1127,6518,985,11091,1191,102130,2758,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US33,21691,1315,6081,1264,778,306,1972,543,1255,620,2076,792,15610,980,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US34,593870,6035,168811,5473,21075,1959,64180,2629,32551,1923,51005,3633,425059,5604,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,null,null,34
0400000US35,21503,1548,5725,1001,366,233,1756,439,926,348,2677,788,15778,1255,New Mexico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,35
0400000US36,1195625,6312,327379,6287,33499,3473,116362,3567,62583,2623,114935,5198,868246,7440,New York,null,null,null,null,null,null,null,null,null,null,null,null,null,null,36
0400000US37,139868,3646,45814,2899,5769,1050,16442,1418,8346,1537,15257,1885,94054,3570,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US38,5019,992,1873,610,145,180,763,477,491,350,474,337,3146,740,North Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,38
0400000US39,155192,3312,47300,3122,5909,1033,14695,1576,8021,1212,18675,1846,107892,2783,Ohio,null,null,null,null,null,null,null,null,null,null,null,null,null,null,39
0400000US40,52023,2456,18616,1822,2191,798,5348,910,2874,671,8203,1411,33407,2056,Oklahoma,null,null,null,null,null,null,null,null,null,null,null,null,null,null,40
0400000US41,120443,2991,36556,2596,3359,984,10930,1360,7916,1168,14351,1883,83887,2727,Oregon,null,null,null,null,null,null,null,null,null,null,null,null,null,null,41
0400000US42,254691,3120,78676,3227,7971,1406,27717,1601,12738,1079,30250,2355,176015,3360,Pennsylvania,null,null,null,null,null,null,null,null,null,null,null,null,null,null,42
0400000US44,25648,1659,10169,1261,1020,471,3985,768,1705,652,3459,1030,15479,1241,Rhode Island,null,null,null,null,null,null,null,null,null,null,null,null,null,null,44
0400000US45,42643,2058,12774,1318,1902,489,4618,947,1588,493,4666,1045,29869,1663,South Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,45
