GEO_ID,B23008_001E,B23008_001M,B23008_002E,B23008_002M,B23008_003E,B23008_003M,B23008_004E,B23008_004M,B23008_005E,B23008_005M,B23008_006E,B23008_006M,B23008_007E,B23008_007M,B23008_008E,B23008_008M,B23008_009E,B23008_009M,B23008_010E,B23008_010M,B23008_011E,B23008_011M,B23008_012E,B23008_012M,B23008_013E,B23008_013M,B23008_014E,B23008_014M,B23008_015E,B23008_015M,B23008_016E,B23008_016M,B23008_017E,B23008_017M,B23008_018E,B23008_018M,B23008_019E,B23008_019M,B23008_020E,B23008_020M,B23008_021E,B23008_021M,B23008_022E,B23008_022M,B23008_023E,B23008_023M,B23008_024E,B23008_024M,B23008_025E,B23008_025M,B23008_026E,B23008_026M,B23008_027E,B23008_027M,NAME,B23008_001EA,B23008_001MA,B23008_002EA,B23008_002MA,B23008_003EA,B23008_003MA,B23008_004EA,B23008_004MA,B23008_005EA,B23008_005MA,B23008_006EA,B23008_006MA,B23008_007EA,B23008_007MA,B23008_008EA,B23008_008MA,B23008_009EA,B23008_009MA,B23008_010EA,B23008_010MA,B23008_011MA,B23008_011EA,B23008_012EA,B23008_012MA,B23008_013EA,B23008_013MA,B23008_014EA,B23008_014MA,B23008_015EA,B23008_015MA,B23008_016MA,B23008_016EA,B23008_017MA,B23008_017EA,B23008_018EA,B23008_018MA,B23008_019EA,B23008_019MA,B23008_020EA,B23008_020MA,B23008_021MA,B23008_021EA,B23008_022MA,B23008_022EA,B23008_023EA,B23008_023MA,B23008_024EA,B23008_024MA,B23008_025EA,B23008_025MA,B23008_026MA,B23008_026EA,B23008_027MA,B23008_027EA,state
0400000US01,999764,5410,330943,4718,197810,6123,105373,5463,80753,4897,6049,1403,5635,1126,133133,6152,17678,2339,15349,2278,2329,793,115455,6057,80457,5575,34998,4137,668821,6040,429002,10137,268476,9043,127357,7197,20104,2344,13065,2182,239819,9190,38883,4299,32892,4534,5991,1181,200936,8663,152498,8402,48438,5529,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,174419,2044,56898,2244,41291,2359,21478,2500,17459,2575,1317,517,1037,639,15607,2068,4318,1140,3560,1110,758,366,11289,1946,7656,1479,3633,1127,117521,2507,80973,3854,51528,4113,24252,3514,3366,1156,1827,605,36548,3125,11318,1980,9841,1952,1477,691,25230,2798,20936,2586,4294,1441,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1468489,9821,522804,7087,355107,10303,162937,8764,173321,8307,8933,1978,9916,1731,167697,7488,41000,4930,36331,4599,4669,1371,126697,7130,88802,5581,37895,4365,945685,8398,623501,12593,357493,10971,213885,10116,28519,4165,23604,4001,322184,11853,78139,7095,68066,6688,10073,2091,244045,11910,189830,10828,54215,6893,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,623675,4719,208407,3904,138582,4271,80510,5137,50866,4472,3207,1053,3999,1293,69825,4294,14718,2636,13904,2601,814,414,55107,3988,37459,3297,17648,3004,415268,5418,270129,8073,181018,7569,65606,5770,13018,2171,10487,2286,145139,6926,28055,3581,22205,2980,5850,1685,117084,5819,87956,5097,29128,4553,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,9045032,19783,3030537,17215,2168614,21779,1016040,20885,996750,22855,66084,6119,89740,6022,861923,17569,248443,13129,219334,12396,29109,4135,613480,17342,401394,14836,212086,12851,6014495,21204,4165752,35421,2310925,38758,1480474,27795,185097,11141,189256,10905,1848743,29002,448722,16131,391411,15462,57311,6196,1400021,26745,1056035,26295,343986,20136,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1116690,5970,392427,4908,289737,7367,153111,6172,118017,7190,9341,2260,9268,1781,102690,6983,23335,4553,21534,4427,1801,850,79355,5424,61331,4601,18024,2995,724263,5906,523650,10423,343919,9433,146127,6561,20755,3311,12849,2234,200613,9387,54534,5627,49208,5648,5326,1844,146079,7454,120694,6836,25385,4144,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,790871,5388,246198,3515,179470,4984,99366,4772,70057,4565,5820,1363,4227,1139,66728,4963,11998,2265,10795,2080,1203,664,54730,4572,39653,3284,15077,3317,544673,5145,381003,6526,255342,7908,101098,6325,14709,2610,9854,2068,163670,7300,28663,4240,24407,3662,4256,1612,135007,7943,107992,7159,27015,4287,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,183010,2039,61243,1859,40610,2647,25282,2140,13195,1608,882,460,1251,681,20633,2615,5049,1482,3819,1020,1230,1026,15584,2206,12166,2043,3418,1391,121767,2088,80112,3399,56792,3792,17831,2201,3754,1119,1735,708,41655,3205,7616,1403,6291,1391,1325,643,34039,3061,29924,3265,4115,1355,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,100701,2067,40045,1483,14537,1542,9028,1605,4764,1237,482,365,263,219,25508,1944,3731,1466,3026,1369,705,551,21777,2451,11669,2347,10108,2655,60656,1974,20601,2177,12947,2115,4938,1174,1117,599,1599,776,40055,3002,5573,1931,4019,1556,1554,821,34482,3207,25183,3026,9299,2153,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,3759682,12548,1257575,11194,812468,15852,436284,12955,324425,11384,25648,3579,26111,3375,445107,13270,101905,6833,89011,6731,12894,2863,343202,12545,256926,12332,86276,8250,2502107,12551,1607647,16760,1010626,17101,467140,17708,68833,6083,61048,5052,894460,17067,160597,10058,141353,9466,19244,2846,733863,18273,592598,17608,141265,10927,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
