GEO_ID,B07011_001E,B07011_001M,B07011_002E,B07011_002M,B07011_003E,B07011_003M,B07011_004E,B07011_004M,B07011_005E,B07011_005M,B07011_006E,B07011_006M,NAME,B07011_001MA,B07011_001EA,B07011_002MA,B07011_002EA,B07011_003MA,B07011_003EA,B07011_004EA,B07011_004MA,B07011_005EA,B07011_005MA,B07011_006EA,B07011_006MA,state
0400000US01,20494,226,21133,230,16745,686,17400,1675,16961,1284,20808,6910,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,26161,661,27485,1012,22284,1511,20072,6359,20296,3388,32465,17249,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,24528,248,25521,307,21849,606,21196,1665,21740,957,11472,2624,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,19509,321,20380,293,16077,694,15537,1141,17386,2049,10691,3161,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,25955,117,26607,133,23414,443,24400,1111,22926,1080,10402,1329,California,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,27233,277,29303,485,21542,599,22342,1424,22353,1378,15347,2843,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,31249,287,31618,309,27513,1777,35015,3120,27338,3711,17135,6245,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,27911,673,28679,836,24854,1367,31002,8945,26828,4455,7386,8361,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,31643,895,31767,988,30823,4292,-666666666,0,31908,3778,28671,7574,District of Columbia,null,null,null,null,null,null,-,**,null,null,null,null,11
0400000US12,23214,160,23689,172,21359,375,22613,831,22526,950,14809,1892,Florida,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,24762,245,25634,200,20568,564,22343,938,21264,924,18854,2358,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,13
