GEO_ID,C25093_001E,C25093_001M,C25093_002E,C25093_002M,C25093_003E,C25093_003M,C25093_004E,C25093_004M,C25093_005E,C25093_005M,C25093_006E,C25093_006M,C25093_007E,C25093_007M,C25093_008E,C25093_008M,C25093_009E,C25093_009M,C25093_010E,C25093_010M,C25093_011E,C25093_011M,C25093_012E,C25093_012M,C25093_013E,C25093_013M,C25093_014E,C25093_014M,C25093_015E,C25093_015M,C25093_016E,C25093_016M,C25093_017E,C25093_017M,NAME,C25093_001MA,C25093_001EA,C25093_002MA,C25093_002EA,C25093_003EA,C25093_003MA,C25093_004EA,C25093_004MA,C25093_005EA,C25093_005MA,C25093_006MA,C25093_006EA,C25093_007MA,C25093_007EA,C25093_008EA,C25093_008MA,C25093_009EA,C25093_009MA,C25093_010EA,C25093_010MA,C25093_011MA,C25093_011EA,C25093_012MA,C25093_012EA,C25093_013EA,C25093_013MA,C25093_014EA,C25093_014MA,C25093_015EA,C25093_015MA,C25093_016MA,C25093_016EA,C25093_017MA,C25093_017EA,state
0400000US01,1261475,13183,21774,2260,14566,2005,6974,1422,234,198,141569,6512,110202,5392,30174,2823,1193,486,779513,8886,614180,9130,158948,5881,6385,1165,318619,5358,248493,4783,68510,3508,1616,543,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,147019,3283,2090,682,1615,593,475,294,0,233,16155,1551,11045,1341,4999,1097,111,173,109175,2918,81673,2963,27107,2078,395,312,19599,1182,14421,1043,5111,957,67,114,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1502457,13503,30387,3318,17617,2681,12054,2290,716,409,190106,6185,124326,4805,64825,5075,955,464,882930,10935,638002,8852,238818,8290,6110,1643,399034,6221,301068,5497,95954,4009,2012,631,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,736825,11065,13861,2257,9267,1676,4550,1204,44,56,82449,3385,64275,3294,17908,2191,266,224,441142,8347,354712,7936,83602,4162,2828,774,199373,3976,156397,4109,42175,2509,801,374,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,7070138,36338,70121,5008,24457,2977,44416,3576,1248,647,728360,14943,338651,10308,386502,11883,3207,1216,4601750,33726,2703026,24714,1868665,23754,30059,3019,1669907,14559,1153505,14830,506288,9340,10114,1929,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1233695,10904,22038,2030,10723,1431,10996,1740,319,342,179345,6400,109919,4829,68380,4972,1046,503,803321,9245,554517,8923,245467,7132,3337,664,228991,4179,166457,3917,61357,3654,1177,509,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,919943,9808,6031,1233,2958,845,3073,941,0,274,86598,4582,55292,3290,30983,2843,323,270,609061,8449,426981,8516,180211,6461,1869,607,218253,4479,142181,4548,74845,3194,1227,512,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,229860,4042,3431,846,2473,759,958,525,0,262,26910,1956,19089,1855,7821,1348,0,262,142340,3460,109540,4072,32117,2432,683,350,57179,1962,43382,2143,13629,1424,168,167,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,105518,3324,594,330,123,104,351,250,120,156,16317,1703,11546,1487,4678,964,93,110,61327,2430,43026,2464,17801,1840,500,320,27280,1963,18694,1862,8360,1246,226,172,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,4903949,29804,61495,5106,25222,3067,34574,3633,1699,720,455782,10163,276021,7327,176373,6248,3388,1207,2857246,20549,1896206,20730,935548,15641,25492,2859,1529426,13151,1066180,12187,450307,10338,12939,1941,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,2218217,18944,36144,3692,21622,2808,14247,2543,275,202,307120,9155,216306,8365,89757,5599,1057,900,1448417,13198,1066007,12439,373236,9493,9174,1878,426536,6867,309639,6084,114523,4366,2374,715,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
