GEO_ID,C17002_001E,C17002_001M,C17002_002E,C17002_002M,C17002_003E,C17002_003M,C17002_004E,C17002_004M,NAME,C17002_001EA,C17002_001MA,C17002_002MA,C17002_002EA,C17002_003EA,C17002_003MA,C17002_004EA,C17002_004MA,state
0400000US01,4429774,2525,754258,23298,939663,26240,2735853,32850,Alabama,null,null,null,null,null,null,null,null,01
0400000US02,637581,1207,71266,6418,100569,8661,465746,9776,Alaska,null,null,null,null,null,null,null,null,02
0400000US04,5802691,5462,824008,28218,1209583,37061,3769100,37464,Arizona,null,null,null,null,null,null,null,null,04
0400000US05,2690029,2483,461842,16207,642937,19427,1585250,22020,Arkansas,null,null,null,null,null,null,null,null,05
0400000US06,35121550,12411,4673274,85899,6771003,98158,23677273,92068,California,null,null,null,null,null,null,null,null,06
0400000US08,4549942,2666,504106,18664,761372,21992,3284464,25981,Colorado,null,null,null,null,null,null,null,null,08
0400000US09,3383920,2408,281408,16801,390783,20054,2711729,21104,Connecticut,null,null,null,null,null,null,null,null,09
0400000US10,815074,1229,84811,6636,114987,8718,615276,10535,Delaware,null,null,null,null,null,null,null,null,10
0400000US11,513137,1066,97617,7636,82950,8162,332570,8872,District of Columbia,null,null,null,null,null,null,null,null,11
0400000US12,17308881,8459,2214381,48347,3445661,55587,11648839,56130,Florida,null,null,null,null,null,null,null,null,12
0400000US13,8789109,4638,1266205,32470,1629323,34475,5893581,39014,Georgia,null,null,null,null,null,null,null,null,13
0400000US15,1233771,1082,121418,9261,167197,10408,945156,14280,Hawaii,null,null,null,null,null,null,null,null,15
0400000US16,1388730,1860,192390,10253,309390,13512,886950,12595,Idaho,null,null,null,null,null,null,null,null,16
0400000US17,12400389,4298,1483873,37827,1983721,36377,8932795,48899,Illinois,null,null,null,null,null,null,null,null,17
0400000US18,6059510,4297,740371,25596,1067612,28638,4251527,32564,Indiana,null,null,null,null,null,null,null,null,18
0400000US19,2853572,1685,310230,11991,504125,13065,2039217,16109,Iowa,null,null,null,null,null,null,null,null,19
0400000US20,2651109,1850,309561,14163,495969,15161,1845579,16598,Kansas,null,null,null,null,null,null,null,null,20
0400000US21,4042777,2726,680151,19958,840880,20974,2521746,22661,Kentucky,null,null,null,null,null,null,null,null,21
0400000US22,4372948,2863,864277,27842,870298,25733,2638373,27486,Louisiana,null,null,null,null,null,null,null,null,22
0400000US23,1275738,1742,160627,8456,220235,9785,894876,11475,Maine,null,null,null,null,null,null,null,null,23
0400000US24,5438712,3873,448038,25532,677471,27098,4313203,31608,Maryland,null,null,null,null,null,null,null,null,24
0400000US25,6165256,3092,637043,18803,747100,21856,4781113,22567,Massachusetts,null,null,null,null,null,null,null,null,25
0400000US26,9830885,3902,1299688,29070,1573751,33864,6957446,37280,Michigan,null,null,null,null,null,null,null,null,26
0400000US27,4971644,2731,456642,17292,715704,19551,3799298,22823,Minnesota,null,null,null,null,null,null,null,null,27
0400000US28,2812795,2363,600288,17034,656813,22853,1555694,23940,Mississippi,null,null,null,null,null,null,null,null,28
0400000US29,5607978,2777,748023,24330,1035029,25833,3824926,27524,Missouri,null,null,null,null,null,null,null,null,29
0400000US30,907715,931,130441,9067,201391,9488,575883,10889,Montana,null,null,null,null,null,null,null,null,30
0400000US31,1702182,1182,186178,9209,314597,13300,1201407,15245,Nebraska,null,null,null,null,null,null,null,null,31
