GEO_ID,B01001B_001E,B01001B_001M,B01001B_002E,B01001B_002M,B01001B_003E,B01001B_003M,B01001B_004E,B01001B_004M,B01001B_005E,B01001B_005M,B01001B_006E,B01001B_006M,B01001B_007E,B01001B_007M,B01001B_008E,B01001B_008M,B01001B_009E,B01001B_009M,B01001B_010E,B01001B_010M,B01001B_011E,B01001B_011M,B01001B_012E,B01001B_012M,B01001B_013E,B01001B_013M,B01001B_014E,B01001B_014M,B01001B_015E,B01001B_015M,B01001B_016E,B01001B_016M,B01001B_017E,B01001B_017M,B01001B_018E,B01001B_018M,B01001B_019E,B01001B_019M,B01001B_020E,B01001B_020M,B01001B_021E,B01001B_021M,B01001B_022E,B01001B_022M,B01001B_023E,B01001B_023M,B01001B_024E,B01001B_024M,B01001B_025E,B01001B_025M,B01001B_026E,B01001B_026M,B01001B_027E,B01001B_027M,B01001B_028E,B01001B_028M,B01001B_029E,B01001B_029M,B01001B_030E,B01001B_030M,B01001B_031E,B01001B_031M,NAME,B01001B_001EA,B01001B_001MA,B01001B_002EA,B01001B_002MA,B01001B_003MA,B01001B_003EA,B01001B_004MA,B01001B_004EA,B01001B_005EA,B01001B_005MA,B01001B_006EA,B01001B_006MA,B01001B_007EA,B01001B_007MA,B01001B_008MA,B01001B_008EA,B01001B_009MA,B01001B_009EA,B01001B_010EA,B01001B_010MA,B01001B_011EA,B01001B_011MA,B01001B_012EA,B01001B_012MA,B01001B_013MA,B01001B_013EA,B01001B_014MA,B01001B_014EA,B01001B_015EA,B01001B_015MA,B01001B_016EA,B01001B_016MA,B01001B_017EA,B01001B_017MA,B01001B_018EA,B01001B_018MA,B01001B_019MA,B01001B_019EA,B01001B_020MA,B01001B_020EA,B01001B_021EA,B01001B_021MA,B01001B_022EA,B01001B_022MA,B01001B_023EA,B01001B_023MA,B01001B_024MA,B01001B_024EA,B01001B_025MA,B01001B_025EA,B01001B_026EA,B01001B_026MA,B01001B_027EA,B01001B_027MA,B01001B_028EA,B01001B_028MA,B01001B_029EA,B01001B_029MA,B01001B_030EA,B01001B_030MA,B01001B_031EA,B01001B_031MA,state
0400000US01,1144330,5190,519249,4008,45304,1599,45421,3384,50227,3612,29024,1235,17742,1532,43357,1859,36250,1988,30811,1709,68096,2110,71626,2216,42921,1404,23669,1240,12208,1084,2593,588,625081,3330,46750,1647,44933,3136,50733,3126,28426,1537,17647,1599,46868,1904,46629,1983,43159,2253,88799,2887,90511,1615,54302,1367,35805,1168,21169,1247,9350,1244,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,22103,850,10845,858,825,514,1051,545,1442,671,564,277,306,243,782,518,1078,585,719,439,2042,688,988,611,715,277,165,140,168,181,0,233,11258,823,1311,540,1233,407,1205,429,570,279,243,312,651,459,397,345,1346,564,2035,622,1340,594,419,248,241,218,161,174,106,147,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,180769,5229,93204,2930,7024,1284,7074,1628,9533,1739,5242,580,2708,558,7534,724,7020,754,8155,794,15028,842,11869,561,6433,710,3878,433,1230,366,476,339,87565,3467,6922,1170,6319,1173,9157,1353,4219,583,2834,860,6833,1083,6420,513,6806,625,12624,756,11686,859,6696,519,4444,402,1969,395,636,339,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,414260,5201,188432,3172,16608,1656,17323,1844,20199,1866,12207,1155,7674,1251,13143,1256,13342,1622,12130,1460,23472,1710,26064,1505,13746,895,7541,674,4020,773,963,332,225828,3578,17506,2047,19562,1973,18525,1930,11820,1138,6948,1056,17601,2127,17755,1910,15536,1416,32890,1896,29130,1594,16521,764,11544,826,7561,767,2929,725,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,2163530,16014,1028026,8448,88268,3534,78756,4063,111747,4318,61309,2377,33567,1701,70583,2359,61729,2102,63433,2228,155574,2949,140270,2006,84941,1673,50415,1181,21329,1352,6105,1162,1135504,9952,79039,2804,89353,6000,99943,5982,62686,1968,32267,1854,75262,2002,71360,2223,73363,1887,176607,2738,159549,1598,104930,1625,61995,1144,34034,1801,15116,1666,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,165729,3553,82968,2979,6999,1136,6884,1672,6692,1463,3819,844,3113,813,5738,929,5637,757,6672,714,13506,809,12008,1007,6411,641,3899,545,1439,429,151,232,82761,2535,5580,1000,7417,1360,7273,1346,3966,730,1828,755,6272,1024,7381,1042,6612,721,12843,709,11104,919,6144,574,3935,441,2002,466,404,323,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,309769,5164,142456,3149,12117,1031,11892,1760,15685,2007,8714,818,3887,490,10534,1100,10170,769,8948,817,21354,984,18831,1119,11043,436,5694,329,3452,319,135,159,167313,2820,11883,1102,12972,1872,13777,1660,8790,910,4406,442,11440,640,12295,630,11513,1057,27966,942,22350,1014,15812,484,8179,708,4049,819,1881,706,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,163052,1712,75234,1298,6734,599,7263,1241,6399,1253,4277,524,2832,593,5767,814,4678,572,4692,200,11399,184,9921,247,6073,158,3567,271,1320,248,312,227,87818,1276,7143,752,7192,1087,6371,1128,3763,582,2248,524,6544,463,6784,476,6024,664,14431,668,12424,294,7512,109,4394,220,2017,409,971,358,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,292445,2327,131760,1486,12231,271,9813,1223,11565,1220,6337,388,2731,574,4903,651,10756,274,8088,287,17630,224,18296,449,13802,518,8754,83,5201,579,1653,584,160685,1317,12010,263,9322,1197,11629,1201,6227,76,1104,409,5023,409,13914,310,10857,274,22262,375,24020,482,18110,342,12777,79,9822,729,3608,729,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,2613628,12771,1229215,8369,126849,3710,107978,5543,130392,6276,71639,2050,41676,1923,102010,2600,80642,2795,77402,2919,164978,3459,153585,2426,88233,1945,54264,1657,24666,1731,4901,997,1384413,7699,118371,3410,112059,5680,117557,6107,73014,2671,43317,2277,110293,2897,100093,2908,93113,2580,201707,3155,182436,2736,112896,1931,70808,1863,36490,2199,12259,1628,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
