GEO_ID,C23008_001E,C23008_001M,C23008_002E,C23008_002M,C23008_003E,C23008_003M,C23008_004E,C23008_004M,C23008_005E,C23008_005M,C23008_006E,C23008_006M,C23008_007E,C23008_007M,C23008_008E,C23008_008M,C23008_009E,C23008_009M,C23008_010E,C23008_010M,C23008_011E,C23008_011M,C23008_012E,C23008_012M,C23008_013E,C23008_013M,C23008_014E,C23008_014M,C23008_015E,C23008_015M,C23008_016E,C23008_016M,C23008_017E,C23008_017M,C23008_018E,C23008_018M,C23008_019E,C23008_019M,NAME,C23008_001EA,C23008_001MA,C23008_002MA,C23008_002EA,C23008_003MA,C23008_003EA,C23008_004MA,C23008_004EA,C23008_005MA,C23008_005EA,C23008_006EA,C23008_006MA,C23008_007EA,C23008_007MA,C23008_008MA,C23008_008EA,C23008_009MA,C23008_009EA,C23008_010MA,C23008_010EA,C23008_011EA,C23008_011MA,C23008_012EA,C23008_012MA,C23008_013MA,C23008_013EA,C23008_014EA,C23008_014MA,C23008_015MA,C23008_015EA,C23008_016MA,C23008_016EA,C23008_017EA,C23008_017MA,C23008_018EA,C23008_018MA,C23008_019EA,C23008_019MA,state
0400000US01,999764,5410,330943,4718,197810,6123,105373,5463,80753,4897,6049,1403,5635,1126,133133,6152,95806,5952,37327,4267,668821,6040,429002,10137,268476,9043,127357,7197,20104,2344,13065,2182,239819,9190,185390,9303,54429,5878,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,174419,2044,56898,2244,41291,2359,21478,2500,17459,2575,1317,517,1037,639,15607,2068,11216,1737,4391,1122,117521,2507,80973,3854,51528,4113,24252,3514,3366,1156,1827,605,36548,3125,30777,2920,5771,1623,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1468489,9821,522804,7087,355107,10303,162937,8764,173321,8307,8933,1978,9916,1731,167697,7488,125133,6412,42564,4388,945685,8398,623501,12593,357493,10971,213885,10116,28519,4165,23604,4001,322184,11853,257896,11261,64288,7108,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,623675,4719,208407,3904,138582,4271,80510,5137,50866,4472,3207,1053,3999,1293,69825,4294,51363,3940,18462,3058,415268,5418,270129,8073,181018,7569,65606,5770,13018,2171,10487,2286,145139,6926,110161,6037,34978,4675,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,9045032,19783,3030537,17215,2168614,21779,1016040,20885,996750,22855,66084,6119,89740,6022,861923,17569,620728,15903,241195,12851,6014495,21204,4165752,35421,2310925,38758,1480474,27795,185097,11141,189256,10905,1848743,29002,1447446,28399,401297,20303,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1116690,5970,392427,4908,289737,7367,153111,6172,118017,7190,9341,2260,9268,1781,102690,6983,82865,5714,19825,3219,724263,5906,523650,10423,343919,9433,146127,6561,20755,3311,12849,2234,200613,9387,169902,8912,30711,4604,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,790871,5388,246198,3515,179470,4984,99366,4772,70057,4565,5820,1363,4227,1139,66728,4963,50448,3613,16280,3413,544673,5145,381003,6526,255342,7908,101098,6325,14709,2610,9854,2068,163670,7300,132399,6673,31271,4075,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,183010,2039,61243,1859,40610,2647,25282,2140,13195,1608,882,460,1251,681,20633,2615,15985,2424,4648,1721,121767,2088,80112,3399,56792,3792,17831,2201,3754,1119,1735,708,41655,3205,36215,3416,5440,1425,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,100701,2067,40045,1483,14537,1542,9028,1605,4764,1237,482,365,263,219,25508,1944,14695,2398,10813,2663,60656,1974,20601,2177,12947,2115,4938,1174,1117,599,1599,776,40055,3002,29202,3069,10853,2203,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,3759682,12548,1257575,11194,812468,15852,436284,12955,324425,11384,25648,3579,26111,3375,445107,13270,345937,13900,99170,8310,2502107,12551,1607647,16760,1010626,17101,467140,17708,68833,6083,61048,5052,894460,17067,733951,16650,160509,11321,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
