GEO_ID,B18020_001E,B18020_001M,B18020_002E,B18020_002M,B18020_003E,B18020_003M,B18020_004E,B18020_004M,B18020_005E,B18020_005M,B18020_006E,B18020_006M,B18020_007E,B18020_007M,B18020_008E,B18020_008M,B18020_009E,B18020_009M,B18020_010E,B18020_010M,B18020_011E,B18020_011M,B18020_012E,B18020_012M,B18020_013E,B18020_013M,B18020_014E,B18020_014M,B18020_015E,B18020_015M,B18020_016E,B18020_016M,B18020_017E,B18020_017M,B18020_018E,B18020_018M,B18020_019E,B18020_019M,B18020_020E,B18020_020M,B18020_021E,B18020_021M,B18020_022E,B18020_022M,B18020_023E,B18020_023M,B18020_024E,B18020_024M,B18020_025E,B18020_025M,B18020_026E,B18020_026M,B18020_027E,B18020_027M,B18020_028E,B18020_028M,B18020_029E,B18020_029M,B18020_030E,B18020_030M,B18020_031E,B18020_031M,NAME,B18020_001EA,B18020_001MA,B18020_002EA,B18020_002MA,B18020_003EA,B18020_003MA,B18020_004MA,B18020_004EA,B18020_005MA,B18020_005EA,B18020_006MA,B18020_006EA,B18020_007EA,B18020_007MA,B18020_008EA,B18020_008MA,B18020_009MA,B18020_009EA,B18020_010MA,B18020_010EA,B18020_011MA,B18020_011EA,B18020_012EA,B18020_012MA,B18020_013EA,B18020_013MA,B18020_014MA,B18020_014EA,B18020_015MA,B18020_015EA,B18020_016MA,B18020_016EA,B18020_017MA,B18020_017EA,B18020_018EA,B18020_018MA,B18020_019EA,B18020_019MA,B18020_020MA,B18020_020EA,B18020_021MA,B18020_021EA,B18020_022MA,B18020_022EA,B18020_023EA,B18020_023MA,B18020_024EA,B18020_024MA,B18020_025MA,B18020_025EA,B18020_026MA,B18020_026EA,B18020_027MA,B18020_027EA,B18020_028MA,B18020_028EA,B18020_029MA,B18020_029EA,B18020_030MA,B18020_030EA,B18020_031MA,B18020_031EA,state
0400000US37,5485373,7055,757203,13145,364255,9247,83558,4599,39725,3538,43833,3443,280697,7888,109544,4905,171153,6640,392948,8895,69520,5073,26556,3400,42964,3224,323428,8092,101904,5102,221524,6811,4728170,14978,2320490,11757,976877,9240,736419,9064,240458,7925,1343613,8547,1167678,9499,175935,6472,2407680,9269,987766,6107,625771,8852,361995,9602,1419914,9317,1040981,10872,378933,9476,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US38,400862,1524,40907,2536,21000,1861,4972,1188,2958,957,2014,658,16028,1607,9027,1337,7001,998,19907,1724,3759,920,2211,760,1548,468,16148,1276,7288,999,8860,964,359955,2743,181220,2318,73940,1535,58766,1895,15174,1472,107280,1881,97182,2027,10098,1156,178735,1944,72491,1280,53781,1658,18710,1278,106244,1402,85573,1620,20671,1327,North Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,38
0400000US39,7284244,6066,966098,14602,466849,8418,120500,6453,54263,4518,66237,4433,346349,7555,130656,5356,215693,6437,499249,9490,109840,6055,42180,3509,67660,4635,389409,7969,127375,5067,262034,6860,6318146,14983,3107228,9243,1238673,7575,911711,8648,326962,9600,1868555,8846,1594470,10754,274085,8298,3210918,10329,1264743,8564,834643,10136,430100,10129,1946175,8612,1433326,11754,512849,9658,Ohio,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,39
0400000US40,2227286,4530,361145,9429,177329,5604,41901,3002,20428,2609,21473,2115,135428,4473,56745,3667,78683,4014,183816,6688,39028,3015,13806,1900,25222,2452,144788,5819,46978,3064,97810,5370,1866141,10387,914072,6349,400756,4084,300009,5086,100747,4749,513316,4516,449092,5202,64224,3795,952069,7779,405885,4783,247724,6700,158161,6172,546184,6241,394423,6500,151761,5133,Oklahoma,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,40
0400000US41,2359978,3554,311930,9954,154833,6707,38943,3668,19014,2471,19929,2598,115890,5224,50985,3746,64905,4234,157097,6552,36979,3594,15747,2304,21232,3115,120118,4921,42938,3281,77180,3786,2048048,10180,1023403,6499,425700,4578,316805,6659,108895,6008,597703,5424,512556,6237,85147,4387,1024645,7555,417652,5126,266378,7013,151274,5542,606993,4887,436305,5970,170688,5327,Oregon,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,41
0400000US42,7760620,5727,973492,15150,479671,9252,112076,6113,43014,3630,69062,4460,367595,8388,134647,5067,232948,8181,493821,10467,94709,5627,35609,2884,59100,4602,399112,8886,129607,5206,269505,8060,6787128,15106,3328128,9692,1270907,6833,906271,10875,364636,10429,2057221,8558,1772393,10316,284828,6655,3459000,10925,1288746,7015,844480,9965,444266,9229,2170254,9660,1598787,12265,571467,9676,Pennsylvania,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,42
0400000US44,674348,2575,87013,4941,41359,3070,10888,1788,5663,1441,5225,1331,30471,2396,12661,1685,17810,2039,45654,2981,8740,1705,3725,1140,5015,1222,36914,2339,11764,1821,25150,2054,587335,5431,285973,3481,110823,2465,84901,3313,25922,2333,175150,2265,152824,2860,22326,2230,301362,3167,116114,2110,80859,2832,35255,2843,185248,2581,145690,3938,39558,3053,Rhode Island,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,44
0400000US45,2690402,4194,401805,10012,190509,7020,42626,3735,18449,2689,24177,2785,147883,5067,48132,3870,99751,4983,211296,7209,38854,3382,13654,2208,25200,3030,172442,6435,47262,3220,125180,5721,2288597,10285,1108238,8021,462346,5060,340761,6510,121585,5570,645892,6156,551239,6638,94653,4392,1180359,7705,481083,4700,300704,6694,180379,6137,699276,6256,503596,8059,195680,6196,South Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,45
0400000US46,478509,1551,53177,3145,27097,2014,5805,1037,3342,722,2463,805,21292,1862,10610,1425,10682,1357,26080,1972,5764,1051,2821,743,2943,776,20316,1626,9820,1196,10496,1309,425332,3430,212235,2377,89219,1863,69843,2250,19376,1809,123016,2150,109429,2169,13587,1376,213097,2063,87265,1643,64319,2329,22946,2017,125832,1865,100867,2125,24965,1720,South Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,46
0400000US47,3857312,5535,622530,13035,299755,8194,70587,5422,30629,3168,39958,3779,229168,7086,81932,4534,147236,6313,322775,9370,62203,4454,20520,2465,41683,3761,260572,7867,69895,3780,190677,6746,3234782,14414,1590047,9003,663508,7307,489277,8296,174231,7077,926539,7320,804744,7911,121795,4791,1644735,9874,669014,5428,424811,7254,244203,7782,975721,8248,705111,8747,270610,6261,Tennessee,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,47
0400000US48,14417382,10884,1681099,22193,821923,16298,209682,9326,99828,6851,109854,6186,612241,13635,261110,9593,351131,10868,859176,15615,184495,8858,68013,5375,116482,6045,674681,12115,230993,8041,443688,9477,12736283,25016,6311737,18981,2838653,12408,2065301,16888,773352,15082,3473084,14860,3041854,18814,431230,11877,6424546,18920,2845331,9834,1602716,20020,1242615,21243,3579215,14107,2475092,19216,1104123,14135,Texas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,48
0400000US49,1551680,2477,167777,7772,85331,4477,31965,3208,20933,2863,11032,1844,53366,3338,30161,2789,23205,2476,82446,5171,25649,3267,12430,1964,13219,2103,56797,4031,21037,2423,35760,3327,1383903,7549,690869,4251,365108,3688,298476,4359,66632,3915,325761,3586,293010,4437,32751,2737,693034,5318,368586,3637,241106,5035,127480,4992,324448,4128,230220,4726,94228,4331,Utah,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49
0400000US50,410222,1157,52875,3203,27239,2357,5872,1157,2888,877,2984,895,21367,1998,9614,1307,11753,1438,25636,1920,6326,1220,2811,786,3515,939,19310,1622,8188,1273,11122,1186,357347,3434,174880,2641,63755,1338,46900,1934,16855,1785,111125,2095,99326,2098,11799,1325,182467,1964,62054,1452,44880,1699,17174,1570,120413,1489,96724,2034,23689,1657,Vermont,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,50
0400000US51,4823588,7718,531585,11586,258232,6899,59175,4262,29189,3064,29986,3026,199057,6035,88464,4926,110593,5548,273353,8737,52216,4105,20868,2525,31348,3341,221137,7482,73623,3737,147514,5889,4292003,13210,2086112,9675,830161,7666,626500,8513,203661,7681,1255951,7539,1104139,10102,151812,6400,2205891,9182,839374,6688,549814,7960,289560,8499,1366517,8274,1005024,9119,361493,6716,Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,51
0400000US53,4124279,5722,544482,11620,273678,8724,72294,5109,34595,3556,37699,3801,201384,6435,89729,4511,111655,5437,270804,8158,62682,4377,23050,3043,39632,3524,208122,6683,78112,4250,130010,5343,3579797,13604,1777595,10094,724816,6334,524534,7999,200282,6942,1052779,6726,901693,8570,151086,6837,1802202,8754,726002,5373,465125,7881,260877,8113,1076200,6431,768588,8563,307612,7882,Washington,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,53
0400000US54,1168648,2715,236443,7349,124559,4571,23061,2446,8213,1620,14848,1946,101498,4284,26888,2714,74610,3619,111884,4677,19425,2070,5224,1214,14201,1748,92459,4448,22317,2642,70142,3784,932205,7477,453104,4543,183464,3294,126323,4136,57141,3150,269640,4612,225312,4982,44328,3316,479101,5107,187565,3323,109932,3907,77633,3844,291536,4567,197514,5053,94022,4310,West Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,54
0400000US55,3563399,3629,377053,8464,188066,5521,48614,3025,24899,2260,23715,1762,139452,4700,63754,3033,75698,3974,188987,6227,41723,3566,21345,2638,20378,2186,147264,4778,55975,3157,91289,3802,3186346,9456,1593356,6632,629889,3947,478957,6196,150932,4959,963467,5112,835992,5898,127475,4063,1592990,7262,620091,4581,444681,6218,175410,6057,972899,5140,754569,6320,218330,5360,Wisconsin,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,55
0400000US56,334774,2040,42657,2844,22081,1932,5271,1212,3374,1048,1897,684,16810,1651,8753,1187,8057,1252,20576,1950,4912,1228,2370,783,2542,897,15664,1543,6889,1235,8775,1303,292117,3560,145744,2536,56728,2064,45906,2055,10822,1442,89016,1731,79433,2043,9583,1334,146373,2342,56392,1776,37650,2164,18742,1872,89981,1718,69963,2047,20018,1762,Wyoming,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,56
0400000US72,2473928,2665,527229,8937,248654,6287,60512,3958,19553,2847,40959,3246,188142,5354,50617,3257,137525,5181,278575,5817,51036,3457,13250,2103,37786,3252,227539,4921,45576,3464,181963,5114,1946699,9435,921127,6358,454489,4533,251389,5642,203100,6165,466638,5310,336700,6332,129938,4729,1025572,6288,490921,3845,200037,5527,290884,5704,534651,5033,264470,5588,270181,5957,Puerto Rico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,72
