GEO_ID,B17020G_001E,B17020G_001M,B17020G_002E,B17020G_002M,B17020G_003E,B17020G_003M,B17020G_004E,B17020G_004M,B17020G_005E,B17020G_005M,B17020G_006E,B17020G_006M,B17020G_007E,B17020G_007M,B17020G_008E,B17020G_008M,B17020G_009E,B17020G_009M,B17020G_010E,B17020G_010M,B17020G_011E,B17020G_011M,B17020G_012E,B17020G_012M,B17020G_013E,B17020G_013M,B17020G_014E,B17020G_014M,B17020G_015E,B17020G_015M,B17020G_016E,B17020G_016M,B17020G_017E,B17020G_017M,NAME,B17020G_001MA,B17020G_001EA,B17020G_002MA,B17020G_002EA,B17020G_003EA,B17020G_003MA,B17020G_004EA,B17020G_004MA,B17020G_005MA,B17020G_005EA,B17020G_006MA,B17020G_006EA,B17020G_007MA,B17020G_007EA,B17020G_008EA,B17020G_008MA,B17020G_009EA,B17020G_009MA,B17020G_010EA,B17020G_010MA,B17020G_011MA,B17020G_011EA,B17020G_012MA,B17020G_012EA,B17020G_013EA,B17020G_013MA,B17020G_014EA,B17020G_014MA,B17020G_015EA,B17020G_015MA,B17020G_016MA,B17020G_016EA,B17020G_017MA,B17020G_017EA,state
0400000US01,47161,4962,11292,1828,2295,877,375,201,2058,664,1129,548,5035,973,252,170,148,244,35869,4755,3631,934,758,452,5206,1876,3176,1020,19848,2467,1882,759,1368,598,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,44129,3858,4661,1264,912,595,79,69,822,472,600,370,2190,690,43,72,15,25,39468,3951,5805,1244,1306,538,6459,1052,6775,1582,17764,2264,612,309,747,386,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,137375,9169,24304,4707,6718,1925,1063,604,4028,1265,3862,1451,8313,1674,320,240,0,291,113071,7616,17838,2643,4743,1274,19314,2834,16911,2551,48983,3654,3803,1170,1479,618,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,38653,4706,10210,2114,2875,891,203,186,1658,947,971,464,3660,1039,451,287,392,333,28443,4163,4046,1534,575,332,4121,1431,2895,857,13662,2375,2500,733,644,340,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,1087970,24157,132018,10781,23917,4547,3415,1396,20701,2824,18946,2584,61642,4701,1728,545,1669,678,955952,22189,157851,7700,24513,2661,155730,8005,140610,7754,436323,12603,25637,2386,15288,1812,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,118181,7231,15072,2722,3130,975,526,281,2463,863,2685,1146,5498,1388,389,374,381,363,103109,7012,14747,2453,3309,1151,17428,2534,16242,2106,49030,4045,1553,644,800,402,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,56367,5242,13152,3677,2591,1186,358,363,2168,1024,1868,1190,5346,1837,464,602,357,459,43215,4067,8193,1503,1548,548,6958,1319,6372,1278,17813,2336,1430,610,901,444,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,11521,1934,1691,835,472,441,0,262,239,175,191,315,789,628,0,262,0,262,9830,1809,1839,574,252,203,1688,780,1203,429,4571,1066,185,165,92,102,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,276998,13727,47368,5118,9803,1861,1019,467,7707,2077,5802,1619,19157,2561,1756,881,2124,675,229630,12897,29173,2717,6231,1667,31169,3584,27857,4171,116536,8491,11137,2077,7527,1595,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
