GEO_ID,B14001_001E,B14001_001M,B14001_002E,B14001_002M,B14001_003E,B14001_003M,B14001_004E,B14001_004M,B14001_005E,B14001_005M,B14001_006E,B14001_006M,B14001_007E,B14001_007M,B14001_008E,B14001_008M,B14001_009E,B14001_009M,B14001_010E,B14001_010M,NAME,B14001_001MA,B14001_001EA,B14001_002EA,B14001_002MA,B14001_003EA,B14001_003MA,B14001_004MA,B14001_004EA,B14001_005EA,B14001_005MA,B14001_006MA,B14001_006EA,B14001_007MA,B14001_007EA,B14001_008EA,B14001_008MA,B14001_009EA,B14001_009MA,B14001_010MA,B14001_010EA,state
0400000US01,4272024,4428,1107450,10469,66709,4367,63281,4016,231873,7465,254471,7347,242869,5437,202964,6899,45283,3655,3164574,9887,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,612449,1478,186843,3767,11416,1490,10196,1271,40611,2379,42345,2437,45633,2011,29195,2868,7447,1362,425606,3557,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,5556247,6475,1554918,12593,83052,5654,85094,5189,339607,9731,340723,8818,339084,8316,302661,9972,64697,4521,4001329,13514,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2591202,3905,673553,8393,41169,2885,36337,2836,149480,5436,146687,4956,155963,4015,121174,6118,22743,2334,1917649,7964,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,33703118,14529,10281601,36706,588835,11708,524244,14145,2064723,22854,2210085,21595,2295771,15738,2147167,26717,450776,12337,23421517,35313,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,4363063,5065,1203115,11618,76369,4438,60681,3533,244623,5715,261727,6471,259795,5832,235960,7568,63960,4044,3159948,11206,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,3273182,3596,888842,8476,64871,3695,42609,2941,179310,5585,192959,5752,209209,4413,149244,5659,50640,4134,2384340,8346,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,786350,1406,199582,4584,14138,1742,10950,1455,41675,2416,43777,2991,42822,2291,36457,3515,9763,1387,586768,4450,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,492453,1362,120339,3510,7314,1315,6824,1313,21954,2050,24923,1748,23099,1832,18379,2347,17846,2222,372114,3502,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,16726000,10362,4228051,23111,279454,10687,222226,9192,869453,13790,912352,15311,945391,13322,841092,15403,158083,6311,12497949,23039,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,8402440,7989,2371083,16867,182067,7613,130664,5916,491405,9269,517874,11820,518231,7660,432082,12728,98760,5828,6031357,17277,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,1186072,2690,312471,5428,21469,2380,14402,1890,59871,3165,67079,3389,69394,2313,66994,3694,13262,1855,873601,4924,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,1334057,2430,366744,6152,17785,2008,19673,2003,76087,2824,82910,3734,85737,3100,72260,3548,12292,1654,967313,6015,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,11900575,8399,3411463,17134,238375,7487,176206,7083,686430,11980,738879,12070,729143,9684,659689,12716,182741,6803,8489112,16787,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,5840875,4853,1589614,11525,100196,6003,85467,4214,354785,6540,361429,6484,342323,5766,286616,7591,58798,3686,4251261,11013,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,2752744,2896,704615,7342,47427,2813,35610,2013,136667,4406,148673,3271,168530,3352,135113,5630,32595,3165,2048129,7179,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,2550214,3011,713998,7207,47649,2877,37513,2694,141543,3718,149286,4282,155956,3244,143887,4696,38164,3088,1836216,7589,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,3897108,5487,989574,10616,59580,4453,55530,3666,210504,6273,218208,5313,219347,5012,186505,8007,39900,3397,2907534,9478,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,4202321,5202,1180592,11354,84154,5095,67084,4043,246506,6809,257396,6892,259588,7059,224696,7668,41168,3404,3021729,11146,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,1242948,1955,296233,4992,14470,1566,14451,1659,56544,2411,66296,2810,73480,2042,56513,3172,14479,2042,946715,4786,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,5233344,5310,1483858,13970,93145,4796,68932,4815,283186,6806,329190,8377,331551,6484,283042,10080,94812,6156,3749486,12985,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,5948178,5221,1575699,15521,111109,4663,77562,4544,306665,6343,330372,7694,351849,6334,280091,11119,118051,6750,4372479,14222,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,9484973,6380,2712184,15242,154153,5867,133071,5751,544235,8674,589919,8618,614895,7457,548582,11735,127329,7315,6772789,14867,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,4790955,3799,1289951,9284,83674,3643,63476,3388,254875,5373,277266,5764,303401,4259,249189,7496,58070,3456,3501004,10227,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,2706313,4880,751432,9097,57677,4141,45723,3421,156591,5333,169227,5424,167628,4273,129730,6114,24856,2898,1954881,8324,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,5408293,4473,1396175,10955,92434,4597,69052,4026,289734,7366,310999,7046,316106,5328,255983,9202,61867,3866,4012118,10443,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,877258,1553,209317,4443,11844,1621,9279,1468,40845,1848,46915,2363,51249,2201,41247,2950,7938,1335,667941,4495,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US31,1633872,2589,445741,6353,29598,2806,23775,1634,89769,3081,91471,3152,100542,2780,87332,4175,23254,2766,1188131,6312,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
0400000US32,2277031,3904,584893,8791,22024,2499,31869,3066,135329,5403,142986,5219,128608,4132,101675,6344,22402,2962,1692138,8913,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US33,1229148,2228,318118,5232,18417,1862,13267,1460,66181,3192,74965,2930,75801,2264,54783,4181,14704,1940,911030,5482,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US34,8179460,7124,2275052,13436,185504,6718,117150,4868,460646,9842,492235,8696,509316,7805,398106,9374,112095,5098,5904408,13032,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,34
