GEO_ID,C09001_001E,C09001_001M,C09001_002E,C09001_002M,C09001_003E,C09001_003M,C09001_004E,C09001_004M,C09001_005E,C09001_005M,C09001_006E,C09001_006M,C09001_007E,C09001_007M,C09001_008E,C09001_008M,C09001_009E,C09001_009M,C09001_010E,C09001_010M,C09001_011E,C09001_011M,C09001_012E,C09001_012M,C09001_013E,C09001_013M,C09001_014E,C09001_014M,C09001_015E,C09001_015M,C09001_016E,C09001_016M,C09001_017E,C09001_017M,C09001_018E,C09001_018M,C09001_019E,C09001_019M,C09001_020E,C09001_020M,C09001_021E,C09001_021M,C09001_022E,C09001_022M,C09001_023E,C09001_023M,C09001_024E,C09001_024M,C09001_025E,C09001_025M,C09001_026E,C09001_026M,C09001_027E,C09001_027M,NAME,C09001_001MA,C09001_001EA,C09001_002MA,C09001_002EA,C09001_003EA,C09001_003MA,C09001_004EA,C09001_004MA,C09001_005EA,C09001_005MA,C09001_006MA,C09001_006EA,C09001_007MA,C09001_007EA,C09001_008EA,C09001_008MA,C09001_009EA,C09001_009MA,C09001_010EA,C09001_010MA,C09001_011MA,C09001_011EA,C09001_012MA,C09001_012EA,C09001_013EA,C09001_013MA,C09001_014EA,C09001_014MA,C09001_015EA,C09001_015MA,C09001_016EA,C09001_016MA,C09001_017MA,C09001_017EA,C09001_018EA,C09001_018MA,C09001_019EA,C09001_019MA,C09001_020EA,C09001_020MA,C09001_021EA,C09001_021MA,C09001_022MA,C09001_022EA,C09001_023EA,C09001_023MA,C09001_024EA,C09001_024MA,C09001_025EA,C09001_025MA,C09001_026EA,C09001_026MA,C09001_027EA,C09001_027MA,state
0400000US01,1085708,1478,1079751,2152,690539,11494,109274,4293,74728,3590,38648,3235,118030,5324,114311,4435,121042,6395,114506,4541,61966,6591,9257,1980,7259,1806,3252,1092,8345,1805,9591,1461,11235,2039,13027,2211,327246,11691,51524,3766,39620,3739,18089,2433,49000,4030,51381,4109,62208,5785,55424,3932,5957,1508,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,187498,326,185082,1144,129371,4469,21553,1481,14752,1524,7607,1318,21230,2091,19732,1878,22450,1909,22047,1296,16087,2339,1914,714,2152,865,508,312,2131,665,3372,907,2895,836,3115,901,39624,4304,5611,1392,2660,772,2265,789,7678,1590,7176,1240,6830,1273,7404,1077,2416,1085,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1573888,1004,1560782,2638,1054755,19546,189690,7219,130853,5967,61771,4356,172096,7671,169046,6391,174464,7780,156835,4404,128747,10363,24008,3875,12715,2212,6276,1613,19849,2825,20353,3104,23156,3125,22390,2657,377280,17672,59112,5419,41455,4087,18382,2380,61760,5465,63846,5347,65250,5360,67475,4279,13106,2568,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,672334,1377,666414,2147,439718,10152,74776,3735,50534,3283,22473,2506,74941,4756,73335,3509,71402,3878,72257,2760,44777,5229,7407,1467,4762,1411,3018,1161,6660,1394,6248,1407,8438,1642,8244,1575,181919,9162,27823,3168,20136,2454,7893,1523,30696,3051,27488,2084,34638,3587,33245,2738,5920,1597,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,9655142,2156,9588268,7761,6768595,41496,1152685,16041,804134,14025,370829,11284,1077678,18848,1139524,18923,1155168,20108,1068577,12306,742570,24216,127298,7937,83447,5922,39813,3334,109627,6951,125078,8631,123908,6641,133399,6384,2077103,40577,289010,12002,210955,9315,97133,6007,320849,11863,355710,12207,409018,14348,394428,11684,66874,7600,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1176163,1418,1168045,2830,855868,15286,151712,4608,103515,4856,49764,3834,135070,4757,138925,5086,143879,6229,133003,3688,85900,10120,11244,2195,8726,3078,4007,1522,14310,2977,15845,3617,14559,2320,17209,2398,226277,11209,35594,3730,25892,3122,12434,2015,37808,3785,34875,3539,41290,4030,38384,3131,8118,2428,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,830890,808,825380,2100,586366,8566,90019,3491,66744,3232,30021,2522,97151,4330,102567,3991,102790,4862,97074,3540,41999,4922,7033,1601,4013,1183,1677,703,6258,1068,6690,1574,7211,1514,9117,1754,197015,9314,24422,2925,18419,2869,11107,2123,29458,3163,30994,3426,40763,4130,41852,3328,5510,1789,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,195463,352,193513,1008,128487,4606,21406,1668,14687,1381,6353,1070,21355,2426,22122,1831,20671,1722,21893,1465,14140,2467,2676,884,2006,822,1064,588,2049,764,1377,463,2857,869,2111,637,50886,4354,8050,1503,6345,1360,1810,889,8224,1441,8886,1404,8680,1387,8891,1447,1950,934,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,111539,97,110289,838,39574,3246,10349,1383,4961,1133,2318,710,4394,943,5585,1484,5995,1116,5972,1014,9323,2750,1557,826,1514,665,772,500,759,493,1205,527,2144,1148,1372,580,61392,3695,10363,1663,8247,1308,2578,705,10916,1526,9899,1479,11281,1620,8108,998,1250,832,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,4046850,2220,4002629,7308,2588704,23204,433630,10508,298171,8975,141626,7789,423993,12312,414650,11662,447221,10323,429413,8725,281923,14274,51201,5087,34934,3811,15823,2482,40346,3780,37599,3769,46675,4993,55345,4572,1132002,23896,166202,9205,117189,7907,56336,4718,173643,8204,191858,8020,213423,8687,213351,7837,44221,7123,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
