GEO_ID,C24040_001E,C24040_001M,C24040_002E,C24040_002M,C24040_003E,C24040_003M,C24040_004E,C24040_004M,C24040_005E,C24040_005M,C24040_006E,C24040_006M,C24040_007E,C24040_007M,C24040_008E,C24040_008M,C24040_009E,C24040_009M,C24040_010E,C24040_010M,C24040_011E,C24040_011M,C24040_012E,C24040_012M,C24040_013E,C24040_013M,C24040_014E,C24040_014M,C24040_015E,C24040_015M,C24040_016E,C24040_016M,C24040_017E,C24040_017M,C24040_018E,C24040_018M,C24040_019E,C24040_019M,C24040_020E,C24040_020M,C24040_021E,C24040_021M,C24040_022E,C24040_022M,C24040_023E,C24040_023M,C24040_024E,C24040_024M,C24040_025E,C24040_025M,C24040_026E,C24040_026M,C24040_027E,C24040_027M,C24040_028E,C24040_028M,C24040_029E,C24040_029M,C24040_030E,C24040_030M,C24040_031E,C24040_031M,C24040_032E,C24040_032M,C24040_033E,C24040_033M,C24040_034E,C24040_034M,C24040_035E,C24040_035M,C24040_036E,C24040_036M,C24040_037E,C24040_037M,C24040_038E,C24040_038M,C24040_039E,C24040_039M,C24040_040E,C24040_040M,C24040_041E,C24040_041M,C24040_042E,C24040_042M,C24040_043E,C24040_043M,C24040_044E,C24040_044M,C24040_045E,C24040_045M,C24040_046E,C24040_046M,C24040_047E,C24040_047M,C24040_048E,C24040_048M,C24040_049E,C24040_049M,C24040_050E,C24040_050M,C24040_051E,C24040_051M,C24040_052E,C24040_052M,C24040_053E,C24040_053M,C24040_054E,C24040_054M,C24040_055E,C24040_055M,NAME,C24040_001EA,C24040_001MA,C24040_002EA,C24040_002MA,C24040_003MA,C24040_003EA,C24040_004MA,C24040_004EA,C24040_005MA,C24040_005EA,C24040_006EA,C24040_006MA,C24040_007EA,C24040_007MA,C24040_008MA,C24040_008EA,C24040_009MA,C24040_009EA,C24040_010MA,C24040_010EA,C24040_011EA,C24040_011MA,C24040_012EA,C24040_012MA,C24040_013MA,C24040_013EA,C24040_014MA,C24040_014EA,C24040_015MA,C24040_015EA,C24040_016MA,C24040_016EA,C24040_017EA,C24040_017MA,C24040_018EA,C24040_018MA,C24040_019MA,C24040_019EA,C24040_020MA,C24040_020EA,C24040_021EA,C24040_021MA,C24040_022EA,C24040_022MA,C24040_023EA,C24040_023MA,C24040_024MA,C24040_024EA,C24040_025MA,C24040_025EA,C24040_026EA,C24040_026MA,C24040_027MA,C24040_027EA,C24040_028EA,C24040_028MA,C24040_029EA,C24040_029MA,C24040_030EA,C24040_030MA,C24040_031EA,C24040_031MA,C24040_032EA,C24040_032MA,C24040_033EA,C24040_033MA,C24040_034EA,C24040_034MA,C24040_035EA,C24040_035MA,C24040_036EA,C24040_036MA,C24040_037EA,C24040_037MA,C24040_038MA,C24040_038EA,C24040_039MA,C24040_039EA,C24040_040EA,C24040_040MA,C24040_041EA,C24040_041MA,C24040_042MA,C24040_042EA,C24040_043MA,C24040_043EA,C24040_044MA,C24040_044EA,C24040_045MA,C24040_045EA,C24040_046EA,C24040_046MA,C24040_047EA,C24040_047MA,C24040_048MA,C24040_048EA,C24040_049MA,C24040_049EA,C24040_050MA,C24040_050EA,C24040_051EA,C24040_051MA,C24040_052EA,C24040_052MA,C24040_053MA,C24040_053EA,C24040_054MA,C24040_054EA,C24040_055MA,C24040_055EA,state
0400000US01,1347557,15590,796908,10215,21185,2573,14093,1928,7092,1727,92370,6043,184297,7477,47957,4348,86279,4874,69780,4612,47748,3831,22032,2432,15688,2149,35162,2970,23240,2507,11922,1905,61853,4113,37802,3268,265,202,23786,2833,64125,4244,29743,3454,34382,2819,30751,3341,6460,1235,24291,3207,34919,2935,52542,3531,550649,10328,4078,1452,3510,1232,568,433,9658,1633,69859,4853,13005,1994,70700,4762,14243,1822,8906,1464,5337,1083,12029,1542,54827,3560,43779,2963,11048,2006,40318,3026,29617,2638,344,342,10357,1576,175457,6836,52198,4002,123259,6018,29712,3132,3872,948,25840,3242,21457,2279,35306,2656,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,169259,5218,97707,3843,4373,757,1723,551,2650,584,12156,1624,2575,788,3732,1113,11053,1859,12225,1678,10240,1525,1985,662,3728,991,4635,960,2211,643,2424,856,8122,1220,5430,996,0,233,2692,768,10430,1801,3983,903,6447,1375,4436,1067,1060,523,3376,918,4627,1049,15615,2077,71552,2858,1209,547,567,318,642,411,1856,718,585,283,721,351,9051,1516,3900,907,2932,721,968,515,2475,641,5360,1197,3849,906,1511,750,5049,953,3612,718,50,82,1387,492,20286,1960,4858,1180,15428,1897,6017,1201,1416,660,4601,1053,3919,884,11124,1652,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1708760,17291,1043413,13134,17152,2298,10844,2109,6308,1353,184935,8184,130359,5859,49934,4613,110997,5667,69214,3954,51159,3700,18055,1990,17780,2139,74071,4788,41995,3411,32076,3801,117645,6373,62174,5006,826,651,54645,4389,87355,5715,38687,3302,48668,4416,73214,6036,21119,2705,52095,5454,40826,3789,69931,4448,665347,10890,3652,981,2982,907,670,313,16312,1875,43376,3987,15749,1965,75219,6106,21978,2338,18692,2285,3286,749,15799,2990,85293,5644,62799,4345,22494,2867,64879,4587,39509,3320,570,376,24800,3409,186192,7759,53832,4241,132360,7450,58616,4438,13353,1719,45263,4169,28864,3857,49418,3898,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,804895,11325,468566,7235,22398,2399,20193,2195,2205,770,57714,3959,108660,5777,25126,2862,52053,3546,43622,3263,33179,2839,10443,1636,10697,2091,15888,1941,10265,1343,5623,1270,29853,3065,16163,2217,997,747,12693,2033,38088,3489,15803,2193,22285,2697,17415,2292,3134,936,14281,2096,22185,2541,24867,2489,336329,7540,2886,718,2777,732,109,122,3680,823,48840,2966,9805,1766,40801,2857,11605,1991,9642,1805,1963,608,5442,1157,33634,2732,26318,2459,7316,1316,18272,2126,11484,1504,597,317,6191,1356,110977,4247,32807,2816,78170,3704,17935,2644,1916,804,16019,2602,11754,1732,20698,2156,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,10069503,47230,6209031,31312,140519,7609,124979,7193,15540,2227,748685,18653,994956,19202,344816,13967,629085,16367,411897,12386,341969,11586,69928,5027,210131,8711,414283,11323,261572,8844,152711,7993,816862,17109,496187,12427,2892,913,317783,12082,511441,12599,228483,9081,282958,9455,396752,13022,107539,7254,289213,11076,262235,10641,327369,11492,3860472,31577,27994,3626,26723,3632,1271,487,67561,5017,406216,12716,134767,6837,399367,13247,118903,6305,95999,6054,22904,3438,122321,6920,430227,12060,316033,10236,114194,6137,435766,13070,306705,9575,3391,871,125670,8129,1013778,16883,304364,10122,709414,15307,256684,8214,70167,4570,186517,7374,192523,8937,254365,9701,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1473240,14805,891887,10214,27252,2827,17551,2166,9701,1759,130051,6273,100281,4668,44815,3512,95402,5350,59711,4669,46698,4025,13013,2089,35057,3347,61545,4452,37817,3487,23728,2838,127197,6580,84742,4454,269,203,42186,5004,67812,4412,34136,3192,33676,2853,56985,5055,13316,2013,43669,4446,35105,3003,50674,3714,581353,10436,5113,1162,3643,1061,1470,566,14179,2090,37762,3081,15806,1905,64132,4646,20053,2695,16360,2484,3693,864,25081,2660,69090,3999,52596,3330,16494,2103,70586,4378,49685,3645,218,184,20683,2199,152734,6509,53502,3867,99232,4958,44496,4228,9712,2181,34784,3409,28551,2836,33770,2807,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,1100977,13863,647346,9983,2844,921,2235,749,609,405,68129,4730,129957,5355,30574,2798,61623,4598,36016,3043,27322,2697,8694,1604,21841,2577,69780,4242,57209,3513,12571,1871,70682,4221,47150,3352,818,363,22714,2968,62963,3990,30114,2797,32849,3591,34886,3226,13424,1946,21462,2414,23790,2821,34261,3305,453631,8807,915,427,726,371,189,173,5404,1157,47344,3356,14173,1988,39040,2842,11757,2161,8684,1997,3073,849,15442,2214,68192,4040,57506,3933,10686,2047,42462,3907,29120,3032,749,365,12593,2089,146587,5531,44133,3246,102454,4498,23027,2630,8395,1538,14632,2159,18020,2305,21268,2934,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,275375,5684,156958,4015,3769,1017,3769,1017,0,262,21480,2018,24529,2186,8325,1496,15655,2067,11172,1584,9040,1534,2132,729,2835,842,16166,2345,12259,2056,3907,1122,15553,2309,9939,1886,289,218,5325,1267,14323,1862,7115,1516,7208,1220,6141,1402,2133,874,4008,974,6665,1265,10345,1647,118417,3953,552,364,552,364,0,262,1694,518,11161,1586,1707,693,10976,1553,2806,850,2332,765,474,395,1648,573,17317,1866,15684,1838,1633,605,11995,1934,7299,1188,190,172,4506,1551,39611,3150,9819,1417,29792,2923,5139,1003,959,418,4180,963,5760,1270,8051,1459,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,178674,4297,92661,3568,132,127,132,127,0,286,5575,1302,1951,826,1072,497,3824,1139,3813,952,3355,1008,458,358,4797,1157,7003,1459,3868,1104,3135,904,22214,2376,18414,2177,0,286,3800,960,11826,1552,6702,1412,5124,1080,9046,1616,1975,715,7071,1450,6151,1035,15257,1837,86013,3287,34,55,0,286,34,55,356,333,1408,556,120,156,3067,980,1407,567,1281,542,126,147,4587,1115,6275,1272,4524,1018,1751,694,18834,1993,14696,1739,0,286,4138,1007,18385,2153,8083,1293,10302,1808,5339,1175,1832,642,3507,1004,8119,1337,18082,2197,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,5260562,30169,3092712,22769,44488,5712,39246,5209,5242,1480,515308,16056,277579,8232,176654,9069,353693,10821,229639,7905,187740,7390,41899,3919,83762,5605,235260,8872,137622,6906,97638,6459,370145,11817,197712,8542,1687,702,170746,9462,240821,9121,99802,4972,141019,7542,243881,9562,73726,5718,170155,8656,135190,7048,186292,7230,2167850,17900,10054,2201,9503,2124,551,385,60768,5316,103219,6243,62880,5728,258918,10661,70263,5336,60183,5032,10080,1516,55139,4371,265732,8833,188801,6726,76931,5909,243860,8658,148165,6921,1740,785,93955,6721,616493,13046,164467,6662,452026,12052,188697,10019,39446,3920,149251,8427,97814,5917,134013,5812,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
