GEO_ID,B14004_001E,B14004_001M,B14004_002E,B14004_002M,B14004_003E,B14004_003M,B14004_004E,B14004_004M,B14004_005E,B14004_005M,B14004_006E,B14004_006M,B14004_007E,B14004_007M,B14004_008E,B14004_008M,B14004_009E,B14004_009M,B14004_010E,B14004_010M,B14004_011E,B14004_011M,B14004_012E,B14004_012M,B14004_013E,B14004_013M,B14004_014E,B14004_014M,B14004_015E,B14004_015M,B14004_016E,B14004_016M,B14004_017E,B14004_017M,B14004_018E,B14004_018M,B14004_019E,B14004_019M,B14004_020E,B14004_020M,B14004_021E,B14004_021M,B14004_022E,B14004_022M,B14004_023E,B14004_023M,B14004_024E,B14004_024M,B14004_025E,B14004_025M,B14004_026E,B14004_026M,B14004_027E,B14004_027M,B14004_028E,B14004_028M,B14004_029E,B14004_029M,B14004_030E,B14004_030M,B14004_031E,B14004_031M,B14004_032E,B14004_032M,B14004_033E,B14004_033M,NAME,B14004_001MA,B14004_001EA,B14004_002EA,B14004_002MA,B14004_003EA,B14004_003MA,B14004_004MA,B14004_004EA,B14004_005EA,B14004_005MA,B14004_006MA,B14004_006EA,B14004_007EA,B14004_007MA,B14004_008EA,B14004_008MA,B14004_009MA,B14004_009EA,B14004_010EA,B14004_010MA,B14004_011MA,B14004_011EA,B14004_012MA,B14004_012EA,B14004_013EA,B14004_013MA,B14004_014EA,B14004_014MA,B14004_015MA,B14004_015EA,B14004_016MA,B14004_016EA,B14004_017MA,B14004_017EA,B14004_018EA,B14004_018MA,B14004_019EA,B14004_019MA,B14004_020MA,B14004_020EA,B14004_021MA,B14004_021EA,B14004_022MA,B14004_022EA,B14004_023EA,B14004_023MA,B14004_024EA,B14004_024MA,B14004_025EA,B14004_025MA,B14004_026MA,B14004_026EA,B14004_027MA,B14004_027EA,B14004_028MA,B14004_028EA,B14004_029EA,B14004_029MA,B14004_030EA,B14004_030MA,B14004_031EA,B14004_031MA,B14004_032EA,B14004_032MA,B14004_033MA,B14004_033EA,state
0400000US01,3541734,2600,1684655,2765,91999,4852,249,258,55144,3686,22231,2209,14375,1893,14964,2093,15,25,6035,1255,4451,1398,4463,1042,1577692,5545,94331,1909,148584,4625,254576,3976,1080201,3625,1857079,2900,122571,5126,252,199,64916,4055,32822,2877,24581,2402,18713,2661,219,261,7827,1595,7088,1829,3579,812,1715795,5752,89818,2089,129710,4788,262523,5422,1233744,4516,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,487292,676,247020,1063,13525,1802,0,233,5389,1133,3587,846,4549,1020,1751,653,0,233,672,381,217,251,862,450,231744,2149,16537,718,29104,1236,33650,1825,152453,1723,240272,1138,18190,1678,115,116,6832,1109,4001,763,7242,1322,3176,1105,47,79,865,430,1087,568,1177,636,218906,2441,16367,697,23755,1479,33736,1594,145048,1833,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,4506643,1491,2224933,1886,130873,6138,1138,573,65614,4597,36397,3416,27724,3147,32562,3737,277,390,10631,2402,9928,1845,11726,2077,2061498,7162,126986,1511,205348,4843,385430,4064,1343734,4399,2281710,1771,170678,7201,1639,680,84662,4714,43911,4069,40466,2845,33245,3712,405,371,8895,1884,10535,1717,13410,1923,2077787,8057,120247,1178,177446,5175,348627,4795,1431467,3743,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2145130,2171,1032085,2558,49576,3572,323,248,28871,2782,12596,1854,7786,1257,7629,1369,0,260,3567,1048,1932,772,2130,711,974880,5005,59692,1572,94299,3802,159552,2890,661337,3565,1113045,2291,75342,4281,415,280,37084,2689,19903,2188,17940,1951,11370,1901,0,260,4366,983,3032,893,3972,1251,1026333,5177,55603,1776,83668,3620,155560,3551,731502,3339,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,27234841,3105,13375995,3971,934054,18449,7355,1299,526779,13360,222071,8191,177849,8106,226812,10634,1415,1049,80243,6896,71909,4783,73245,4585,12215129,20921,812630,3261,1084864,13444,2260491,9004,8057144,10636,13858846,3780,1165825,17418,9544,1758,589320,12127,282724,12141,284237,9371,271252,8627,819,400,95704,5830,81674,4972,93055,5062,12421769,17396,779452,3393,947675,12171,2091634,13972,8603008,10098,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,3576694,1805,1782616,2326,112354,5519,263,224,60261,4590,30153,3032,21677,2390,29552,3030,107,128,10417,2211,9907,1701,9121,1525,1640710,6707,95929,1895,146360,5215,327548,3961,1070873,4220,1794078,2427,126346,5423,239,189,61097,4105,35482,2701,29528,2608,31668,2831,52,89,11921,2021,10177,1723,9518,1480,1636064,6533,94023,1987,131252,4552,293923,3987,1116866,3917,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2713793,1092,1297463,1494,52086,3683,273,321,27444,2760,12225,2015,12144,1434,34971,3202,153,180,17437,1894,8714,1712,8667,1806,1210406,4748,76421,937,88721,3194,171698,2662,873566,2722,1416330,1311,71814,4107,225,263,34582,2760,16477,2029,20530,2173,41013,3936,99,119,20442,2758,8753,1731,11719,2011,1303503,5087,72761,820,74670,3237,172255,2443,983817,3055,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,656669,732,315138,714,13479,2011,62,105,7609,1517,3388,902,2420,842,5182,1148,0,262,2795,929,905,364,1482,515,296477,2313,17511,566,26638,1800,47334,1145,204994,1018,341531,752,20338,2666,267,349,9835,1871,5443,1121,4793,929,7221,1232,145,225,2297,722,2378,793,2401,602,313972,2886,15560,830,22871,1874,48095,1530,227446,1316,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,419087,564,194365,494,4254,1255,174,217,2235,1075,883,567,962,463,10394,1791,0,286,3674,1257,4497,866,2223,818,179717,1897,7418,500,10299,1049,43306,948,118694,1025,224722,659,6920,1434,0,286,1445,418,3613,1051,1862,608,14657,1982,0,286,4139,788,6792,1454,3726,1073,203145,2383,7916,611,9855,1013,46515,1777,138859,1173,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,14040729,4027,6757460,5771,322391,10303,1494,669,182554,8086,74201,4512,64142,4048,102839,6024,499,495,43506,4369,26162,2618,32672,2648,6332230,10385,357747,3754,528458,8867,933483,7402,4512542,7533,7283269,5519,436784,9727,2186,697,229113,6752,101087,5647,104398,5568,137161,7466,806,493,45760,3834,39289,3785,51306,4604,6709324,12006,342336,3887,455488,7613,910153,6871,5001347,7281,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
