GEO_ID,B13010_001E,B13010_001M,B13010_002E,B13010_002M,B13010_003E,B13010_003M,B13010_004E,B13010_004M,B13010_005E,B13010_005M,B13010_006E,B13010_006M,B13010_007E,B13010_007M,B13010_008E,B13010_008M,B13010_009E,B13010_009M,B13010_010E,B13010_010M,B13010_011E,B13010_011M,B13010_012E,B13010_012M,B13010_013E,B13010_013M,B13010_014E,B13010_014M,B13010_015E,B13010_015M,B13010_016E,B13010_016M,B13010_017E,B13010_017M,B13010_018E,B13010_018M,B13010_019E,B13010_019M,NAME,B13010_001EA,B13010_001MA,B13010_002EA,B13010_002MA,B13010_003MA,B13010_003EA,B13010_004MA,B13010_004EA,B13010_005EA,B13010_005MA,B13010_006EA,B13010_006MA,B13010_007EA,B13010_007MA,B13010_008MA,B13010_008EA,B13010_009MA,B13010_009EA,B13010_010MA,B13010_010EA,B13010_011EA,B13010_011MA,B13010_012EA,B13010_012MA,B13010_013MA,B13010_013EA,B13010_014MA,B13010_014EA,B13010_015MA,B13010_015EA,B13010_016EA,B13010_016MA,B13010_017EA,B13010_017MA,B13010_018EA,B13010_018MA,B13010_019EA,B13010_019MA,state
0400000US01,1137910,3989,67199,4840,41334,3624,6360,1705,9662,1596,25312,2586,25865,3271,14143,2150,7214,1620,4508,1247,1070711,6148,559171,8208,59786,4925,95225,5450,404160,8451,511540,7989,151371,7203,124719,7287,235450,8351,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,169280,1528,9541,1571,6668,1283,525,270,1643,600,4500,1165,2873,695,1393,587,903,424,577,266,159739,2101,84364,3106,5559,1298,8994,1463,69811,2877,75375,3086,12799,1716,14676,1786,47900,3054,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1432827,3485,99993,5097,67222,4579,12914,2349,18221,2972,36087,2874,32771,3596,17718,2899,7101,1489,7952,1522,1332834,6161,667384,11208,61372,4892,117951,7112,488061,9668,665450,11414,147090,9027,146482,7516,371878,10085,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,673963,3299,41858,2964,28079,2689,5796,1467,8826,1426,13457,1863,13779,2159,7853,1771,3389,971,2537,1040,632105,4591,341689,5867,35619,2976,68636,4081,237434,5569,290416,6640,83427,4980,73414,5944,133575,5270,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,9133497,9205,533931,12081,387626,10294,54337,6136,84070,5146,249219,8664,146305,8263,68100,6191,36335,4730,41870,4349,8599566,16848,4285573,28179,413399,13551,720440,18607,3151734,23589,4313993,30972,844731,23022,872155,18416,2597107,24628,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1194777,3533,72113,5480,53128,4518,5998,1795,10680,1928,36450,3566,18985,2649,9304,1876,4990,1501,4691,1241,1122664,6042,595729,8850,43475,3845,76200,4479,476054,8983,526935,9776,93403,5050,108830,6347,324702,8957,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,860004,2570,40981,3388,29095,2523,1709,699,1888,593,25498,2282,11886,1999,5833,1545,3103,1020,2950,935,819023,4590,415618,7241,19010,3092,29920,3494,366688,6346,403405,7391,56488,4697,59463,4921,287454,7591,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,211400,1481,10223,1579,7277,1431,892,554,1284,667,5101,1137,2946,797,1110,543,811,523,1025,498,201177,2061,102447,3293,5547,1506,10737,1765,86163,3253,98730,3506,20084,2844,14813,2027,63833,3426,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,142319,1090,8824,1469,4674,965,489,334,816,571,3369,961,4150,1062,2667,957,1045,507,438,253,133495,1752,36691,2702,4067,1007,4229,1230,28395,2582,96804,2987,19191,2040,15225,2085,62388,2786,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,4181753,7873,228040,7684,147453,5434,17235,2722,30150,2999,100068,5374,80587,5549,40165,4205,21458,3434,18964,2881,3953713,9405,1940837,16430,151915,8324,303214,10029,1485708,16022,2012876,18177,421416,12294,472591,15619,1118869,18764,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
